"","date","value","id"
"65445","2020-01-02",4796,"anz_kktrans_ausl_Ausland"
"65459","2020-01-09",3568,"anz_kktrans_ausl_Ausland"
"65473","2020-01-16",3475,"anz_kktrans_ausl_Ausland"
"65487","2020-01-23",3506,"anz_kktrans_ausl_Ausland"
"65501","2020-01-30",3687,"anz_kktrans_ausl_Ausland"
"65515","2020-02-06",3613,"anz_kktrans_ausl_Ausland"
"65529","2020-02-13",3634,"anz_kktrans_ausl_Ausland"
"65543","2020-02-20",3480,"anz_kktrans_ausl_Ausland"
"65557","2020-02-27",3660,"anz_kktrans_ausl_Ausland"
"65571","2020-03-05",3274,"anz_kktrans_ausl_Ausland"
"65585","2020-03-12",2714,"anz_kktrans_ausl_Ausland"
"65599","2020-03-19",2373,"anz_kktrans_ausl_Ausland"
"65613","2020-03-26",2415,"anz_kktrans_ausl_Ausland"
"65627","2020-04-02",2464,"anz_kktrans_ausl_Ausland"
"65641","2020-04-09",2333,"anz_kktrans_ausl_Ausland"
"65655","2020-04-16",2430,"anz_kktrans_ausl_Ausland"
"65669","2020-04-23",2514,"anz_kktrans_ausl_Ausland"
"65683","2020-04-30",2772,"anz_kktrans_ausl_Ausland"
"65697","2020-05-07",2444,"anz_kktrans_ausl_Ausland"
"65711","2020-05-14",2449,"anz_kktrans_ausl_Ausland"
"65725","2020-05-21",2536,"anz_kktrans_ausl_Ausland"
"65739","2020-05-28",2620,"anz_kktrans_ausl_Ausland"
"65753","2020-06-04",2837,"anz_kktrans_ausl_Ausland"
"65767","2020-06-11",2870,"anz_kktrans_ausl_Ausland"
"65781","2020-06-18",3216,"anz_kktrans_ausl_Ausland"
"65795","2020-06-25",3439,"anz_kktrans_ausl_Ausland"
"65809","2020-07-02",3589,"anz_kktrans_ausl_Ausland"
"65823","2020-07-09",3684,"anz_kktrans_ausl_Ausland"
"65837","2020-07-16",3887,"anz_kktrans_ausl_Ausland"
"65851","2020-07-23",4123,"anz_kktrans_ausl_Ausland"
"65865","2020-07-30",4193,"anz_kktrans_ausl_Ausland"
"65879","2020-08-06",3793,"anz_kktrans_ausl_Ausland"
"65893","2020-08-13",3399,"anz_kktrans_ausl_Ausland"
"65907","2020-08-20",3187,"anz_kktrans_ausl_Ausland"
"65921","2020-08-27",3572,"anz_kktrans_ausl_Ausland"
"65935","2020-09-03",3461,"anz_kktrans_ausl_Ausland"
"65949","2020-09-10",3378,"anz_kktrans_ausl_Ausland"
"65963","2020-09-17",3331,"anz_kktrans_ausl_Ausland"
"65977","2020-09-24",3523,"anz_kktrans_ausl_Ausland"
"65991","2020-10-01",3849,"anz_kktrans_ausl_Ausland"
"66005","2020-10-08",3531,"anz_kktrans_ausl_Ausland"
"66019","2020-10-15",3259,"anz_kktrans_ausl_Ausland"
"66033","2020-10-22",3108,"anz_kktrans_ausl_Ausland"
"66047","2020-10-29",3033,"anz_kktrans_ausl_Ausland"
"66061","2020-11-05",2884,"anz_kktrans_ausl_Ausland"
