"","date","value","id"
"65563","2020-01-02",2257,"anz_kktrans_ausl_praes_Ausland"
"65577","2020-01-09",1412,"anz_kktrans_ausl_praes_Ausland"
"65591","2020-01-16",1382,"anz_kktrans_ausl_praes_Ausland"
"65605","2020-01-23",1392,"anz_kktrans_ausl_praes_Ausland"
"65619","2020-01-30",1498,"anz_kktrans_ausl_praes_Ausland"
"65633","2020-02-06",1544,"anz_kktrans_ausl_praes_Ausland"
"65647","2020-02-13",1605,"anz_kktrans_ausl_praes_Ausland"
"65661","2020-02-20",1512,"anz_kktrans_ausl_praes_Ausland"
"65675","2020-02-27",1482,"anz_kktrans_ausl_praes_Ausland"
"65689","2020-03-05",1300,"anz_kktrans_ausl_praes_Ausland"
"65703","2020-03-12",1019,"anz_kktrans_ausl_praes_Ausland"
"65717","2020-03-19",622,"anz_kktrans_ausl_praes_Ausland"
"65731","2020-03-26",548,"anz_kktrans_ausl_praes_Ausland"
"65745","2020-04-02",543,"anz_kktrans_ausl_praes_Ausland"
"65759","2020-04-09",520,"anz_kktrans_ausl_praes_Ausland"
"65773","2020-04-16",528,"anz_kktrans_ausl_praes_Ausland"
"65787","2020-04-23",572,"anz_kktrans_ausl_praes_Ausland"
"65801","2020-04-30",622,"anz_kktrans_ausl_praes_Ausland"
"65815","2020-05-07",576,"anz_kktrans_ausl_praes_Ausland"
"65829","2020-05-14",599,"anz_kktrans_ausl_praes_Ausland"
"65843","2020-05-21",673,"anz_kktrans_ausl_praes_Ausland"
"65857","2020-05-28",692,"anz_kktrans_ausl_praes_Ausland"
"65871","2020-06-04",747,"anz_kktrans_ausl_praes_Ausland"
"65885","2020-06-11",866,"anz_kktrans_ausl_praes_Ausland"
"65899","2020-06-18",1248,"anz_kktrans_ausl_praes_Ausland"
"65913","2020-06-25",1390,"anz_kktrans_ausl_praes_Ausland"
"65927","2020-07-02",1509,"anz_kktrans_ausl_praes_Ausland"
"65941","2020-07-09",1729,"anz_kktrans_ausl_praes_Ausland"
"65955","2020-07-16",1997,"anz_kktrans_ausl_praes_Ausland"
"65969","2020-07-23",2173,"anz_kktrans_ausl_praes_Ausland"
"65983","2020-07-30",2187,"anz_kktrans_ausl_praes_Ausland"
"65997","2020-08-06",1873,"anz_kktrans_ausl_praes_Ausland"
"66011","2020-08-13",1545,"anz_kktrans_ausl_praes_Ausland"
"66025","2020-08-20",1448,"anz_kktrans_ausl_praes_Ausland"
"66039","2020-08-27",1468,"anz_kktrans_ausl_praes_Ausland"
"66053","2020-09-03",1497,"anz_kktrans_ausl_praes_Ausland"
"66067","2020-09-10",1536,"anz_kktrans_ausl_praes_Ausland"
"66081","2020-09-17",1463,"anz_kktrans_ausl_praes_Ausland"
"66095","2020-09-24",1512,"anz_kktrans_ausl_praes_Ausland"
"66109","2020-10-01",1639,"anz_kktrans_ausl_praes_Ausland"
"66123","2020-10-08",1572,"anz_kktrans_ausl_praes_Ausland"
"66137","2020-10-15",1327,"anz_kktrans_ausl_praes_Ausland"
"66151","2020-10-22",1144,"anz_kktrans_ausl_praes_Ausland"
"66165","2020-10-29",986,"anz_kktrans_ausl_praes_Ausland"
"66179","2020-11-05",865,"anz_kktrans_ausl_praes_Ausland"
