"","date","value","id"
"65569","2020-01-02",240,"betrag_kktrans_ausl_distanz_Ausland"
"65583","2020-01-09",229,"betrag_kktrans_ausl_distanz_Ausland"
"65597","2020-01-16",230,"betrag_kktrans_ausl_distanz_Ausland"
"65611","2020-01-23",225,"betrag_kktrans_ausl_distanz_Ausland"
"65625","2020-01-30",235,"betrag_kktrans_ausl_distanz_Ausland"
"65639","2020-02-06",214,"betrag_kktrans_ausl_distanz_Ausland"
"65653","2020-02-13",208,"betrag_kktrans_ausl_distanz_Ausland"
"65667","2020-02-20",198,"betrag_kktrans_ausl_distanz_Ausland"
"65681","2020-02-27",196,"betrag_kktrans_ausl_distanz_Ausland"
"65695","2020-03-05",173,"betrag_kktrans_ausl_distanz_Ausland"
"65709","2020-03-12",117,"betrag_kktrans_ausl_distanz_Ausland"
"65723","2020-03-19",107,"betrag_kktrans_ausl_distanz_Ausland"
"65737","2020-03-26",126,"betrag_kktrans_ausl_distanz_Ausland"
"65751","2020-04-02",125,"betrag_kktrans_ausl_distanz_Ausland"
"65765","2020-04-09",115,"betrag_kktrans_ausl_distanz_Ausland"
"65779","2020-04-16",133,"betrag_kktrans_ausl_distanz_Ausland"
"65793","2020-04-23",135,"betrag_kktrans_ausl_distanz_Ausland"
"65807","2020-04-30",146,"betrag_kktrans_ausl_distanz_Ausland"
"65821","2020-05-07",128,"betrag_kktrans_ausl_distanz_Ausland"
"65835","2020-05-14",124,"betrag_kktrans_ausl_distanz_Ausland"
"65849","2020-05-21",127,"betrag_kktrans_ausl_distanz_Ausland"
"65863","2020-05-28",144,"betrag_kktrans_ausl_distanz_Ausland"
"65877","2020-06-04",164,"betrag_kktrans_ausl_distanz_Ausland"
"65891","2020-06-11",162,"betrag_kktrans_ausl_distanz_Ausland"
"65905","2020-06-18",156,"betrag_kktrans_ausl_distanz_Ausland"
"65919","2020-06-25",165,"betrag_kktrans_ausl_distanz_Ausland"
"65933","2020-07-02",155,"betrag_kktrans_ausl_distanz_Ausland"
"65947","2020-07-09",145,"betrag_kktrans_ausl_distanz_Ausland"
"65961","2020-07-16",145,"betrag_kktrans_ausl_distanz_Ausland"
"65975","2020-07-23",147,"betrag_kktrans_ausl_distanz_Ausland"
"65989","2020-07-30",151,"betrag_kktrans_ausl_distanz_Ausland"
"66003","2020-08-06",137,"betrag_kktrans_ausl_distanz_Ausland"
"66017","2020-08-13",133,"betrag_kktrans_ausl_distanz_Ausland"
"66031","2020-08-20",127,"betrag_kktrans_ausl_distanz_Ausland"
"66045","2020-08-27",152,"betrag_kktrans_ausl_distanz_Ausland"
"66059","2020-09-03",148,"betrag_kktrans_ausl_distanz_Ausland"
"66073","2020-09-10",137,"betrag_kktrans_ausl_distanz_Ausland"
"66087","2020-09-17",135,"betrag_kktrans_ausl_distanz_Ausland"
"66101","2020-09-24",154,"betrag_kktrans_ausl_distanz_Ausland"
"66115","2020-10-01",167,"betrag_kktrans_ausl_distanz_Ausland"
"66129","2020-10-08",142,"betrag_kktrans_ausl_distanz_Ausland"
"66143","2020-10-15",137,"betrag_kktrans_ausl_distanz_Ausland"
"66157","2020-10-22",137,"betrag_kktrans_ausl_distanz_Ausland"
"66171","2020-10-29",149,"betrag_kktrans_ausl_distanz_Ausland"
"66185","2020-11-05",145,"betrag_kktrans_ausl_distanz_Ausland"
