"","date","value","id"
"65570","2020-01-02",227,"betrag_kktrans_ausl_praes_Ausland"
"65584","2020-01-09",132,"betrag_kktrans_ausl_praes_Ausland"
"65598","2020-01-16",128,"betrag_kktrans_ausl_praes_Ausland"
"65612","2020-01-23",133,"betrag_kktrans_ausl_praes_Ausland"
"65626","2020-01-30",145,"betrag_kktrans_ausl_praes_Ausland"
"65640","2020-02-06",147,"betrag_kktrans_ausl_praes_Ausland"
"65654","2020-02-13",157,"betrag_kktrans_ausl_praes_Ausland"
"65668","2020-02-20",146,"betrag_kktrans_ausl_praes_Ausland"
"65682","2020-02-27",137,"betrag_kktrans_ausl_praes_Ausland"
"65696","2020-03-05",114,"betrag_kktrans_ausl_praes_Ausland"
"65710","2020-03-12",85,"betrag_kktrans_ausl_praes_Ausland"
"65724","2020-03-19",35,"betrag_kktrans_ausl_praes_Ausland"
"65738","2020-03-26",28,"betrag_kktrans_ausl_praes_Ausland"
"65752","2020-04-02",27,"betrag_kktrans_ausl_praes_Ausland"
"65766","2020-04-09",26,"betrag_kktrans_ausl_praes_Ausland"
"65780","2020-04-16",26,"betrag_kktrans_ausl_praes_Ausland"
"65794","2020-04-23",28,"betrag_kktrans_ausl_praes_Ausland"
"65808","2020-04-30",32,"betrag_kktrans_ausl_praes_Ausland"
"65822","2020-05-07",30,"betrag_kktrans_ausl_praes_Ausland"
"65836","2020-05-14",34,"betrag_kktrans_ausl_praes_Ausland"
"65850","2020-05-21",41,"betrag_kktrans_ausl_praes_Ausland"
"65864","2020-05-28",43,"betrag_kktrans_ausl_praes_Ausland"
"65878","2020-06-04",49,"betrag_kktrans_ausl_praes_Ausland"
"65892","2020-06-11",61,"betrag_kktrans_ausl_praes_Ausland"
"65906","2020-06-18",103,"betrag_kktrans_ausl_praes_Ausland"
"65920","2020-06-25",114,"betrag_kktrans_ausl_praes_Ausland"
"65934","2020-07-02",124,"betrag_kktrans_ausl_praes_Ausland"
"65948","2020-07-09",149,"betrag_kktrans_ausl_praes_Ausland"
"65962","2020-07-16",175,"betrag_kktrans_ausl_praes_Ausland"
"65976","2020-07-23",188,"betrag_kktrans_ausl_praes_Ausland"
"65990","2020-07-30",193,"betrag_kktrans_ausl_praes_Ausland"
"66004","2020-08-06",160,"betrag_kktrans_ausl_praes_Ausland"
"66018","2020-08-13",128,"betrag_kktrans_ausl_praes_Ausland"
"66032","2020-08-20",118,"betrag_kktrans_ausl_praes_Ausland"
"66046","2020-08-27",122,"betrag_kktrans_ausl_praes_Ausland"
"66060","2020-09-03",127,"betrag_kktrans_ausl_praes_Ausland"
"66074","2020-09-10",131,"betrag_kktrans_ausl_praes_Ausland"
"66088","2020-09-17",124,"betrag_kktrans_ausl_praes_Ausland"
"66102","2020-09-24",130,"betrag_kktrans_ausl_praes_Ausland"
"66116","2020-10-01",145,"betrag_kktrans_ausl_praes_Ausland"
"66130","2020-10-08",147,"betrag_kktrans_ausl_praes_Ausland"
"66144","2020-10-15",118,"betrag_kktrans_ausl_praes_Ausland"
"66158","2020-10-22",91,"betrag_kktrans_ausl_praes_Ausland"
"66172","2020-10-29",75,"betrag_kktrans_ausl_praes_Ausland"
"66186","2020-11-05",60,"betrag_kktrans_ausl_praes_Ausland"
