"","date","value","id"
"65574","2020-01-02",136,"betrag_kktrans_ch_praes_contactless_CH"
"65588","2020-01-09",119,"betrag_kktrans_ch_praes_contactless_CH"
"65602","2020-01-16",122,"betrag_kktrans_ch_praes_contactless_CH"
"65616","2020-01-23",121,"betrag_kktrans_ch_praes_contactless_CH"
"65630","2020-01-30",126,"betrag_kktrans_ch_praes_contactless_CH"
"65644","2020-02-06",126,"betrag_kktrans_ch_praes_contactless_CH"
"65658","2020-02-13",134,"betrag_kktrans_ch_praes_contactless_CH"
"65672","2020-02-20",132,"betrag_kktrans_ch_praes_contactless_CH"
"65686","2020-02-27",135,"betrag_kktrans_ch_praes_contactless_CH"
"65700","2020-03-05",128,"betrag_kktrans_ch_praes_contactless_CH"
"65714","2020-03-12",148,"betrag_kktrans_ch_praes_contactless_CH"
"65728","2020-03-19",75,"betrag_kktrans_ch_praes_contactless_CH"
"65742","2020-03-26",68,"betrag_kktrans_ch_praes_contactless_CH"
"65756","2020-04-02",78,"betrag_kktrans_ch_praes_contactless_CH"
"65770","2020-04-09",75,"betrag_kktrans_ch_praes_contactless_CH"
"65784","2020-04-16",81,"betrag_kktrans_ch_praes_contactless_CH"
"65798","2020-04-23",94,"betrag_kktrans_ch_praes_contactless_CH"
"65812","2020-04-30",107,"betrag_kktrans_ch_praes_contactless_CH"
"65826","2020-05-07",132,"betrag_kktrans_ch_praes_contactless_CH"
"65840","2020-05-14",184,"betrag_kktrans_ch_praes_contactless_CH"
"65854","2020-05-21",186,"betrag_kktrans_ch_praes_contactless_CH"
"65868","2020-05-28",187,"betrag_kktrans_ch_praes_contactless_CH"
"65882","2020-06-04",184,"betrag_kktrans_ch_praes_contactless_CH"
"65896","2020-06-11",187,"betrag_kktrans_ch_praes_contactless_CH"
"65910","2020-06-18",187,"betrag_kktrans_ch_praes_contactless_CH"
"65924","2020-06-25",192,"betrag_kktrans_ch_praes_contactless_CH"
"65938","2020-07-02",193,"betrag_kktrans_ch_praes_contactless_CH"
"65952","2020-07-09",198,"betrag_kktrans_ch_praes_contactless_CH"
"65966","2020-07-16",200,"betrag_kktrans_ch_praes_contactless_CH"
"65980","2020-07-23",199,"betrag_kktrans_ch_praes_contactless_CH"
"65994","2020-07-30",188,"betrag_kktrans_ch_praes_contactless_CH"
"66008","2020-08-06",196,"betrag_kktrans_ch_praes_contactless_CH"
"66022","2020-08-13",193,"betrag_kktrans_ch_praes_contactless_CH"
"66036","2020-08-20",196,"betrag_kktrans_ch_praes_contactless_CH"
"66050","2020-08-27",193,"betrag_kktrans_ch_praes_contactless_CH"
"66064","2020-09-03",192,"betrag_kktrans_ch_praes_contactless_CH"
"66078","2020-09-10",198,"betrag_kktrans_ch_praes_contactless_CH"
"66092","2020-09-17",200,"betrag_kktrans_ch_praes_contactless_CH"
"66106","2020-09-24",206,"betrag_kktrans_ch_praes_contactless_CH"
"66120","2020-10-01",217,"betrag_kktrans_ch_praes_contactless_CH"
"66134","2020-10-08",212,"betrag_kktrans_ch_praes_contactless_CH"
"66148","2020-10-15",213,"betrag_kktrans_ch_praes_contactless_CH"
"66162","2020-10-22",203,"betrag_kktrans_ch_praes_contactless_CH"
"66176","2020-10-29",198,"betrag_kktrans_ch_praes_contactless_CH"
"66190","2020-11-05",187,"betrag_kktrans_ch_praes_contactless_CH"
