"","date","value","id"
"44581","2020-01-25",0,"faelle_sars_cov2_CH"
"44582","2020-01-26",0,"faelle_sars_cov2_CH"
"44583","2020-01-27",0,"faelle_sars_cov2_CH"
"44584","2020-01-28",0,"faelle_sars_cov2_CH"
"44585","2020-01-29",0,"faelle_sars_cov2_CH"
"44586","2020-01-30",0,"faelle_sars_cov2_CH"
"44587","2020-01-31",0,"faelle_sars_cov2_CH"
"44588","2020-02-01",0,"faelle_sars_cov2_CH"
"44589","2020-02-02",0,"faelle_sars_cov2_CH"
"44590","2020-02-03",0,"faelle_sars_cov2_CH"
"44591","2020-02-04",0,"faelle_sars_cov2_CH"
"44592","2020-02-05",0,"faelle_sars_cov2_CH"
"44593","2020-02-06",0,"faelle_sars_cov2_CH"
"44594","2020-02-07",0,"faelle_sars_cov2_CH"
"44595","2020-02-08",0,"faelle_sars_cov2_CH"
"44596","2020-02-09",0,"faelle_sars_cov2_CH"
"44597","2020-02-10",0,"faelle_sars_cov2_CH"
"44598","2020-02-11",0,"faelle_sars_cov2_CH"
"44599","2020-02-12",0,"faelle_sars_cov2_CH"
"44600","2020-02-13",0,"faelle_sars_cov2_CH"
"44601","2020-02-14",0,"faelle_sars_cov2_CH"
"44602","2020-02-15",0,"faelle_sars_cov2_CH"
"44603","2020-02-16",0,"faelle_sars_cov2_CH"
"44604","2020-02-17",0,"faelle_sars_cov2_CH"
"44605","2020-02-18",0,"faelle_sars_cov2_CH"
"44606","2020-02-19",0,"faelle_sars_cov2_CH"
"44607","2020-02-20",0,"faelle_sars_cov2_CH"
"44608","2020-02-21",0,"faelle_sars_cov2_CH"
"44609","2020-02-22",0,"faelle_sars_cov2_CH"
"44610","2020-02-23",0,"faelle_sars_cov2_CH"
"44611","2020-02-24",0,"faelle_sars_cov2_CH"
"44612","2020-02-25",0,"faelle_sars_cov2_CH"
"44613","2020-02-26",5,"faelle_sars_cov2_CH"
"44614","2020-02-27",4,"faelle_sars_cov2_CH"
"44615","2020-02-28",10,"faelle_sars_cov2_CH"
"44616","2020-02-29",12,"faelle_sars_cov2_CH"
"44617","2020-03-01",7,"faelle_sars_cov2_CH"
"44618","2020-03-02",18,"faelle_sars_cov2_CH"
"44619","2020-03-03",15,"faelle_sars_cov2_CH"
"44620","2020-03-04",30,"faelle_sars_cov2_CH"
"44621","2020-03-05",46,"faelle_sars_cov2_CH"
"44622","2020-03-06",77,"faelle_sars_cov2_CH"
"44623","2020-03-07",64,"faelle_sars_cov2_CH"
"44624","2020-03-08",49,"faelle_sars_cov2_CH"
"44625","2020-03-09",99,"faelle_sars_cov2_CH"
"44626","2020-03-10",160,"faelle_sars_cov2_CH"
"44627","2020-03-11",245,"faelle_sars_cov2_CH"
"44628","2020-03-12",319,"faelle_sars_cov2_CH"
"44629","2020-03-13",339,"faelle_sars_cov2_CH"
"44630","2020-03-14",422,"faelle_sars_cov2_CH"
"44631","2020-03-15",306,"faelle_sars_cov2_CH"
"44632","2020-03-16",833,"faelle_sars_cov2_CH"
