"","date","value","id"
"41503","2020-01-25",0,"faelle_sars_cov2_TI"
"41504","2020-01-26",0,"faelle_sars_cov2_TI"
"41505","2020-01-27",0,"faelle_sars_cov2_TI"
"41506","2020-01-28",0,"faelle_sars_cov2_TI"
"41507","2020-01-29",0,"faelle_sars_cov2_TI"
"41508","2020-01-30",0,"faelle_sars_cov2_TI"
"41509","2020-01-31",0,"faelle_sars_cov2_TI"
"41510","2020-02-01",0,"faelle_sars_cov2_TI"
"41511","2020-02-02",0,"faelle_sars_cov2_TI"
"41512","2020-02-03",0,"faelle_sars_cov2_TI"
"41513","2020-02-04",0,"faelle_sars_cov2_TI"
"41514","2020-02-05",0,"faelle_sars_cov2_TI"
"41515","2020-02-06",0,"faelle_sars_cov2_TI"
"41516","2020-02-07",0,"faelle_sars_cov2_TI"
"41517","2020-02-08",0,"faelle_sars_cov2_TI"
"41518","2020-02-09",0,"faelle_sars_cov2_TI"
"41519","2020-02-10",0,"faelle_sars_cov2_TI"
"41520","2020-02-11",0,"faelle_sars_cov2_TI"
"41521","2020-02-12",0,"faelle_sars_cov2_TI"
"41522","2020-02-13",0,"faelle_sars_cov2_TI"
"41523","2020-02-14",0,"faelle_sars_cov2_TI"
"41524","2020-02-15",0,"faelle_sars_cov2_TI"
"41525","2020-02-16",0,"faelle_sars_cov2_TI"
"41526","2020-02-17",0,"faelle_sars_cov2_TI"
"41527","2020-02-18",0,"faelle_sars_cov2_TI"
"41528","2020-02-19",0,"faelle_sars_cov2_TI"
"41529","2020-02-20",0,"faelle_sars_cov2_TI"
"41530","2020-02-21",0,"faelle_sars_cov2_TI"
"41531","2020-02-22",0,"faelle_sars_cov2_TI"
"41532","2020-02-23",0,"faelle_sars_cov2_TI"
"41533","2020-02-24",0,"faelle_sars_cov2_TI"
"41534","2020-02-25",0,"faelle_sars_cov2_TI"
"41535","2020-02-26",1,"faelle_sars_cov2_TI"
"41536","2020-02-27",0,"faelle_sars_cov2_TI"
"41537","2020-02-28",0,"faelle_sars_cov2_TI"
"41538","2020-02-29",1,"faelle_sars_cov2_TI"
"41539","2020-03-01",0,"faelle_sars_cov2_TI"
"41540","2020-03-02",2,"faelle_sars_cov2_TI"
"41541","2020-03-03",4,"faelle_sars_cov2_TI"
"41542","2020-03-04",5,"faelle_sars_cov2_TI"
"41543","2020-03-05",12,"faelle_sars_cov2_TI"
"41544","2020-03-06",3,"faelle_sars_cov2_TI"
"41545","2020-03-07",13,"faelle_sars_cov2_TI"
"41546","2020-03-08",8,"faelle_sars_cov2_TI"
"41547","2020-03-09",12,"faelle_sars_cov2_TI"
"41548","2020-03-10",14,"faelle_sars_cov2_TI"
"41549","2020-03-11",33,"faelle_sars_cov2_TI"
"41550","2020-03-12",55,"faelle_sars_cov2_TI"
"41551","2020-03-13",43,"faelle_sars_cov2_TI"
"41552","2020-03-14",59,"faelle_sars_cov2_TI"
"41553","2020-03-15",28,"faelle_sars_cov2_TI"
"41554","2020-03-16",75,"faelle_sars_cov2_TI"
"41555","2020-03-17",58,"faelle_sars_cov2_TI"
"41556","2020-03-18",85,"faelle_sars_cov2_TI"
"41557","2020-03-19",127,"faelle_sars_cov2_TI"
"41558","2020-03-20",211,"faelle_sars_cov2_TI"
"41559","2020-03-21",67,"faelle_sars_cov2_TI"
"41560","2020-03-22",29,"faelle_sars_cov2_TI"
"41561","2020-03-23",217,"faelle_sars_cov2_TI"
"41562","2020-03-24",47,"faelle_sars_cov2_TI"
"41563","2020-03-25",145,"faelle_sars_cov2_TI"
"41564","2020-03-26",47,"faelle_sars_cov2_TI"
"41565","2020-03-27",287,"faelle_sars_cov2_TI"
"41566","2020-03-28",39,"faelle_sars_cov2_TI"
"41567","2020-03-29",110,"faelle_sars_cov2_TI"
"41568","2020-03-30",125,"faelle_sars_cov2_TI"
"41569","2020-03-31",129,"faelle_sars_cov2_TI"
"41570","2020-04-01",104,"faelle_sars_cov2_TI"
"41571","2020-04-02",76,"faelle_sars_cov2_TI"
"41572","2020-04-03",106,"faelle_sars_cov2_TI"
"41573","2020-04-04",65,"faelle_sars_cov2_TI"
"41574","2020-04-05",66,"faelle_sars_cov2_TI"
"41575","2020-04-06",38,"faelle_sars_cov2_TI"
"41576","2020-04-07",53,"faelle_sars_cov2_TI"
"41577","2020-04-08",60,"faelle_sars_cov2_TI"
"41578","2020-04-09",55,"faelle_sars_cov2_TI"
"41579","2020-04-10",62,"faelle_sars_cov2_TI"
"41580","2020-04-11",42,"faelle_sars_cov2_TI"
"41581","2020-04-12",51,"faelle_sars_cov2_TI"
"41582","2020-04-13",31,"faelle_sars_cov2_TI"
