"","date","value","id"
"47986","2020-01-01",192,"geschaeftsverkehr_ZH0208_ZH"
"48046","2020-01-02",349,"geschaeftsverkehr_ZH0208_ZH"
"48106","2020-01-03",832,"geschaeftsverkehr_ZH0208_ZH"
"48166","2020-01-04",530,"geschaeftsverkehr_ZH0208_ZH"
"48226","2020-01-05",240,"geschaeftsverkehr_ZH0208_ZH"
"48286","2020-01-06",1240,"geschaeftsverkehr_ZH0208_ZH"
"48346","2020-01-07",1511,"geschaeftsverkehr_ZH0208_ZH"
"48406","2020-01-08",1536,"geschaeftsverkehr_ZH0208_ZH"
"48466","2020-01-09",1620,"geschaeftsverkehr_ZH0208_ZH"
"48526","2020-01-10",1577,"geschaeftsverkehr_ZH0208_ZH"
"48586","2020-01-11",616,"geschaeftsverkehr_ZH0208_ZH"
"48646","2020-01-12",261,"geschaeftsverkehr_ZH0208_ZH"
"48706","2020-01-13",1605,"geschaeftsverkehr_ZH0208_ZH"
"48766","2020-01-14",1701,"geschaeftsverkehr_ZH0208_ZH"
"48826","2020-01-15",1707,"geschaeftsverkehr_ZH0208_ZH"
"48886","2020-01-16",1732,"geschaeftsverkehr_ZH0208_ZH"
"48946","2020-01-17",1727,"geschaeftsverkehr_ZH0208_ZH"
"49006","2020-01-18",676,"geschaeftsverkehr_ZH0208_ZH"
"49066","2020-01-19",295,"geschaeftsverkehr_ZH0208_ZH"
"49126","2020-01-20",1615,"geschaeftsverkehr_ZH0208_ZH"
"49186","2020-01-21",1709,"geschaeftsverkehr_ZH0208_ZH"
"49246","2020-01-22",1679,"geschaeftsverkehr_ZH0208_ZH"
"49306","2020-01-23",1837,"geschaeftsverkehr_ZH0208_ZH"
"49366","2020-01-24",1644,"geschaeftsverkehr_ZH0208_ZH"
"49426","2020-01-25",659,"geschaeftsverkehr_ZH0208_ZH"
"49486","2020-01-26",277,"geschaeftsverkehr_ZH0208_ZH"
"49546","2020-01-27",1638,"geschaeftsverkehr_ZH0208_ZH"
"49606","2020-01-28",1794,"geschaeftsverkehr_ZH0208_ZH"
"49666","2020-01-29",1741,"geschaeftsverkehr_ZH0208_ZH"
"49726","2020-01-30",1800,"geschaeftsverkehr_ZH0208_ZH"
"49786","2020-01-31",1859,"geschaeftsverkehr_ZH0208_ZH"
"49846","2020-02-01",682,"geschaeftsverkehr_ZH0208_ZH"
"49906","2020-02-02",289,"geschaeftsverkehr_ZH0208_ZH"
"49966","2020-02-03",1737,"geschaeftsverkehr_ZH0208_ZH"
"50026","2020-02-04",1729,"geschaeftsverkehr_ZH0208_ZH"
"50086","2020-02-05",1759,"geschaeftsverkehr_ZH0208_ZH"
"50146","2020-02-06",1699,"geschaeftsverkehr_ZH0208_ZH"
"50206","2020-02-07",1719,"geschaeftsverkehr_ZH0208_ZH"
"50266","2020-02-08",677,"geschaeftsverkehr_ZH0208_ZH"
"50326","2020-02-09",276,"geschaeftsverkehr_ZH0208_ZH"
"50386","2020-02-10",1728,"geschaeftsverkehr_ZH0208_ZH"
"50446","2020-02-11",1692,"geschaeftsverkehr_ZH0208_ZH"
"50506","2020-02-12",1766,"geschaeftsverkehr_ZH0208_ZH"
"50570","2020-02-13",1754,"geschaeftsverkehr_ZH0208_ZH"
"50634","2020-02-14",1803,"geschaeftsverkehr_ZH0208_ZH"
"50698","2020-02-15",653,"geschaeftsverkehr_ZH0208_ZH"
