"","date","value","id"
"67365","2017-01-03",0,"konk_eroeff_BE"
"67391","2017-01-04",0,"konk_eroeff_BE"
"67417","2017-01-05",0,"konk_eroeff_BE"
"67443","2017-01-06",0,"konk_eroeff_BE"
"67469","2017-01-09",0,"konk_eroeff_BE"
"67495","2017-01-10",1,"konk_eroeff_BE"
"67521","2017-01-11",1,"konk_eroeff_BE"
"67547","2017-01-12",1,"konk_eroeff_BE"
"67573","2017-01-13",0,"konk_eroeff_BE"
"67599","2017-01-16",3,"konk_eroeff_BE"
"67625","2017-01-17",5,"konk_eroeff_BE"
"67651","2017-01-18",2,"konk_eroeff_BE"
"67677","2017-01-19",0,"konk_eroeff_BE"
"67703","2017-01-20",0,"konk_eroeff_BE"
"67729","2017-01-23",1,"konk_eroeff_BE"
"67755","2017-01-24",2,"konk_eroeff_BE"
"67781","2017-01-25",0,"konk_eroeff_BE"
"67807","2017-01-26",1,"konk_eroeff_BE"
"67833","2017-01-27",0,"konk_eroeff_BE"
"67859","2017-01-30",3,"konk_eroeff_BE"
"67885","2017-01-31",7,"konk_eroeff_BE"
"67911","2017-02-01",2,"konk_eroeff_BE"
"67937","2017-02-02",0,"konk_eroeff_BE"
"67963","2017-02-03",0,"konk_eroeff_BE"
"67989","2017-02-06",5,"konk_eroeff_BE"
"68015","2017-02-07",6,"konk_eroeff_BE"
"68041","2017-02-08",2,"konk_eroeff_BE"
"68067","2017-02-09",0,"konk_eroeff_BE"
"68093","2017-02-10",5,"konk_eroeff_BE"
"68119","2017-02-13",1,"konk_eroeff_BE"
"68145","2017-02-14",1,"konk_eroeff_BE"
"68171","2017-02-15",1,"konk_eroeff_BE"
"68197","2017-02-16",1,"konk_eroeff_BE"
"68223","2017-02-17",1,"konk_eroeff_BE"
"68249","2017-02-20",2,"konk_eroeff_BE"
"68275","2017-02-21",1,"konk_eroeff_BE"
"68301","2017-02-22",0,"konk_eroeff_BE"
"68327","2017-02-23",0,"konk_eroeff_BE"
"68353","2017-02-24",1,"konk_eroeff_BE"
"68379","2017-02-27",3,"konk_eroeff_BE"
"68405","2017-02-28",2,"konk_eroeff_BE"
"68431","2017-03-01",3,"konk_eroeff_BE"
"68457","2017-03-02",1,"konk_eroeff_BE"
"68483","2017-03-03",1,"konk_eroeff_BE"
"68509","2017-03-06",3,"konk_eroeff_BE"
"68535","2017-03-07",6,"konk_eroeff_BE"
"68561","2017-03-08",0,"konk_eroeff_BE"
"68587","2017-03-09",0,"konk_eroeff_BE"
"68613","2017-03-10",1,"konk_eroeff_BE"
"68639","2017-03-13",2,"konk_eroeff_BE"
"68665","2017-03-14",2,"konk_eroeff_BE"
"68691","2017-03-15",3,"konk_eroeff_BE"
"68717","2017-03-16",1,"konk_eroeff_BE"
"68743","2017-03-17",0,"konk_eroeff_BE"
"68769","2017-03-20",5,"konk_eroeff_BE"
"68795","2017-03-21",6,"konk_eroeff_BE"
"68821","2017-03-22",5,"konk_eroeff_BE"
"68847","2017-03-23",1,"konk_eroeff_BE"
"68873","2017-03-24",0,"konk_eroeff_BE"
"68899","2017-03-27",7,"konk_eroeff_BE"
"68925","2017-03-28",3,"konk_eroeff_BE"
"68951","2017-03-29",3,"konk_eroeff_BE"
"68977","2017-03-30",1,"konk_eroeff_BE"
"69003","2017-03-31",0,"konk_eroeff_BE"
"69029","2017-04-03",2,"konk_eroeff_BE"
"69055","2017-04-04",5,"konk_eroeff_BE"
"69081","2017-04-05",1,"konk_eroeff_BE"
"69107","2017-04-06",0,"konk_eroeff_BE"
"69133","2017-04-07",1,"konk_eroeff_BE"
"69159","2017-04-10",1,"konk_eroeff_BE"
"69185","2017-04-11",5,"konk_eroeff_BE"
"69211","2017-04-12",0,"konk_eroeff_BE"
"69237","2017-04-13",0,"konk_eroeff_BE"
"69263","2017-04-18",0,"konk_eroeff_BE"
"69289","2017-04-19",0,"konk_eroeff_BE"
"69315","2017-04-20",1,"konk_eroeff_BE"
"69341","2017-04-21",0,"konk_eroeff_BE"
"69367","2017-04-24",0,"konk_eroeff_BE"
"69393","2017-04-25",0,"konk_eroeff_BE"
"69419","2017-04-26",0,"konk_eroeff_BE"
"69445","2017-04-27",0,"konk_eroeff_BE"
"69471","2017-04-28",1,"konk_eroeff_BE"
"69497","2017-05-01",5,"konk_eroeff_BE"
"69523","2017-05-02",5,"konk_eroeff_BE"
"69549","2017-05-03",1,"konk_eroeff_BE"
"69575","2017-05-04",1,"konk_eroeff_BE"
"69601","2017-05-05",0,"konk_eroeff_BE"
"69627","2017-05-08",7,"konk_eroeff_BE"
"69653","2017-05-09",4,"konk_eroeff_BE"
"69679","2017-05-10",0,"konk_eroeff_BE"
"69705","2017-05-11",0,"konk_eroeff_BE"
"69731","2017-05-12",0,"konk_eroeff_BE"
"69757","2017-05-15",2,"konk_eroeff_BE"
"69783","2017-05-16",3,"konk_eroeff_BE"
"69809","2017-05-17",3,"konk_eroeff_BE"
"69835","2017-05-18",0,"konk_eroeff_BE"
"69861","2017-05-19",0,"konk_eroeff_BE"
"69887","2017-05-22",0,"konk_eroeff_BE"
"69913","2017-05-23",2,"konk_eroeff_BE"
"69939","2017-05-24",3,"konk_eroeff_BE"
"69965","2017-05-26",4,"konk_eroeff_BE"
"69991","2017-05-29",0,"konk_eroeff_BE"
"70017","2017-05-30",3,"konk_eroeff_BE"
"70043","2017-05-31",0,"konk_eroeff_BE"
"70069","2017-06-01",1,"konk_eroeff_BE"
"70095","2017-06-02",1,"konk_eroeff_BE"
"70121","2017-06-06",1,"konk_eroeff_BE"
"70147","2017-06-07",4,"konk_eroeff_BE"
"70173","2017-06-08",1,"konk_eroeff_BE"
"70199","2017-06-09",3,"konk_eroeff_BE"
"70225","2017-06-12",1,"konk_eroeff_BE"
"70251","2017-06-13",1,"konk_eroeff_BE"
"70277","2017-06-14",1,"konk_eroeff_BE"
"70303","2017-06-15",1,"konk_eroeff_BE"
"70329","2017-06-16",0,"konk_eroeff_BE"
"70355","2017-06-19",4,"konk_eroeff_BE"
