"","date","value","id"
"67366","2017-01-03",0,"konk_eroeff_BL"
"67392","2017-01-04",0,"konk_eroeff_BL"
"67418","2017-01-05",0,"konk_eroeff_BL"
"67444","2017-01-06",0,"konk_eroeff_BL"
"67470","2017-01-09",0,"konk_eroeff_BL"
"67496","2017-01-10",0,"konk_eroeff_BL"
"67522","2017-01-11",2,"konk_eroeff_BL"
"67548","2017-01-12",0,"konk_eroeff_BL"
"67574","2017-01-13",1,"konk_eroeff_BL"
"67600","2017-01-16",4,"konk_eroeff_BL"
"67626","2017-01-17",0,"konk_eroeff_BL"
"67652","2017-01-18",1,"konk_eroeff_BL"
"67678","2017-01-19",1,"konk_eroeff_BL"
"67704","2017-01-20",0,"konk_eroeff_BL"
"67730","2017-01-23",0,"konk_eroeff_BL"
"67756","2017-01-24",0,"konk_eroeff_BL"
"67782","2017-01-25",0,"konk_eroeff_BL"
"67808","2017-01-26",0,"konk_eroeff_BL"
"67834","2017-01-27",0,"konk_eroeff_BL"
"67860","2017-01-30",3,"konk_eroeff_BL"
"67886","2017-01-31",0,"konk_eroeff_BL"
"67912","2017-02-01",0,"konk_eroeff_BL"
"67938","2017-02-02",1,"konk_eroeff_BL"
"67964","2017-02-03",0,"konk_eroeff_BL"
"67990","2017-02-06",1,"konk_eroeff_BL"
"68016","2017-02-07",4,"konk_eroeff_BL"
"68042","2017-02-08",0,"konk_eroeff_BL"
"68068","2017-02-09",0,"konk_eroeff_BL"
"68094","2017-02-10",0,"konk_eroeff_BL"
"68120","2017-02-13",1,"konk_eroeff_BL"
"68146","2017-02-14",0,"konk_eroeff_BL"
"68172","2017-02-15",0,"konk_eroeff_BL"
"68198","2017-02-16",0,"konk_eroeff_BL"
"68224","2017-02-17",0,"konk_eroeff_BL"
"68250","2017-02-20",0,"konk_eroeff_BL"
"68276","2017-02-21",1,"konk_eroeff_BL"
"68302","2017-02-22",2,"konk_eroeff_BL"
"68328","2017-02-23",0,"konk_eroeff_BL"
"68354","2017-02-24",0,"konk_eroeff_BL"
"68380","2017-02-27",5,"konk_eroeff_BL"
"68406","2017-02-28",0,"konk_eroeff_BL"
"68432","2017-03-01",0,"konk_eroeff_BL"
"68458","2017-03-02",0,"konk_eroeff_BL"
"68484","2017-03-03",0,"konk_eroeff_BL"
"68510","2017-03-06",5,"konk_eroeff_BL"
"68536","2017-03-07",0,"konk_eroeff_BL"
"68562","2017-03-08",0,"konk_eroeff_BL"
"68588","2017-03-09",0,"konk_eroeff_BL"
"68614","2017-03-10",0,"konk_eroeff_BL"
"68640","2017-03-13",0,"konk_eroeff_BL"
"68666","2017-03-14",0,"konk_eroeff_BL"
"68692","2017-03-15",2,"konk_eroeff_BL"
"68718","2017-03-16",0,"konk_eroeff_BL"
"68744","2017-03-17",0,"konk_eroeff_BL"
"68770","2017-03-20",1,"konk_eroeff_BL"
"68796","2017-03-21",1,"konk_eroeff_BL"
"68822","2017-03-22",2,"konk_eroeff_BL"
"68848","2017-03-23",0,"konk_eroeff_BL"
"68874","2017-03-24",1,"konk_eroeff_BL"
"68900","2017-03-27",0,"konk_eroeff_BL"
"68926","2017-03-28",0,"konk_eroeff_BL"
"68952","2017-03-29",1,"konk_eroeff_BL"
"68978","2017-03-30",0,"konk_eroeff_BL"
"69004","2017-03-31",0,"konk_eroeff_BL"
"69030","2017-04-03",2,"konk_eroeff_BL"
"69056","2017-04-04",0,"konk_eroeff_BL"
"69082","2017-04-05",1,"konk_eroeff_BL"
"69108","2017-04-06",1,"konk_eroeff_BL"
"69134","2017-04-07",0,"konk_eroeff_BL"
"69160","2017-04-10",0,"konk_eroeff_BL"
"69186","2017-04-11",0,"konk_eroeff_BL"
"69212","2017-04-12",0,"konk_eroeff_BL"
