"","date","value","id"
"67253","2017-01-03",0,"konk_eroeff_GE"
"67279","2017-01-04",0,"konk_eroeff_GE"
"67305","2017-01-05",0,"konk_eroeff_GE"
"67331","2017-01-06",0,"konk_eroeff_GE"
"67357","2017-01-09",2,"konk_eroeff_GE"
"67383","2017-01-10",0,"konk_eroeff_GE"
"67409","2017-01-11",0,"konk_eroeff_GE"
"67435","2017-01-12",0,"konk_eroeff_GE"
"67461","2017-01-13",0,"konk_eroeff_GE"
"67487","2017-01-16",0,"konk_eroeff_GE"
"67513","2017-01-17",0,"konk_eroeff_GE"
"67539","2017-01-18",0,"konk_eroeff_GE"
"67565","2017-01-19",1,"konk_eroeff_GE"
"67591","2017-01-20",0,"konk_eroeff_GE"
"67617","2017-01-23",0,"konk_eroeff_GE"
"67643","2017-01-24",2,"konk_eroeff_GE"
"67669","2017-01-25",6,"konk_eroeff_GE"
"67695","2017-01-26",0,"konk_eroeff_GE"
"67721","2017-01-27",0,"konk_eroeff_GE"
"67747","2017-01-30",2,"konk_eroeff_GE"
"67773","2017-01-31",10,"konk_eroeff_GE"
"67799","2017-02-01",1,"konk_eroeff_GE"
"67825","2017-02-02",0,"konk_eroeff_GE"
"67851","2017-02-03",1,"konk_eroeff_GE"
"67877","2017-02-06",1,"konk_eroeff_GE"
"67903","2017-02-07",0,"konk_eroeff_GE"
"67929","2017-02-08",2,"konk_eroeff_GE"
"67955","2017-02-09",0,"konk_eroeff_GE"
"67981","2017-02-10",9,"konk_eroeff_GE"
"68007","2017-02-13",0,"konk_eroeff_GE"
"68033","2017-02-14",1,"konk_eroeff_GE"
"68059","2017-02-15",1,"konk_eroeff_GE"
"68085","2017-02-16",0,"konk_eroeff_GE"
"68111","2017-02-17",1,"konk_eroeff_GE"
"68137","2017-02-20",0,"konk_eroeff_GE"
"68163","2017-02-21",0,"konk_eroeff_GE"
"68189","2017-02-22",2,"konk_eroeff_GE"
"68215","2017-02-23",0,"konk_eroeff_GE"
"68241","2017-02-24",0,"konk_eroeff_GE"
"68267","2017-02-27",0,"konk_eroeff_GE"
"68293","2017-02-28",0,"konk_eroeff_GE"
"68319","2017-03-01",0,"konk_eroeff_GE"
"68345","2017-03-02",13,"konk_eroeff_GE"
"68371","2017-03-03",0,"konk_eroeff_GE"
"68397","2017-03-06",0,"konk_eroeff_GE"
"68423","2017-03-07",4,"konk_eroeff_GE"
"68449","2017-03-08",0,"konk_eroeff_GE"
"68475","2017-03-09",1,"konk_eroeff_GE"
"68501","2017-03-10",6,"konk_eroeff_GE"
"68527","2017-03-13",0,"konk_eroeff_GE"
"68553","2017-03-14",6,"konk_eroeff_GE"
"68579","2017-03-15",1,"konk_eroeff_GE"
"68605","2017-03-16",0,"konk_eroeff_GE"
"68631","2017-03-17",6,"konk_eroeff_GE"
"68657","2017-03-20",1,"konk_eroeff_GE"
"68683","2017-03-21",7,"konk_eroeff_GE"
"68709","2017-03-22",1,"konk_eroeff_GE"
"68735","2017-03-23",7,"konk_eroeff_GE"
"68761","2017-03-24",0,"konk_eroeff_GE"
"68787","2017-03-27",4,"konk_eroeff_GE"
"68813","2017-03-28",0,"konk_eroeff_GE"
"68839","2017-03-29",0,"konk_eroeff_GE"
"68865","2017-03-30",0,"konk_eroeff_GE"
"68891","2017-03-31",6,"konk_eroeff_GE"
"68917","2017-04-03",0,"konk_eroeff_GE"
"68943","2017-04-04",3,"konk_eroeff_GE"
"68969","2017-04-05",0,"konk_eroeff_GE"
"68995","2017-04-06",0,"konk_eroeff_GE"
"69021","2017-04-07",3,"konk_eroeff_GE"
"69047","2017-04-10",4,"konk_eroeff_GE"
"69073","2017-04-11",2,"konk_eroeff_GE"
"69099","2017-04-12",0,"konk_eroeff_GE"
"69125","2017-04-13",5,"konk_eroeff_GE"
"69151","2017-04-18",4,"konk_eroeff_GE"
"69177","2017-04-19",0,"konk_eroeff_GE"
"69203","2017-04-20",0,"konk_eroeff_GE"
"69229","2017-04-21",0,"konk_eroeff_GE"
"69255","2017-04-24",0,"konk_eroeff_GE"
"69281","2017-04-25",0,"konk_eroeff_GE"
"69307","2017-04-26",0,"konk_eroeff_GE"
"69333","2017-04-27",0,"konk_eroeff_GE"
"69359","2017-04-28",0,"konk_eroeff_GE"
"69385","2017-05-01",0,"konk_eroeff_GE"
"69411","2017-05-02",0,"konk_eroeff_GE"
"69437","2017-05-03",0,"konk_eroeff_GE"
