"","date","value","id"
"67370","2017-01-03",0,"konk_eroeff_GL"
"67396","2017-01-04",0,"konk_eroeff_GL"
"67422","2017-01-05",0,"konk_eroeff_GL"
"67448","2017-01-06",0,"konk_eroeff_GL"
"67474","2017-01-09",0,"konk_eroeff_GL"
"67500","2017-01-10",0,"konk_eroeff_GL"
"67526","2017-01-11",0,"konk_eroeff_GL"
"67552","2017-01-12",0,"konk_eroeff_GL"
"67578","2017-01-13",0,"konk_eroeff_GL"
"67604","2017-01-16",0,"konk_eroeff_GL"
"67630","2017-01-17",0,"konk_eroeff_GL"
"67656","2017-01-18",0,"konk_eroeff_GL"
"67682","2017-01-19",1,"konk_eroeff_GL"
"67708","2017-01-20",0,"konk_eroeff_GL"
"67734","2017-01-23",0,"konk_eroeff_GL"
"67760","2017-01-24",0,"konk_eroeff_GL"
"67786","2017-01-25",0,"konk_eroeff_GL"
"67812","2017-01-26",0,"konk_eroeff_GL"
"67838","2017-01-27",0,"konk_eroeff_GL"
"67864","2017-01-30",1,"konk_eroeff_GL"
"67890","2017-01-31",0,"konk_eroeff_GL"
"67916","2017-02-01",0,"konk_eroeff_GL"
"67942","2017-02-02",0,"konk_eroeff_GL"
"67968","2017-02-03",0,"konk_eroeff_GL"
"67994","2017-02-06",0,"konk_eroeff_GL"
"68020","2017-02-07",0,"konk_eroeff_GL"
"68046","2017-02-08",0,"konk_eroeff_GL"
"68072","2017-02-09",0,"konk_eroeff_GL"
"68098","2017-02-10",0,"konk_eroeff_GL"
"68124","2017-02-13",0,"konk_eroeff_GL"
"68150","2017-02-14",0,"konk_eroeff_GL"
"68176","2017-02-15",0,"konk_eroeff_GL"
"68202","2017-02-16",0,"konk_eroeff_GL"
"68228","2017-02-17",0,"konk_eroeff_GL"
"68254","2017-02-20",0,"konk_eroeff_GL"
"68280","2017-02-21",0,"konk_eroeff_GL"
"68306","2017-02-22",0,"konk_eroeff_GL"
"68332","2017-02-23",0,"konk_eroeff_GL"
"68358","2017-02-24",0,"konk_eroeff_GL"
"68384","2017-02-27",0,"konk_eroeff_GL"
"68410","2017-02-28",0,"konk_eroeff_GL"
"68436","2017-03-01",0,"konk_eroeff_GL"
"68462","2017-03-02",0,"konk_eroeff_GL"
"68488","2017-03-03",1,"konk_eroeff_GL"
"68514","2017-03-06",0,"konk_eroeff_GL"
"68540","2017-03-07",0,"konk_eroeff_GL"
"68566","2017-03-08",0,"konk_eroeff_GL"
"68592","2017-03-09",0,"konk_eroeff_GL"
"68618","2017-03-10",0,"konk_eroeff_GL"
"68644","2017-03-13",0,"konk_eroeff_GL"
"68670","2017-03-14",0,"konk_eroeff_GL"
"68696","2017-03-15",0,"konk_eroeff_GL"
"68722","2017-03-16",0,"konk_eroeff_GL"
"68748","2017-03-17",0,"konk_eroeff_GL"
"68774","2017-03-20",0,"konk_eroeff_GL"
"68800","2017-03-21",0,"konk_eroeff_GL"
"68826","2017-03-22",0,"konk_eroeff_GL"
"68852","2017-03-23",0,"konk_eroeff_GL"
"68878","2017-03-24",0,"konk_eroeff_GL"
"68904","2017-03-27",0,"konk_eroeff_GL"
"68930","2017-03-28",0,"konk_eroeff_GL"
"68956","2017-03-29",0,"konk_eroeff_GL"
"68982","2017-03-30",0,"konk_eroeff_GL"
"69008","2017-03-31",0,"konk_eroeff_GL"
"69034","2017-04-03",0,"konk_eroeff_GL"
"69060","2017-04-04",0,"konk_eroeff_GL"
"69086","2017-04-05",0,"konk_eroeff_GL"
"69112","2017-04-06",0,"konk_eroeff_GL"
"69138","2017-04-07",0,"konk_eroeff_GL"
"69164","2017-04-10",0,"konk_eroeff_GL"
"69190","2017-04-11",0,"konk_eroeff_GL"
"69216","2017-04-12",0,"konk_eroeff_GL"
"69242","2017-04-13",0,"konk_eroeff_GL"
"69268","2017-04-18",0,"konk_eroeff_GL"
"69294","2017-04-19",0,"konk_eroeff_GL"
"69320","2017-04-20",0,"konk_eroeff_GL"
"69346","2017-04-21",0,"konk_eroeff_GL"
"69372","2017-04-24",0,"konk_eroeff_GL"
"69398","2017-04-25",0,"konk_eroeff_GL"
"69424","2017-04-26",0,"konk_eroeff_GL"
"69450","2017-04-27",0,"konk_eroeff_GL"
"69476","2017-04-28",0,"konk_eroeff_GL"
"69502","2017-05-01",0,"konk_eroeff_GL"
"69528","2017-05-02",0,"konk_eroeff_GL"
"69554","2017-05-03",0,"konk_eroeff_GL"
"69580","2017-05-04",0,"konk_eroeff_GL"
"69606","2017-05-05",0,"konk_eroeff_GL"
"69632","2017-05-08",0,"konk_eroeff_GL"
"69658","2017-05-09",3,"konk_eroeff_GL"
"69684","2017-05-10",0,"konk_eroeff_GL"
"69710","2017-05-11",0,"konk_eroeff_GL"
"69736","2017-05-12",0,"konk_eroeff_GL"
"69762","2017-05-15",0,"konk_eroeff_GL"
"69788","2017-05-16",0,"konk_eroeff_GL"
"69814","2017-05-17",0,"konk_eroeff_GL"
"69840","2017-05-18",0,"konk_eroeff_GL"
"69866","2017-05-19",0,"konk_eroeff_GL"
"69892","2017-05-22",0,"konk_eroeff_GL"
"69918","2017-05-23",0,"konk_eroeff_GL"
"69944","2017-05-24",0,"konk_eroeff_GL"
"69970","2017-05-26",0,"konk_eroeff_GL"
"69996","2017-05-29",0,"konk_eroeff_GL"
"70022","2017-05-30",0,"konk_eroeff_GL"
"70048","2017-05-31",0,"konk_eroeff_GL"
"70074","2017-06-01",0,"konk_eroeff_GL"
"70100","2017-06-02",0,"konk_eroeff_GL"
"70126","2017-06-06",0,"konk_eroeff_GL"
"70152","2017-06-07",0,"konk_eroeff_GL"
"70178","2017-06-08",0,"konk_eroeff_GL"
"70204","2017-06-09",0,"konk_eroeff_GL"
"70230","2017-06-12",0,"konk_eroeff_GL"
"70256","2017-06-13",0,"konk_eroeff_GL"
"70282","2017-06-14",0,"konk_eroeff_GL"
"70308","2017-06-15",0,"konk_eroeff_GL"
"70334","2017-06-16",0,"konk_eroeff_GL"
"70360","2017-06-19",0,"konk_eroeff_GL"
"70386","2017-06-20",0,"konk_eroeff_GL"
"70412","2017-06-21",0,"konk_eroeff_GL"
"70438","2017-06-22",0,"konk_eroeff_GL"
"70464","2017-06-23",0,"konk_eroeff_GL"
"70490","2017-06-26",0,"konk_eroeff_GL"
"70516","2017-06-27",0,"konk_eroeff_GL"
"70542","2017-06-28",0,"konk_eroeff_GL"
"70568","2017-06-29",0,"konk_eroeff_GL"
"70594","2017-06-30",1,"konk_eroeff_GL"
"70620","2017-07-03",0,"konk_eroeff_GL"
"70646","2017-07-04",0,"konk_eroeff_GL"
"70672","2017-07-05",0,"konk_eroeff_GL"
"70698","2017-07-06",0,"konk_eroeff_GL"
"70724","2017-07-07",1,"konk_eroeff_GL"
"70750","2017-07-10",0,"konk_eroeff_GL"
"70776","2017-07-11",0,"konk_eroeff_GL"
"70802","2017-07-12",0,"konk_eroeff_GL"
"70828","2017-07-13",0,"konk_eroeff_GL"
"70854","2017-07-14",0,"konk_eroeff_GL"
"70880","2017-07-17",0,"konk_eroeff_GL"
"70906","2017-07-18",0,"konk_eroeff_GL"
"70932","2017-07-19",0,"konk_eroeff_GL"
"70958","2017-07-20",0,"konk_eroeff_GL"
"70984","2017-07-21",0,"konk_eroeff_GL"
"71010","2017-07-24",0,"konk_eroeff_GL"
"71036","2017-07-25",0,"konk_eroeff_GL"
"71062","2017-07-26",0,"konk_eroeff_GL"
"71088","2017-07-27",0,"konk_eroeff_GL"
"71114","2017-07-28",0,"konk_eroeff_GL"
"71140","2017-07-31",0,"konk_eroeff_GL"
"71166","2017-08-02",0,"konk_eroeff_GL"
"71192","2017-08-03",0,"konk_eroeff_GL"
"71218","2017-08-04",0,"konk_eroeff_GL"
"71244","2017-08-07",0,"konk_eroeff_GL"
"71270","2017-08-08",0,"konk_eroeff_GL"
"71296","2017-08-09",0,"konk_eroeff_GL"
"71322","2017-08-10",0,"konk_eroeff_GL"
"71348","2017-08-11",0,"konk_eroeff_GL"
"71374","2017-08-14",0,"konk_eroeff_GL"
"71400","2017-08-15",0,"konk_eroeff_GL"
"71426","2017-08-16",0,"konk_eroeff_GL"
"71452","2017-08-17",0,"konk_eroeff_GL"
"71478","2017-08-18",1,"konk_eroeff_GL"
"71504","2017-08-21",0,"konk_eroeff_GL"
"71530","2017-08-22",0,"konk_eroeff_GL"
"71556","2017-08-23",0,"konk_eroeff_GL"
"71582","2017-08-24",0,"konk_eroeff_GL"
"71608","2017-08-25",0,"konk_eroeff_GL"
"71634","2017-08-28",0,"konk_eroeff_GL"
"71660","2017-08-29",0,"konk_eroeff_GL"
