"","date","value","id"
"67255","2017-01-03",0,"konk_eroeff_GR"
"67281","2017-01-04",0,"konk_eroeff_GR"
"67307","2017-01-05",0,"konk_eroeff_GR"
"67333","2017-01-06",0,"konk_eroeff_GR"
"67359","2017-01-09",0,"konk_eroeff_GR"
"67385","2017-01-10",0,"konk_eroeff_GR"
"67411","2017-01-11",0,"konk_eroeff_GR"
"67437","2017-01-12",1,"konk_eroeff_GR"
"67463","2017-01-13",3,"konk_eroeff_GR"
"67489","2017-01-16",1,"konk_eroeff_GR"
"67515","2017-01-17",1,"konk_eroeff_GR"
"67541","2017-01-18",1,"konk_eroeff_GR"
"67567","2017-01-19",0,"konk_eroeff_GR"
"67593","2017-01-20",0,"konk_eroeff_GR"
"67619","2017-01-23",0,"konk_eroeff_GR"
"67645","2017-01-24",3,"konk_eroeff_GR"
"67671","2017-01-25",0,"konk_eroeff_GR"
"67697","2017-01-26",0,"konk_eroeff_GR"
"67723","2017-01-27",0,"konk_eroeff_GR"
"67749","2017-01-30",0,"konk_eroeff_GR"
"67775","2017-01-31",0,"konk_eroeff_GR"
"67801","2017-02-01",1,"konk_eroeff_GR"
"67827","2017-02-02",0,"konk_eroeff_GR"
"67853","2017-02-03",0,"konk_eroeff_GR"
"67879","2017-02-06",0,"konk_eroeff_GR"
"67905","2017-02-07",3,"konk_eroeff_GR"
"67931","2017-02-08",0,"konk_eroeff_GR"
"67957","2017-02-09",0,"konk_eroeff_GR"
"67983","2017-02-10",0,"konk_eroeff_GR"
"68009","2017-02-13",0,"konk_eroeff_GR"
"68035","2017-02-14",0,"konk_eroeff_GR"
"68061","2017-02-15",0,"konk_eroeff_GR"
"68087","2017-02-16",0,"konk_eroeff_GR"
"68113","2017-02-17",0,"konk_eroeff_GR"
"68139","2017-02-20",0,"konk_eroeff_GR"
"68165","2017-02-21",1,"konk_eroeff_GR"
"68191","2017-02-22",0,"konk_eroeff_GR"
"68217","2017-02-23",0,"konk_eroeff_GR"
"68243","2017-02-24",0,"konk_eroeff_GR"
"68269","2017-02-27",0,"konk_eroeff_GR"
"68295","2017-02-28",0,"konk_eroeff_GR"
"68321","2017-03-01",0,"konk_eroeff_GR"
"68347","2017-03-02",0,"konk_eroeff_GR"
"68373","2017-03-03",0,"konk_eroeff_GR"
"68399","2017-03-06",0,"konk_eroeff_GR"
"68425","2017-03-07",0,"konk_eroeff_GR"
"68451","2017-03-08",0,"konk_eroeff_GR"
"68477","2017-03-09",0,"konk_eroeff_GR"
"68503","2017-03-10",0,"konk_eroeff_GR"
"68529","2017-03-13",0,"konk_eroeff_GR"
"68555","2017-03-14",2,"konk_eroeff_GR"
"68581","2017-03-15",0,"konk_eroeff_GR"
"68607","2017-03-16",0,"konk_eroeff_GR"
"68633","2017-03-17",1,"konk_eroeff_GR"
"68659","2017-03-20",0,"konk_eroeff_GR"
"68685","2017-03-21",1,"konk_eroeff_GR"
"68711","2017-03-22",0,"konk_eroeff_GR"
"68737","2017-03-23",0,"konk_eroeff_GR"
"68763","2017-03-24",0,"konk_eroeff_GR"
"68789","2017-03-27",0,"konk_eroeff_GR"
"68815","2017-03-28",0,"konk_eroeff_GR"
"68841","2017-03-29",0,"konk_eroeff_GR"
"68867","2017-03-30",0,"konk_eroeff_GR"
"68893","2017-03-31",0,"konk_eroeff_GR"
"68919","2017-04-03",0,"konk_eroeff_GR"
"68945","2017-04-04",0,"konk_eroeff_GR"
"68971","2017-04-05",0,"konk_eroeff_GR"
"68997","2017-04-06",0,"konk_eroeff_GR"
"69023","2017-04-07",0,"konk_eroeff_GR"
"69049","2017-04-10",0,"konk_eroeff_GR"
"69075","2017-04-11",2,"konk_eroeff_GR"
"69101","2017-04-12",0,"konk_eroeff_GR"
"69127","2017-04-13",1,"konk_eroeff_GR"
"69153","2017-04-18",0,"konk_eroeff_GR"
"69179","2017-04-19",0,"konk_eroeff_GR"
"69205","2017-04-20",0,"konk_eroeff_GR"
"69231","2017-04-21",0,"konk_eroeff_GR"
"69257","2017-04-24",0,"konk_eroeff_GR"
"69283","2017-04-25",0,"konk_eroeff_GR"
"69309","2017-04-26",0,"konk_eroeff_GR"
"69335","2017-04-27",0,"konk_eroeff_GR"
"69361","2017-04-28",0,"konk_eroeff_GR"
"69387","2017-05-01",0,"konk_eroeff_GR"
"69413","2017-05-02",1,"konk_eroeff_GR"
"69439","2017-05-03",0,"konk_eroeff_GR"
"69465","2017-05-04",0,"konk_eroeff_GR"
"69491","2017-05-05",1,"konk_eroeff_GR"
"69517","2017-05-08",1,"konk_eroeff_GR"
"69543","2017-05-09",1,"konk_eroeff_GR"
"69569","2017-05-10",0,"konk_eroeff_GR"
"69595","2017-05-11",1,"konk_eroeff_GR"
"69621","2017-05-12",1,"konk_eroeff_GR"
"69647","2017-05-15",1,"konk_eroeff_GR"
"69673","2017-05-16",0,"konk_eroeff_GR"
"69699","2017-05-17",1,"konk_eroeff_GR"
"69725","2017-05-18",1,"konk_eroeff_GR"
"69751","2017-05-19",0,"konk_eroeff_GR"
"69777","2017-05-22",0,"konk_eroeff_GR"
"69803","2017-05-23",0,"konk_eroeff_GR"
"69829","2017-05-24",1,"konk_eroeff_GR"
"69855","2017-05-26",0,"konk_eroeff_GR"
"69881","2017-05-29",0,"konk_eroeff_GR"
"69907","2017-05-30",0,"konk_eroeff_GR"
"69933","2017-05-31",0,"konk_eroeff_GR"
"69959","2017-06-01",0,"konk_eroeff_GR"
"69985","2017-06-02",0,"konk_eroeff_GR"
"70011","2017-06-06",0,"konk_eroeff_GR"
"70037","2017-06-07",0,"konk_eroeff_GR"
"70063","2017-06-08",1,"konk_eroeff_GR"
"70089","2017-06-09",0,"konk_eroeff_GR"
"70115","2017-06-12",0,"konk_eroeff_GR"
"70141","2017-06-13",2,"konk_eroeff_GR"
"70167","2017-06-14",2,"konk_eroeff_GR"
"70193","2017-06-15",1,"konk_eroeff_GR"
"70219","2017-06-16",1,"konk_eroeff_GR"
