"","date","value","id"
"67373","2017-01-03",1,"konk_eroeff_LU"
"67399","2017-01-04",0,"konk_eroeff_LU"
"67425","2017-01-05",0,"konk_eroeff_LU"
"67451","2017-01-06",0,"konk_eroeff_LU"
"67477","2017-01-09",0,"konk_eroeff_LU"
"67503","2017-01-10",5,"konk_eroeff_LU"
"67529","2017-01-11",0,"konk_eroeff_LU"
"67555","2017-01-12",0,"konk_eroeff_LU"
"67581","2017-01-13",0,"konk_eroeff_LU"
"67607","2017-01-16",0,"konk_eroeff_LU"
"67633","2017-01-17",1,"konk_eroeff_LU"
"67659","2017-01-18",0,"konk_eroeff_LU"
"67685","2017-01-19",3,"konk_eroeff_LU"
"67711","2017-01-20",1,"konk_eroeff_LU"
"67737","2017-01-23",2,"konk_eroeff_LU"
"67763","2017-01-24",3,"konk_eroeff_LU"
"67789","2017-01-25",0,"konk_eroeff_LU"
"67815","2017-01-26",0,"konk_eroeff_LU"
"67841","2017-01-27",1,"konk_eroeff_LU"
"67867","2017-01-30",0,"konk_eroeff_LU"
"67893","2017-01-31",1,"konk_eroeff_LU"
"67919","2017-02-01",1,"konk_eroeff_LU"
"67945","2017-02-02",0,"konk_eroeff_LU"
"67971","2017-02-03",1,"konk_eroeff_LU"
"67997","2017-02-06",1,"konk_eroeff_LU"
"68023","2017-02-07",2,"konk_eroeff_LU"
"68049","2017-02-08",0,"konk_eroeff_LU"
"68075","2017-02-09",0,"konk_eroeff_LU"
"68101","2017-02-10",0,"konk_eroeff_LU"
"68127","2017-02-13",0,"konk_eroeff_LU"
"68153","2017-02-14",4,"konk_eroeff_LU"
"68179","2017-02-15",0,"konk_eroeff_LU"
"68205","2017-02-16",1,"konk_eroeff_LU"
"68231","2017-02-17",1,"konk_eroeff_LU"
"68257","2017-02-20",0,"konk_eroeff_LU"
"68283","2017-02-21",3,"konk_eroeff_LU"
"68309","2017-02-22",1,"konk_eroeff_LU"
"68335","2017-02-23",0,"konk_eroeff_LU"
