"","date","value","id"
"67258","2017-01-03",0,"konk_eroeff_NE"
"67284","2017-01-04",0,"konk_eroeff_NE"
"67310","2017-01-05",0,"konk_eroeff_NE"
"67336","2017-01-06",0,"konk_eroeff_NE"
"67362","2017-01-09",0,"konk_eroeff_NE"
"67388","2017-01-10",0,"konk_eroeff_NE"
"67414","2017-01-11",0,"konk_eroeff_NE"
"67440","2017-01-12",0,"konk_eroeff_NE"
"67466","2017-01-13",1,"konk_eroeff_NE"
"67492","2017-01-16",0,"konk_eroeff_NE"
"67518","2017-01-17",0,"konk_eroeff_NE"
"67544","2017-01-18",3,"konk_eroeff_NE"
"67570","2017-01-19",0,"konk_eroeff_NE"
"67596","2017-01-20",0,"konk_eroeff_NE"
"67622","2017-01-23",0,"konk_eroeff_NE"
"67648","2017-01-24",0,"konk_eroeff_NE"
"67674","2017-01-25",0,"konk_eroeff_NE"
"67700","2017-01-26",0,"konk_eroeff_NE"
"67726","2017-01-27",0,"konk_eroeff_NE"
"67752","2017-01-30",3,"konk_eroeff_NE"
"67778","2017-01-31",0,"konk_eroeff_NE"
"67804","2017-02-01",0,"konk_eroeff_NE"
"67830","2017-02-02",0,"konk_eroeff_NE"
"67856","2017-02-03",0,"konk_eroeff_NE"
"67882","2017-02-06",0,"konk_eroeff_NE"
"67908","2017-02-07",0,"konk_eroeff_NE"
"67934","2017-02-08",0,"konk_eroeff_NE"
"67960","2017-02-09",0,"konk_eroeff_NE"
"67986","2017-02-10",0,"konk_eroeff_NE"
"68012","2017-02-13",0,"konk_eroeff_NE"
"68038","2017-02-14",0,"konk_eroeff_NE"
"68064","2017-02-15",0,"konk_eroeff_NE"
"68090","2017-02-16",0,"konk_eroeff_NE"
"68116","2017-02-17",0,"konk_eroeff_NE"
"68142","2017-02-20",1,"konk_eroeff_NE"
"68168","2017-02-21",0,"konk_eroeff_NE"
"68194","2017-02-22",0,"konk_eroeff_NE"
"68220","2017-02-23",0,"konk_eroeff_NE"
"68246","2017-02-24",0,"konk_eroeff_NE"
"68272","2017-02-27",0,"konk_eroeff_NE"
"68298","2017-02-28",1,"konk_eroeff_NE"
"68324","2017-03-01",0,"konk_eroeff_NE"
"68350","2017-03-02",0,"konk_eroeff_NE"
"68376","2017-03-03",0,"konk_eroeff_NE"
"68402","2017-03-06",0,"konk_eroeff_NE"
"68428","2017-03-07",0,"konk_eroeff_NE"
"68454","2017-03-08",0,"konk_eroeff_NE"
"68480","2017-03-09",0,"konk_eroeff_NE"
"68506","2017-03-10",0,"konk_eroeff_NE"
"68532","2017-03-13",1,"konk_eroeff_NE"
"68558","2017-03-14",0,"konk_eroeff_NE"
"68584","2017-03-15",0,"konk_eroeff_NE"
"68610","2017-03-16",1,"konk_eroeff_NE"
"68636","2017-03-17",0,"konk_eroeff_NE"
"68662","2017-03-20",0,"konk_eroeff_NE"
"68688","2017-03-21",0,"konk_eroeff_NE"
"68714","2017-03-22",0,"konk_eroeff_NE"
"68740","2017-03-23",0,"konk_eroeff_NE"
"68766","2017-03-24",0,"konk_eroeff_NE"
"68792","2017-03-27",0,"konk_eroeff_NE"
"68818","2017-03-28",2,"konk_eroeff_NE"
"68844","2017-03-29",0,"konk_eroeff_NE"
"68870","2017-03-30",0,"konk_eroeff_NE"
"68896","2017-03-31",1,"konk_eroeff_NE"
"68922","2017-04-03",0,"konk_eroeff_NE"
"68948","2017-04-04",0,"konk_eroeff_NE"
"68974","2017-04-05",1,"konk_eroeff_NE"
"69000","2017-04-06",0,"konk_eroeff_NE"
"69026","2017-04-07",2,"konk_eroeff_NE"
"69052","2017-04-10",0,"konk_eroeff_NE"
"69078","2017-04-11",0,"konk_eroeff_NE"
"69104","2017-04-12",0,"konk_eroeff_NE"
"69130","2017-04-13",0,"konk_eroeff_NE"
"69156","2017-04-18",0,"konk_eroeff_NE"
"69182","2017-04-19",0,"konk_eroeff_NE"
"69208","2017-04-20",0,"konk_eroeff_NE"
"69234","2017-04-21",0,"konk_eroeff_NE"
"69260","2017-04-24",0,"konk_eroeff_NE"
"69286","2017-04-25",0,"konk_eroeff_NE"
"69312","2017-04-26",0,"konk_eroeff_NE"
"69338","2017-04-27",0,"konk_eroeff_NE"
"69364","2017-04-28",0,"konk_eroeff_NE"
"69390","2017-05-01",0,"konk_eroeff_NE"
"69416","2017-05-02",3,"konk_eroeff_NE"
"69442","2017-05-03",0,"konk_eroeff_NE"
"69468","2017-05-04",0,"konk_eroeff_NE"
"69494","2017-05-05",0,"konk_eroeff_NE"
"69520","2017-05-08",0,"konk_eroeff_NE"
"69546","2017-05-09",0,"konk_eroeff_NE"
"69572","2017-05-10",0,"konk_eroeff_NE"
"69598","2017-05-11",0,"konk_eroeff_NE"
"69624","2017-05-12",0,"konk_eroeff_NE"
"69650","2017-05-15",0,"konk_eroeff_NE"
"69676","2017-05-16",1,"konk_eroeff_NE"
"69702","2017-05-17",0,"konk_eroeff_NE"
"69728","2017-05-18",0,"konk_eroeff_NE"
"69754","2017-05-19",0,"konk_eroeff_NE"
"69780","2017-05-22",2,"konk_eroeff_NE"
"69806","2017-05-23",0,"konk_eroeff_NE"
"69832","2017-05-24",0,"konk_eroeff_NE"
"69858","2017-05-26",0,"konk_eroeff_NE"
"69884","2017-05-29",1,"konk_eroeff_NE"
"69910","2017-05-30",1,"konk_eroeff_NE"
"69936","2017-05-31",0,"konk_eroeff_NE"
"69962","2017-06-01",3,"konk_eroeff_NE"
"69988","2017-06-02",0,"konk_eroeff_NE"
"70014","2017-06-06",0,"konk_eroeff_NE"
"70040","2017-06-07",0,"konk_eroeff_NE"
"70066","2017-06-08",0,"konk_eroeff_NE"
"70092","2017-06-09",0,"konk_eroeff_NE"
"70118","2017-06-12",0,"konk_eroeff_NE"
"70144","2017-06-13",0,"konk_eroeff_NE"
"70170","2017-06-14",0,"konk_eroeff_NE"
"70196","2017-06-15",0,"konk_eroeff_NE"
"70222","2017-06-16",0,"konk_eroeff_NE"
"70248","2017-06-19",0,"konk_eroeff_NE"
"70274","2017-06-20",3,"konk_eroeff_NE"
"70300","2017-06-21",0,"konk_eroeff_NE"
"70326","2017-06-22",0,"konk_eroeff_NE"
"70352","2017-06-23",0,"konk_eroeff_NE"
"70378","2017-06-26",0,"konk_eroeff_NE"
"70404","2017-06-27",0,"konk_eroeff_NE"
"70430","2017-06-28",0,"konk_eroeff_NE"
"70456","2017-06-29",0,"konk_eroeff_NE"
"70482","2017-06-30",0,"konk_eroeff_NE"
"70508","2017-07-03",0,"konk_eroeff_NE"
"70534","2017-07-04",2,"konk_eroeff_NE"
"70560","2017-07-05",0,"konk_eroeff_NE"
"70586","2017-07-06",0,"konk_eroeff_NE"
"70612","2017-07-07",1,"konk_eroeff_NE"
"70638","2017-07-10",0,"konk_eroeff_NE"
"70664","2017-07-11",2,"konk_eroeff_NE"
"70690","2017-07-12",0,"konk_eroeff_NE"
"70716","2017-07-13",0,"konk_eroeff_NE"
"70742","2017-07-14",0,"konk_eroeff_NE"
"70768","2017-07-17",0,"konk_eroeff_NE"
"70794","2017-07-18",1,"konk_eroeff_NE"
"70820","2017-07-19",1,"konk_eroeff_NE"
"70846","2017-07-20",0,"konk_eroeff_NE"
"70872","2017-07-21",0,"konk_eroeff_NE"
"70898","2017-07-24",0,"konk_eroeff_NE"
"70924","2017-07-25",0,"konk_eroeff_NE"
"70950","2017-07-26",0,"konk_eroeff_NE"
"70976","2017-07-27",1,"konk_eroeff_NE"
"71002","2017-07-28",0,"konk_eroeff_NE"
"71028","2017-07-31",0,"konk_eroeff_NE"
"71054","2017-08-02",0,"konk_eroeff_NE"
