"","date","value","id"
"67259","2017-01-03",0,"konk_eroeff_NW"
"67285","2017-01-04",0,"konk_eroeff_NW"
"67311","2017-01-05",0,"konk_eroeff_NW"
"67337","2017-01-06",0,"konk_eroeff_NW"
"67363","2017-01-09",0,"konk_eroeff_NW"
"67389","2017-01-10",0,"konk_eroeff_NW"
"67415","2017-01-11",0,"konk_eroeff_NW"
"67441","2017-01-12",0,"konk_eroeff_NW"
"67467","2017-01-13",0,"konk_eroeff_NW"
"67493","2017-01-16",0,"konk_eroeff_NW"
"67519","2017-01-17",0,"konk_eroeff_NW"
"67545","2017-01-18",0,"konk_eroeff_NW"
"67571","2017-01-19",0,"konk_eroeff_NW"
"67597","2017-01-20",0,"konk_eroeff_NW"
"67623","2017-01-23",0,"konk_eroeff_NW"
"67649","2017-01-24",0,"konk_eroeff_NW"
"67675","2017-01-25",0,"konk_eroeff_NW"
"67701","2017-01-26",0,"konk_eroeff_NW"
"67727","2017-01-27",0,"konk_eroeff_NW"
"67753","2017-01-30",0,"konk_eroeff_NW"
"67779","2017-01-31",0,"konk_eroeff_NW"
"67805","2017-02-01",0,"konk_eroeff_NW"
"67831","2017-02-02",0,"konk_eroeff_NW"
"67857","2017-02-03",0,"konk_eroeff_NW"
"67883","2017-02-06",0,"konk_eroeff_NW"
"67909","2017-02-07",0,"konk_eroeff_NW"
"67935","2017-02-08",0,"konk_eroeff_NW"
"67961","2017-02-09",0,"konk_eroeff_NW"
"67987","2017-02-10",0,"konk_eroeff_NW"
"68013","2017-02-13",0,"konk_eroeff_NW"
"68039","2017-02-14",0,"konk_eroeff_NW"
"68065","2017-02-15",0,"konk_eroeff_NW"
"68091","2017-02-16",0,"konk_eroeff_NW"
"68117","2017-02-17",0,"konk_eroeff_NW"
"68143","2017-02-20",0,"konk_eroeff_NW"
"68169","2017-02-21",0,"konk_eroeff_NW"
"68195","2017-02-22",0,"konk_eroeff_NW"
"68221","2017-02-23",0,"konk_eroeff_NW"
"68247","2017-02-24",0,"konk_eroeff_NW"
"68273","2017-02-27",0,"konk_eroeff_NW"
"68299","2017-02-28",0,"konk_eroeff_NW"
"68325","2017-03-01",0,"konk_eroeff_NW"
"68351","2017-03-02",0,"konk_eroeff_NW"
"68377","2017-03-03",0,"konk_eroeff_NW"
"68403","2017-03-06",0,"konk_eroeff_NW"
"68429","2017-03-07",0,"konk_eroeff_NW"
"68455","2017-03-08",0,"konk_eroeff_NW"
"68481","2017-03-09",0,"konk_eroeff_NW"
"68507","2017-03-10",0,"konk_eroeff_NW"
"68533","2017-03-13",1,"konk_eroeff_NW"
"68559","2017-03-14",0,"konk_eroeff_NW"
