"","date","value","id"
"67265","2017-01-03",0,"konk_eroeff_TG"
"67291","2017-01-04",0,"konk_eroeff_TG"
"67317","2017-01-05",0,"konk_eroeff_TG"
"67343","2017-01-06",0,"konk_eroeff_TG"
"67369","2017-01-09",0,"konk_eroeff_TG"
"67395","2017-01-10",1,"konk_eroeff_TG"
"67421","2017-01-11",1,"konk_eroeff_TG"
"67447","2017-01-12",0,"konk_eroeff_TG"
"67473","2017-01-13",0,"konk_eroeff_TG"
"67499","2017-01-16",0,"konk_eroeff_TG"
"67525","2017-01-17",0,"konk_eroeff_TG"
"67551","2017-01-18",0,"konk_eroeff_TG"
"67577","2017-01-19",0,"konk_eroeff_TG"
"67603","2017-01-20",1,"konk_eroeff_TG"
"67629","2017-01-23",0,"konk_eroeff_TG"
"67655","2017-01-24",0,"konk_eroeff_TG"
"67681","2017-01-25",0,"konk_eroeff_TG"
"67707","2017-01-26",4,"konk_eroeff_TG"
"67733","2017-01-27",0,"konk_eroeff_TG"
"67759","2017-01-30",2,"konk_eroeff_TG"
"67785","2017-01-31",0,"konk_eroeff_TG"
"67811","2017-02-01",1,"konk_eroeff_TG"
"67837","2017-02-02",1,"konk_eroeff_TG"
"67863","2017-02-03",0,"konk_eroeff_TG"
"67889","2017-02-06",2,"konk_eroeff_TG"
"67915","2017-02-07",0,"konk_eroeff_TG"
"67941","2017-02-08",0,"konk_eroeff_TG"
"67967","2017-02-09",1,"konk_eroeff_TG"
"67993","2017-02-10",1,"konk_eroeff_TG"
"68019","2017-02-13",1,"konk_eroeff_TG"
"68045","2017-02-14",0,"konk_eroeff_TG"
"68071","2017-02-15",0,"konk_eroeff_TG"
"68097","2017-02-16",0,"konk_eroeff_TG"
"68123","2017-02-17",0,"konk_eroeff_TG"
"68149","2017-02-20",0,"konk_eroeff_TG"
"68175","2017-02-21",0,"konk_eroeff_TG"
"68201","2017-02-22",2,"konk_eroeff_TG"
"68227","2017-02-23",0,"konk_eroeff_TG"
"68253","2017-02-24",1,"konk_eroeff_TG"
"68279","2017-02-27",1,"konk_eroeff_TG"
"68305","2017-02-28",2,"konk_eroeff_TG"
"68331","2017-03-01",0,"konk_eroeff_TG"
"68357","2017-03-02",0,"konk_eroeff_TG"
"68383","2017-03-03",0,"konk_eroeff_TG"
"68409","2017-03-06",0,"konk_eroeff_TG"
"68435","2017-03-07",0,"konk_eroeff_TG"
"68461","2017-03-08",0,"konk_eroeff_TG"
"68487","2017-03-09",1,"konk_eroeff_TG"
"68513","2017-03-10",0,"konk_eroeff_TG"
"68539","2017-03-13",0,"konk_eroeff_TG"
"68565","2017-03-14",0,"konk_eroeff_TG"
"68591","2017-03-15",2,"konk_eroeff_TG"
"68617","2017-03-16",0,"konk_eroeff_TG"
"68643","2017-03-17",0,"konk_eroeff_TG"
"68669","2017-03-20",0,"konk_eroeff_TG"
"68695","2017-03-21",0,"konk_eroeff_TG"
"68721","2017-03-22",0,"konk_eroeff_TG"
"68747","2017-03-23",0,"konk_eroeff_TG"
"68773","2017-03-24",0,"konk_eroeff_TG"
"68799","2017-03-27",1,"konk_eroeff_TG"
"68825","2017-03-28",1,"konk_eroeff_TG"
"68851","2017-03-29",0,"konk_eroeff_TG"
"68877","2017-03-30",0,"konk_eroeff_TG"
"68903","2017-03-31",1,"konk_eroeff_TG"
"68929","2017-04-03",1,"konk_eroeff_TG"
"68955","2017-04-04",0,"konk_eroeff_TG"
"68981","2017-04-05",0,"konk_eroeff_TG"
"69007","2017-04-06",0,"konk_eroeff_TG"
"69033","2017-04-07",1,"konk_eroeff_TG"
"69059","2017-04-10",0,"konk_eroeff_TG"
"69085","2017-04-11",1,"konk_eroeff_TG"
"69111","2017-04-12",4,"konk_eroeff_TG"
"69137","2017-04-13",0,"konk_eroeff_TG"
"69163","2017-04-18",0,"konk_eroeff_TG"
"69189","2017-04-19",0,"konk_eroeff_TG"
"69215","2017-04-20",0,"konk_eroeff_TG"
"69241","2017-04-21",0,"konk_eroeff_TG"
"69267","2017-04-24",2,"konk_eroeff_TG"
"69293","2017-04-25",0,"konk_eroeff_TG"
"69319","2017-04-26",0,"konk_eroeff_TG"
"69345","2017-04-27",0,"konk_eroeff_TG"
"69371","2017-04-28",0,"konk_eroeff_TG"
"69397","2017-05-01",1,"konk_eroeff_TG"
"69423","2017-05-02",0,"konk_eroeff_TG"
"69449","2017-05-03",0,"konk_eroeff_TG"
"69475","2017-05-04",0,"konk_eroeff_TG"
"69501","2017-05-05",3,"konk_eroeff_TG"
"69527","2017-05-08",3,"konk_eroeff_TG"
"69553","2017-05-09",0,"konk_eroeff_TG"
"69579","2017-05-10",0,"konk_eroeff_TG"
"69605","2017-05-11",0,"konk_eroeff_TG"
"69631","2017-05-12",2,"konk_eroeff_TG"
"69657","2017-05-15",0,"konk_eroeff_TG"
"69683","2017-05-16",0,"konk_eroeff_TG"
"69709","2017-05-17",1,"konk_eroeff_TG"
"69735","2017-05-18",1,"konk_eroeff_TG"
"69761","2017-05-19",0,"konk_eroeff_TG"
"69787","2017-05-22",0,"konk_eroeff_TG"
"69813","2017-05-23",1,"konk_eroeff_TG"
"69839","2017-05-24",2,"konk_eroeff_TG"
"69865","2017-05-26",0,"konk_eroeff_TG"
"69891","2017-05-29",0,"konk_eroeff_TG"
"69917","2017-05-30",0,"konk_eroeff_TG"
"69943","2017-05-31",0,"konk_eroeff_TG"
"69969","2017-06-01",0,"konk_eroeff_TG"
"69995","2017-06-02",0,"konk_eroeff_TG"
"70021","2017-06-06",0,"konk_eroeff_TG"
"70047","2017-06-07",0,"konk_eroeff_TG"
"70073","2017-06-08",0,"konk_eroeff_TG"
"70099","2017-06-09",1,"konk_eroeff_TG"
"70125","2017-06-12",0,"konk_eroeff_TG"
"70151","2017-06-13",0,"konk_eroeff_TG"
"70177","2017-06-14",1,"konk_eroeff_TG"
"70203","2017-06-15",1,"konk_eroeff_TG"
"70229","2017-06-16",1,"konk_eroeff_TG"
"70255","2017-06-19",0,"konk_eroeff_TG"
"70281","2017-06-20",0,"konk_eroeff_TG"
"70307","2017-06-21",0,"konk_eroeff_TG"
"70333","2017-06-22",1,"konk_eroeff_TG"
"70359","2017-06-23",0,"konk_eroeff_TG"
"70385","2017-06-26",2,"konk_eroeff_TG"
"70411","2017-06-27",1,"konk_eroeff_TG"
"70437","2017-06-28",1,"konk_eroeff_TG"
"70463","2017-06-29",0,"konk_eroeff_TG"
"70489","2017-06-30",0,"konk_eroeff_TG"
"70515","2017-07-03",1,"konk_eroeff_TG"
"70541","2017-07-04",1,"konk_eroeff_TG"
"70567","2017-07-05",0,"konk_eroeff_TG"
"70593","2017-07-06",1,"konk_eroeff_TG"
"70619","2017-07-07",0,"konk_eroeff_TG"
"70645","2017-07-10",1,"konk_eroeff_TG"
"70671","2017-07-11",1,"konk_eroeff_TG"
"70697","2017-07-12",0,"konk_eroeff_TG"
"70723","2017-07-13",0,"konk_eroeff_TG"
"70749","2017-07-14",0,"konk_eroeff_TG"
"70775","2017-07-17",3,"konk_eroeff_TG"
"70801","2017-07-18",0,"konk_eroeff_TG"
"70827","2017-07-19",0,"konk_eroeff_TG"
"70853","2017-07-20",0,"konk_eroeff_TG"
"70879","2017-07-21",0,"konk_eroeff_TG"
"70905","2017-07-24",0,"konk_eroeff_TG"
"70931","2017-07-25",0,"konk_eroeff_TG"
"70957","2017-07-26",0,"konk_eroeff_TG"
"70983","2017-07-27",0,"konk_eroeff_TG"
"71009","2017-07-28",0,"konk_eroeff_TG"
"71035","2017-07-31",0,"konk_eroeff_TG"
