"","date","value","id"
"67267","2017-01-03",0,"konk_eroeff_UR"
"67293","2017-01-04",0,"konk_eroeff_UR"
"67319","2017-01-05",0,"konk_eroeff_UR"
"67345","2017-01-06",0,"konk_eroeff_UR"
"67371","2017-01-09",0,"konk_eroeff_UR"
"67397","2017-01-10",0,"konk_eroeff_UR"
"67423","2017-01-11",0,"konk_eroeff_UR"
"67449","2017-01-12",1,"konk_eroeff_UR"
"67475","2017-01-13",0,"konk_eroeff_UR"
"67501","2017-01-16",0,"konk_eroeff_UR"
"67527","2017-01-17",0,"konk_eroeff_UR"
"67553","2017-01-18",0,"konk_eroeff_UR"
"67579","2017-01-19",0,"konk_eroeff_UR"
"67605","2017-01-20",0,"konk_eroeff_UR"
"67631","2017-01-23",0,"konk_eroeff_UR"
"67657","2017-01-24",0,"konk_eroeff_UR"
"67683","2017-01-25",0,"konk_eroeff_UR"
"67709","2017-01-26",0,"konk_eroeff_UR"
"67735","2017-01-27",0,"konk_eroeff_UR"
"67761","2017-01-30",0,"konk_eroeff_UR"
"67787","2017-01-31",0,"konk_eroeff_UR"
"67813","2017-02-01",0,"konk_eroeff_UR"
"67839","2017-02-02",0,"konk_eroeff_UR"
"67865","2017-02-03",0,"konk_eroeff_UR"
"67891","2017-02-06",0,"konk_eroeff_UR"
"67917","2017-02-07",0,"konk_eroeff_UR"
"67943","2017-02-08",0,"konk_eroeff_UR"
"67969","2017-02-09",0,"konk_eroeff_UR"
"67995","2017-02-10",0,"konk_eroeff_UR"
"68021","2017-02-13",0,"konk_eroeff_UR"
"68047","2017-02-14",0,"konk_eroeff_UR"
"68073","2017-02-15",0,"konk_eroeff_UR"
"68099","2017-02-16",0,"konk_eroeff_UR"
"68125","2017-02-17",0,"konk_eroeff_UR"
"68151","2017-02-20",0,"konk_eroeff_UR"
"68177","2017-02-21",0,"konk_eroeff_UR"
"68203","2017-02-22",0,"konk_eroeff_UR"
"68229","2017-02-23",0,"konk_eroeff_UR"
"68255","2017-02-24",1,"konk_eroeff_UR"
"68281","2017-02-27",0,"konk_eroeff_UR"
"68307","2017-02-28",0,"konk_eroeff_UR"
"68333","2017-03-01",0,"konk_eroeff_UR"
"68359","2017-03-02",0,"konk_eroeff_UR"
"68385","2017-03-03",0,"konk_eroeff_UR"
"68411","2017-03-06",0,"konk_eroeff_UR"
"68437","2017-03-07",0,"konk_eroeff_UR"
"68463","2017-03-08",0,"konk_eroeff_UR"
"68489","2017-03-09",0,"konk_eroeff_UR"
"68515","2017-03-10",0,"konk_eroeff_UR"
"68541","2017-03-13",0,"konk_eroeff_UR"
"68567","2017-03-14",0,"konk_eroeff_UR"
"68593","2017-03-15",0,"konk_eroeff_UR"
"68619","2017-03-16",1,"konk_eroeff_UR"
"68645","2017-03-17",0,"konk_eroeff_UR"
"68671","2017-03-20",0,"konk_eroeff_UR"
"68697","2017-03-21",0,"konk_eroeff_UR"
"68723","2017-03-22",0,"konk_eroeff_UR"
"68749","2017-03-23",0,"konk_eroeff_UR"
"68775","2017-03-24",0,"konk_eroeff_UR"
"68801","2017-03-27",0,"konk_eroeff_UR"
"68827","2017-03-28",0,"konk_eroeff_UR"
