"","date","value","id"
"67384","2017-01-03",0,"konk_eroeff_VD"
"67410","2017-01-04",0,"konk_eroeff_VD"
"67436","2017-01-05",0,"konk_eroeff_VD"
"67462","2017-01-06",0,"konk_eroeff_VD"
"67488","2017-01-09",1,"konk_eroeff_VD"
"67514","2017-01-10",4,"konk_eroeff_VD"
"67540","2017-01-11",2,"konk_eroeff_VD"
"67566","2017-01-12",1,"konk_eroeff_VD"
"67592","2017-01-13",0,"konk_eroeff_VD"
"67618","2017-01-16",5,"konk_eroeff_VD"
"67644","2017-01-17",1,"konk_eroeff_VD"
"67670","2017-01-18",6,"konk_eroeff_VD"
"67696","2017-01-19",6,"konk_eroeff_VD"
"67722","2017-01-20",6,"konk_eroeff_VD"
"67748","2017-01-23",5,"konk_eroeff_VD"
"67774","2017-01-24",0,"konk_eroeff_VD"
"67800","2017-01-25",5,"konk_eroeff_VD"
"67826","2017-01-26",10,"konk_eroeff_VD"
"67852","2017-01-27",2,"konk_eroeff_VD"
"67878","2017-01-30",2,"konk_eroeff_VD"
"67904","2017-01-31",0,"konk_eroeff_VD"
"67930","2017-02-01",0,"konk_eroeff_VD"
"67956","2017-02-02",2,"konk_eroeff_VD"
"67982","2017-02-03",0,"konk_eroeff_VD"
"68008","2017-02-06",0,"konk_eroeff_VD"
"68034","2017-02-07",2,"konk_eroeff_VD"
"68060","2017-02-08",0,"konk_eroeff_VD"
"68086","2017-02-09",3,"konk_eroeff_VD"
"68112","2017-02-10",6,"konk_eroeff_VD"
"68138","2017-02-13",0,"konk_eroeff_VD"
"68164","2017-02-14",2,"konk_eroeff_VD"
"68190","2017-02-15",3,"konk_eroeff_VD"
"68216","2017-02-16",6,"konk_eroeff_VD"
"68242","2017-02-17",2,"konk_eroeff_VD"
"68268","2017-02-20",3,"konk_eroeff_VD"
"68294","2017-02-21",3,"konk_eroeff_VD"
"68320","2017-02-22",3,"konk_eroeff_VD"
"68346","2017-02-23",4,"konk_eroeff_VD"
"68372","2017-02-24",2,"konk_eroeff_VD"
"68398","2017-02-27",2,"konk_eroeff_VD"
"68424","2017-02-28",1,"konk_eroeff_VD"
"68450","2017-03-01",2,"konk_eroeff_VD"
"68476","2017-03-02",4,"konk_eroeff_VD"
"68502","2017-03-03",0,"konk_eroeff_VD"
"68528","2017-03-06",6,"konk_eroeff_VD"
"68554","2017-03-07",0,"konk_eroeff_VD"
"68580","2017-03-08",3,"konk_eroeff_VD"
"68606","2017-03-09",4,"konk_eroeff_VD"
"68632","2017-03-10",5,"konk_eroeff_VD"
"68658","2017-03-13",1,"konk_eroeff_VD"
"68684","2017-03-14",3,"konk_eroeff_VD"
"68710","2017-03-15",3,"konk_eroeff_VD"
"68736","2017-03-16",4,"konk_eroeff_VD"
"68762","2017-03-17",5,"konk_eroeff_VD"
"68788","2017-03-20",3,"konk_eroeff_VD"
"68814","2017-03-21",0,"konk_eroeff_VD"
"68840","2017-03-22",2,"konk_eroeff_VD"
"68866","2017-03-23",6,"konk_eroeff_VD"
"68892","2017-03-24",4,"konk_eroeff_VD"
"68918","2017-03-27",3,"konk_eroeff_VD"
"68944","2017-03-28",2,"konk_eroeff_VD"
"68970","2017-03-29",1,"konk_eroeff_VD"
"68996","2017-03-30",5,"konk_eroeff_VD"
"69022","2017-03-31",0,"konk_eroeff_VD"
"69048","2017-04-03",5,"konk_eroeff_VD"
"69074","2017-04-04",2,"konk_eroeff_VD"
"69100","2017-04-05",0,"konk_eroeff_VD"
"69126","2017-04-06",1,"konk_eroeff_VD"
"69152","2017-04-07",2,"konk_eroeff_VD"
"69178","2017-04-10",0,"konk_eroeff_VD"
"69204","2017-04-11",4,"konk_eroeff_VD"
"69230","2017-04-12",8,"konk_eroeff_VD"
"69256","2017-04-13",7,"konk_eroeff_VD"
"69282","2017-04-18",2,"konk_eroeff_VD"
"69308","2017-04-19",0,"konk_eroeff_VD"
"69334","2017-04-20",1,"konk_eroeff_VD"
"69360","2017-04-21",2,"konk_eroeff_VD"
"69386","2017-04-24",0,"konk_eroeff_VD"
"69412","2017-04-25",0,"konk_eroeff_VD"
"69438","2017-04-26",0,"konk_eroeff_VD"
"69464","2017-04-27",0,"konk_eroeff_VD"
"69490","2017-04-28",1,"konk_eroeff_VD"
"69516","2017-05-01",5,"konk_eroeff_VD"
"69542","2017-05-02",1,"konk_eroeff_VD"
"69568","2017-05-03",5,"konk_eroeff_VD"
"69594","2017-05-04",3,"konk_eroeff_VD"
"69620","2017-05-05",1,"konk_eroeff_VD"
"69646","2017-05-08",3,"konk_eroeff_VD"
"69672","2017-05-09",4,"konk_eroeff_VD"
"69698","2017-05-10",3,"konk_eroeff_VD"
"69724","2017-05-11",1,"konk_eroeff_VD"
"69750","2017-05-12",2,"konk_eroeff_VD"
"69776","2017-05-15",1,"konk_eroeff_VD"
"69802","2017-05-16",2,"konk_eroeff_VD"
"69828","2017-05-17",1,"konk_eroeff_VD"
"69854","2017-05-18",3,"konk_eroeff_VD"
"69880","2017-05-19",5,"konk_eroeff_VD"
"69906","2017-05-22",2,"konk_eroeff_VD"
"69932","2017-05-23",2,"konk_eroeff_VD"
"69958","2017-05-24",4,"konk_eroeff_VD"
"69984","2017-05-26",2,"konk_eroeff_VD"
"70010","2017-05-29",6,"konk_eroeff_VD"
"70036","2017-05-30",1,"konk_eroeff_VD"
"70062","2017-05-31",0,"konk_eroeff_VD"
"70088","2017-06-01",0,"konk_eroeff_VD"
"70114","2017-06-02",0,"konk_eroeff_VD"
"70140","2017-06-06",6,"konk_eroeff_VD"
"70166","2017-06-07",2,"konk_eroeff_VD"
"70192","2017-06-08",4,"konk_eroeff_VD"
"70218","2017-06-09",8,"konk_eroeff_VD"
"70244","2017-06-12",3,"konk_eroeff_VD"
"70270","2017-06-13",1,"konk_eroeff_VD"
"70296","2017-06-14",0,"konk_eroeff_VD"
"70322","2017-06-15",3,"konk_eroeff_VD"
"70348","2017-06-16",1,"konk_eroeff_VD"
"70374","2017-06-19",6,"konk_eroeff_VD"
"70400","2017-06-20",1,"konk_eroeff_VD"
"70426","2017-06-21",2,"konk_eroeff_VD"
"70452","2017-06-22",7,"konk_eroeff_VD"
"70478","2017-06-23",6,"konk_eroeff_VD"
"70504","2017-06-26",1,"konk_eroeff_VD"
"70530","2017-06-27",4,"konk_eroeff_VD"
"70556","2017-06-28",2,"konk_eroeff_VD"
"70582","2017-06-29",4,"konk_eroeff_VD"
"70608","2017-06-30",4,"konk_eroeff_VD"
"70634","2017-07-03",1,"konk_eroeff_VD"
"70660","2017-07-04",1,"konk_eroeff_VD"
"70686","2017-07-05",1,"konk_eroeff_VD"
"70712","2017-07-06",2,"konk_eroeff_VD"
"70738","2017-07-07",4,"konk_eroeff_VD"
