"","date","value","id"
"67385","2017-01-03",0,"konk_eroeff_VS"
"67411","2017-01-04",0,"konk_eroeff_VS"
"67437","2017-01-05",0,"konk_eroeff_VS"
"67463","2017-01-06",0,"konk_eroeff_VS"
"67489","2017-01-09",0,"konk_eroeff_VS"
"67515","2017-01-10",0,"konk_eroeff_VS"
"67541","2017-01-11",0,"konk_eroeff_VS"
"67567","2017-01-12",0,"konk_eroeff_VS"
"67593","2017-01-13",0,"konk_eroeff_VS"
"67619","2017-01-16",4,"konk_eroeff_VS"
"67645","2017-01-17",1,"konk_eroeff_VS"
"67671","2017-01-18",2,"konk_eroeff_VS"
"67697","2017-01-19",1,"konk_eroeff_VS"
"67723","2017-01-20",0,"konk_eroeff_VS"
"67749","2017-01-23",0,"konk_eroeff_VS"
"67775","2017-01-24",0,"konk_eroeff_VS"
"67801","2017-01-25",0,"konk_eroeff_VS"
"67827","2017-01-26",0,"konk_eroeff_VS"
"67853","2017-01-27",0,"konk_eroeff_VS"
"67879","2017-01-30",0,"konk_eroeff_VS"
"67905","2017-01-31",0,"konk_eroeff_VS"
"67931","2017-02-01",1,"konk_eroeff_VS"
"67957","2017-02-02",0,"konk_eroeff_VS"
"67983","2017-02-03",1,"konk_eroeff_VS"
"68009","2017-02-06",1,"konk_eroeff_VS"
"68035","2017-02-07",1,"konk_eroeff_VS"
"68061","2017-02-08",1,"konk_eroeff_VS"
"68087","2017-02-09",0,"konk_eroeff_VS"
"68113","2017-02-10",0,"konk_eroeff_VS"
"68139","2017-02-13",0,"konk_eroeff_VS"
"68165","2017-02-14",1,"konk_eroeff_VS"
"68191","2017-02-15",0,"konk_eroeff_VS"
"68217","2017-02-16",1,"konk_eroeff_VS"
"68243","2017-02-17",0,"konk_eroeff_VS"
"68269","2017-02-20",1,"konk_eroeff_VS"
"68295","2017-02-21",2,"konk_eroeff_VS"
"68321","2017-02-22",0,"konk_eroeff_VS"
"68347","2017-02-23",4,"konk_eroeff_VS"
"68373","2017-02-24",0,"konk_eroeff_VS"
"68399","2017-02-27",0,"konk_eroeff_VS"
"68425","2017-02-28",2,"konk_eroeff_VS"
"68451","2017-03-01",0,"konk_eroeff_VS"
"68477","2017-03-02",0,"konk_eroeff_VS"
"68503","2017-03-03",1,"konk_eroeff_VS"
"68529","2017-03-06",0,"konk_eroeff_VS"
"68555","2017-03-07",1,"konk_eroeff_VS"
"68581","2017-03-08",0,"konk_eroeff_VS"
"68607","2017-03-09",0,"konk_eroeff_VS"
"68633","2017-03-10",3,"konk_eroeff_VS"
"68659","2017-03-13",0,"konk_eroeff_VS"
