"","date","value","id"
"67387","2017-01-03",0,"konk_eroeff_ZH"
"67413","2017-01-04",0,"konk_eroeff_ZH"
"67439","2017-01-05",0,"konk_eroeff_ZH"
"67465","2017-01-06",0,"konk_eroeff_ZH"
"67491","2017-01-09",3,"konk_eroeff_ZH"
"67517","2017-01-10",3,"konk_eroeff_ZH"
"67543","2017-01-11",0,"konk_eroeff_ZH"
"67569","2017-01-12",9,"konk_eroeff_ZH"
"67595","2017-01-13",1,"konk_eroeff_ZH"
"67621","2017-01-16",4,"konk_eroeff_ZH"
"67647","2017-01-17",11,"konk_eroeff_ZH"
"67673","2017-01-18",0,"konk_eroeff_ZH"
"67699","2017-01-19",7,"konk_eroeff_ZH"
"67725","2017-01-20",1,"konk_eroeff_ZH"
"67751","2017-01-23",4,"konk_eroeff_ZH"
"67777","2017-01-24",2,"konk_eroeff_ZH"
"67803","2017-01-25",2,"konk_eroeff_ZH"
"67829","2017-01-26",9,"konk_eroeff_ZH"
"67855","2017-01-27",1,"konk_eroeff_ZH"
"67881","2017-01-30",8,"konk_eroeff_ZH"
"67907","2017-01-31",2,"konk_eroeff_ZH"
"67933","2017-02-01",6,"konk_eroeff_ZH"
"67959","2017-02-02",9,"konk_eroeff_ZH"
"67985","2017-02-03",1,"konk_eroeff_ZH"
"68011","2017-02-06",4,"konk_eroeff_ZH"
"68037","2017-02-07",0,"konk_eroeff_ZH"
"68063","2017-02-08",0,"konk_eroeff_ZH"
"68089","2017-02-09",5,"konk_eroeff_ZH"
"68115","2017-02-10",1,"konk_eroeff_ZH"
"68141","2017-02-13",4,"konk_eroeff_ZH"
"68167","2017-02-14",0,"konk_eroeff_ZH"
"68193","2017-02-15",0,"konk_eroeff_ZH"
"68219","2017-02-16",2,"konk_eroeff_ZH"
"68245","2017-02-17",0,"konk_eroeff_ZH"
"68271","2017-02-20",5,"konk_eroeff_ZH"
"68297","2017-02-21",4,"konk_eroeff_ZH"
"68323","2017-02-22",4,"konk_eroeff_ZH"
"68349","2017-02-23",5,"konk_eroeff_ZH"
"68375","2017-02-24",1,"konk_eroeff_ZH"
"68401","2017-02-27",6,"konk_eroeff_ZH"
"68427","2017-02-28",4,"konk_eroeff_ZH"
"68453","2017-03-01",1,"konk_eroeff_ZH"
"68479","2017-03-02",4,"konk_eroeff_ZH"
"68505","2017-03-03",2,"konk_eroeff_ZH"
"68531","2017-03-06",3,"konk_eroeff_ZH"
"68557","2017-03-07",6,"konk_eroeff_ZH"
"68583","2017-03-08",3,"konk_eroeff_ZH"
"68609","2017-03-09",0,"konk_eroeff_ZH"
"68635","2017-03-10",4,"konk_eroeff_ZH"
"68661","2017-03-13",1,"konk_eroeff_ZH"
"68687","2017-03-14",4,"konk_eroeff_ZH"
