"","date","value","id"
"47955","2020-01-01",23,"motorrad_ZH0587_ZH"
"48015","2020-01-02",30,"motorrad_ZH0587_ZH"
"48075","2020-01-03",88,"motorrad_ZH0587_ZH"
"48135","2020-01-04",44,"motorrad_ZH0587_ZH"
"48195","2020-01-05",141,"motorrad_ZH0587_ZH"
"48255","2020-01-06",110,"motorrad_ZH0587_ZH"
"48315","2020-01-07",93,"motorrad_ZH0587_ZH"
"48375","2020-01-08",102,"motorrad_ZH0587_ZH"
"48435","2020-01-09",102,"motorrad_ZH0587_ZH"
"48495","2020-01-10",151,"motorrad_ZH0587_ZH"
"48555","2020-01-11",95,"motorrad_ZH0587_ZH"
"48615","2020-01-12",95,"motorrad_ZH0587_ZH"
"48675","2020-01-13",88,"motorrad_ZH0587_ZH"
"48735","2020-01-14",140,"motorrad_ZH0587_ZH"
"48795","2020-01-15",169,"motorrad_ZH0587_ZH"
"48855","2020-01-16",200,"motorrad_ZH0587_ZH"
"48915","2020-01-17",95,"motorrad_ZH0587_ZH"
"48975","2020-01-18",75,"motorrad_ZH0587_ZH"
"49035","2020-01-19",56,"motorrad_ZH0587_ZH"
"49095","2020-01-20",85,"motorrad_ZH0587_ZH"
"49155","2020-01-21",103,"motorrad_ZH0587_ZH"
"49215","2020-01-22",83,"motorrad_ZH0587_ZH"
"49275","2020-01-23",75,"motorrad_ZH0587_ZH"
"49335","2020-01-24",79,"motorrad_ZH0587_ZH"
"49395","2020-01-25",72,"motorrad_ZH0587_ZH"
"49455","2020-01-26",67,"motorrad_ZH0587_ZH"
"49515","2020-01-27",123,"motorrad_ZH0587_ZH"
"49575","2020-01-28",65,"motorrad_ZH0587_ZH"
"49635","2020-01-29",73,"motorrad_ZH0587_ZH"
"49695","2020-01-30",111,"motorrad_ZH0587_ZH"
"49755","2020-01-31",155,"motorrad_ZH0587_ZH"
"49815","2020-02-01",152,"motorrad_ZH0587_ZH"
"49875","2020-02-02",33,"motorrad_ZH0587_ZH"
"49935","2020-02-03",70,"motorrad_ZH0587_ZH"
"49995","2020-02-04",72,"motorrad_ZH0587_ZH"
"50055","2020-02-05",95,"motorrad_ZH0587_ZH"
"50115","2020-02-06",116,"motorrad_ZH0587_ZH"
"50175","2020-02-07",152,"motorrad_ZH0587_ZH"
"50235","2020-02-08",132,"motorrad_ZH0587_ZH"
"50295","2020-02-09",268,"motorrad_ZH0587_ZH"
"50355","2020-02-10",35,"motorrad_ZH0587_ZH"
"50415","2020-02-11",59,"motorrad_ZH0587_ZH"
"50475","2020-02-12",89,"motorrad_ZH0587_ZH"
"50535","2020-02-13",116,"motorrad_ZH0587_ZH"
"50599","2020-02-14",127,"motorrad_ZH0587_ZH"
"50663","2020-02-15",303,"motorrad_ZH0587_ZH"
"50727","2020-02-16",341,"motorrad_ZH0587_ZH"
"50791","2020-02-17",86,"motorrad_ZH0587_ZH"
"50855","2020-02-18",156,"motorrad_ZH0587_ZH"
"50919","2020-02-19",83,"motorrad_ZH0587_ZH"
"50983","2020-02-20",181,"motorrad_ZH0587_ZH"
"51047","2020-02-21",179,"motorrad_ZH0587_ZH"
"51111","2020-02-22",467,"motorrad_ZH0587_ZH"
"51175","2020-02-23",193,"motorrad_ZH0587_ZH"
"51239","2020-02-24",298,"motorrad_ZH0587_ZH"
"51303","2020-02-25",152,"motorrad_ZH0587_ZH"
"51367","2020-02-26",40,"motorrad_ZH0587_ZH"
"51431","2020-02-27",48,"motorrad_ZH0587_ZH"
"51495","2020-02-28",148,"motorrad_ZH0587_ZH"
"51559","2020-02-29",214,"motorrad_ZH0587_ZH"
"51623","2020-03-01",425,"motorrad_ZH0587_ZH"
"51687","2020-03-02",125,"motorrad_ZH0587_ZH"
"51751","2020-03-03",145,"motorrad_ZH0587_ZH"
"51815","2020-03-04",143,"motorrad_ZH0587_ZH"
"51879","2020-03-05",89,"motorrad_ZH0587_ZH"
"51943","2020-03-06",113,"motorrad_ZH0587_ZH"
"52007","2020-03-07",141,"motorrad_ZH0587_ZH"
"52071","2020-03-08",326,"motorrad_ZH0587_ZH"
"52135","2020-03-09",96,"motorrad_ZH0587_ZH"
"52199","2020-03-10",114,"motorrad_ZH0587_ZH"
"52263","2020-03-11",284,"motorrad_ZH0587_ZH"
"52327","2020-03-12",323,"motorrad_ZH0587_ZH"
"52391","2020-03-13",273,"motorrad_ZH0587_ZH"
"52455","2020-03-14",358,"motorrad_ZH0587_ZH"
"52519","2020-03-15",915,"motorrad_ZH0587_ZH"
"52583","2020-03-16",419,"motorrad_ZH0587_ZH"
"52647","2020-03-17",456,"motorrad_ZH0587_ZH"
"52711","2020-03-18",639,"motorrad_ZH0587_ZH"
"52775","2020-03-19",677,"motorrad_ZH0587_ZH"
"52839","2020-03-20",410,"motorrad_ZH0587_ZH"
"52903","2020-03-21",177,"motorrad_ZH0587_ZH"
"52967","2020-03-22",123,"motorrad_ZH0587_ZH"
"53031","2020-03-23",171,"motorrad_ZH0587_ZH"
"53095","2020-03-24",189,"motorrad_ZH0587_ZH"
"53159","2020-03-25",160,"motorrad_ZH0587_ZH"
"53223","2020-03-26",156,"motorrad_ZH0587_ZH"
"53287","2020-03-27",313,"motorrad_ZH0587_ZH"
"53351","2020-03-28",926,"motorrad_ZH0587_ZH"
"53415","2020-03-29",55,"motorrad_ZH0587_ZH"
"53479","2020-03-30",58,"motorrad_ZH0587_ZH"
"53543","2020-03-31",162,"motorrad_ZH0587_ZH"
"53607","2020-04-01",257,"motorrad_ZH0587_ZH"
"53671","2020-04-02",345,"motorrad_ZH0587_ZH"
"53735","2020-04-03",402,"motorrad_ZH0587_ZH"
"53799","2020-04-04",716,"motorrad_ZH0587_ZH"
"53863","2020-04-05",938,"motorrad_ZH0587_ZH"
"53927","2020-04-06",491,"motorrad_ZH0587_ZH"
"53991","2020-04-07",561,"motorrad_ZH0587_ZH"
"54055","2020-04-08",660,"motorrad_ZH0587_ZH"
"54119","2020-04-09",639,"motorrad_ZH0587_ZH"
"54179","2020-04-10",894,"motorrad_ZH0587_ZH"
"54239","2020-04-11",870,"motorrad_ZH0587_ZH"
"54299","2020-04-12",788,"motorrad_ZH0587_ZH"
"54359","2020-04-13",728,"motorrad_ZH0587_ZH"
"54419","2020-04-14",287,"motorrad_ZH0587_ZH"
"54479","2020-04-15",404,"motorrad_ZH0587_ZH"
"54543","2020-04-16",565,"motorrad_ZH0587_ZH"
"54603","2020-04-17",777,"motorrad_ZH0587_ZH"
"54663","2020-04-18",945,"motorrad_ZH0587_ZH"
"54723","2020-04-19",788,"motorrad_ZH0587_ZH"
"54783","2020-04-20",412,"motorrad_ZH0587_ZH"
"54843","2020-04-21",461,"motorrad_ZH0587_ZH"
"54903","2020-04-22",686,"motorrad_ZH0587_ZH"
"54963","2020-04-23",758,"motorrad_ZH0587_ZH"
"55023","2020-04-24",743,"motorrad_ZH0587_ZH"
"55083","2020-04-25",839,"motorrad_ZH0587_ZH"
"55143","2020-04-26",775,"motorrad_ZH0587_ZH"
"55203","2020-04-27",394,"motorrad_ZH0587_ZH"
"55263","2020-04-28",131,"motorrad_ZH0587_ZH"
"55323","2020-04-29",172,"motorrad_ZH0587_ZH"
"55383","2020-04-30",125,"motorrad_ZH0587_ZH"
"55443","2020-05-01",82,"motorrad_ZH0587_ZH"
"55503","2020-05-02",118,"motorrad_ZH0587_ZH"
"55563","2020-05-03",586,"motorrad_ZH0587_ZH"
"55731","2020-05-05",174,"motorrad_ZH0587_ZH"
