"","date","value","id"
"47988","2020-01-01",7569,"privatverkehr_ZH0208_ZH"
"48048","2020-01-02",10606,"privatverkehr_ZH0208_ZH"
"48108","2020-01-03",14722,"privatverkehr_ZH0208_ZH"
"48168","2020-01-04",13762,"privatverkehr_ZH0208_ZH"
"48228","2020-01-05",9245,"privatverkehr_ZH0208_ZH"
"48288","2020-01-06",16354,"privatverkehr_ZH0208_ZH"
"48348","2020-01-07",16531,"privatverkehr_ZH0208_ZH"
"48408","2020-01-08",16965,"privatverkehr_ZH0208_ZH"
"48468","2020-01-09",17241,"privatverkehr_ZH0208_ZH"
"48528","2020-01-10",17910,"privatverkehr_ZH0208_ZH"
"48588","2020-01-11",15974,"privatverkehr_ZH0208_ZH"
"48648","2020-01-12",10511,"privatverkehr_ZH0208_ZH"
"48708","2020-01-13",16654,"privatverkehr_ZH0208_ZH"
"48768","2020-01-14",17233,"privatverkehr_ZH0208_ZH"
"48828","2020-01-15",17662,"privatverkehr_ZH0208_ZH"
"48888","2020-01-16",17511,"privatverkehr_ZH0208_ZH"
"48948","2020-01-17",17970,"privatverkehr_ZH0208_ZH"
"49008","2020-01-18",16950,"privatverkehr_ZH0208_ZH"
"49068","2020-01-19",10554,"privatverkehr_ZH0208_ZH"
"49128","2020-01-20",17197,"privatverkehr_ZH0208_ZH"
"49188","2020-01-21",17317,"privatverkehr_ZH0208_ZH"
"49248","2020-01-22",17585,"privatverkehr_ZH0208_ZH"
"49308","2020-01-23",17588,"privatverkehr_ZH0208_ZH"
"49368","2020-01-24",18657,"privatverkehr_ZH0208_ZH"
"49428","2020-01-25",16409,"privatverkehr_ZH0208_ZH"
"49488","2020-01-26",10667,"privatverkehr_ZH0208_ZH"
"49548","2020-01-27",16523,"privatverkehr_ZH0208_ZH"
"49608","2020-01-28",16474,"privatverkehr_ZH0208_ZH"
"49668","2020-01-29",17306,"privatverkehr_ZH0208_ZH"
"49728","2020-01-30",17362,"privatverkehr_ZH0208_ZH"
"49788","2020-01-31",18038,"privatverkehr_ZH0208_ZH"
"49848","2020-02-01",16171,"privatverkehr_ZH0208_ZH"
"49908","2020-02-02",9708,"privatverkehr_ZH0208_ZH"
"49968","2020-02-03",15995,"privatverkehr_ZH0208_ZH"
"50028","2020-02-04",16299,"privatverkehr_ZH0208_ZH"
"50088","2020-02-05",17022,"privatverkehr_ZH0208_ZH"
"50148","2020-02-06",16590,"privatverkehr_ZH0208_ZH"
"50208","2020-02-07",17614,"privatverkehr_ZH0208_ZH"
"50268","2020-02-08",15660,"privatverkehr_ZH0208_ZH"
"50328","2020-02-09",10202,"privatverkehr_ZH0208_ZH"
"50388","2020-02-10",15907,"privatverkehr_ZH0208_ZH"
"50448","2020-02-11",16723,"privatverkehr_ZH0208_ZH"
"50508","2020-02-12",16952,"privatverkehr_ZH0208_ZH"
"50572","2020-02-13",16855,"privatverkehr_ZH0208_ZH"
"50636","2020-02-14",17528,"privatverkehr_ZH0208_ZH"
"50700","2020-02-15",15538,"privatverkehr_ZH0208_ZH"
"50764","2020-02-16",9954,"privatverkehr_ZH0208_ZH"
"50828","2020-02-17",16721,"privatverkehr_ZH0208_ZH"
"50892","2020-02-18",17032,"privatverkehr_ZH0208_ZH"
"50956","2020-02-19",17720,"privatverkehr_ZH0208_ZH"
"51020","2020-02-20",17190,"privatverkehr_ZH0208_ZH"
"51084","2020-02-21",18033,"privatverkehr_ZH0208_ZH"
"51148","2020-02-22",15701,"privatverkehr_ZH0208_ZH"
"51212","2020-02-23",9759,"privatverkehr_ZH0208_ZH"
"51276","2020-02-24",16898,"privatverkehr_ZH0208_ZH"
"51340","2020-02-25",17252,"privatverkehr_ZH0208_ZH"
"51404","2020-02-26",17600,"privatverkehr_ZH0208_ZH"
"51468","2020-02-27",17529,"privatverkehr_ZH0208_ZH"
"51532","2020-02-28",18634,"privatverkehr_ZH0208_ZH"
"51596","2020-02-29",16477,"privatverkehr_ZH0208_ZH"
