"","date","value","id"
"35564","2018-01-01",37.4,"stat_einkauf_CH"
"35565","2018-01-02",83,"stat_einkauf_CH"
"35566","2018-01-03",90.6,"stat_einkauf_CH"
"35567","2018-01-04",96.6,"stat_einkauf_CH"
"35568","2018-01-05",113.2,"stat_einkauf_CH"
"35569","2018-01-06",122.8,"stat_einkauf_CH"
"35570","2018-01-07",15.7,"stat_einkauf_CH"
"35571","2018-01-08",81.9,"stat_einkauf_CH"
"35572","2018-01-09",101.3,"stat_einkauf_CH"
"35573","2018-01-10",84.9,"stat_einkauf_CH"
"35574","2018-01-11",86.9,"stat_einkauf_CH"
"35575","2018-01-12",104.2,"stat_einkauf_CH"
"35576","2018-01-13",127.7,"stat_einkauf_CH"
"35577","2018-01-14",18.4,"stat_einkauf_CH"
"35578","2018-01-15",80.6,"stat_einkauf_CH"
"35579","2018-01-16",96.2,"stat_einkauf_CH"
"35580","2018-01-17",78.7,"stat_einkauf_CH"
"35581","2018-01-18",81.4,"stat_einkauf_CH"
"35582","2018-01-19",100.2,"stat_einkauf_CH"
"35583","2018-01-20",126.9,"stat_einkauf_CH"
"35584","2018-01-21",15.9,"stat_einkauf_CH"
"35585","2018-01-22",76.2,"stat_einkauf_CH"
"35586","2018-01-23",95.1,"stat_einkauf_CH"
"35587","2018-01-24",79.7,"stat_einkauf_CH"
"35588","2018-01-25",90.9,"stat_einkauf_CH"
"35589","2018-01-26",115.3,"stat_einkauf_CH"
"35590","2018-01-27",119.8,"stat_einkauf_CH"
"35591","2018-01-28",21.1,"stat_einkauf_CH"
"35592","2018-01-29",114.2,"stat_einkauf_CH"
"35593","2018-01-30",108.2,"stat_einkauf_CH"
"35594","2018-01-31",89.4,"stat_einkauf_CH"
"35595","2018-02-01",91.8,"stat_einkauf_CH"
"35596","2018-02-02",108.8,"stat_einkauf_CH"
"35597","2018-02-03",140.1,"stat_einkauf_CH"
"35598","2018-02-04",21,"stat_einkauf_CH"
"35599","2018-02-05",87.5,"stat_einkauf_CH"
"35600","2018-02-06",103.7,"stat_einkauf_CH"
"35601","2018-02-07",85.3,"stat_einkauf_CH"
"35602","2018-02-08",84.1,"stat_einkauf_CH"
"35603","2018-02-09",101.2,"stat_einkauf_CH"
"35604","2018-02-10",125,"stat_einkauf_CH"
"35605","2018-02-11",19.7,"stat_einkauf_CH"
"35606","2018-02-12",82.1,"stat_einkauf_CH"
"35607","2018-02-13",105.1,"stat_einkauf_CH"
"35608","2018-02-14",86.7,"stat_einkauf_CH"
"35609","2018-02-15",86,"stat_einkauf_CH"
"35610","2018-02-16",102.1,"stat_einkauf_CH"
"35611","2018-02-17",124.1,"stat_einkauf_CH"
"35612","2018-02-18",19.9,"stat_einkauf_CH"
"35613","2018-02-19",98.2,"stat_einkauf_CH"
"35614","2018-02-20",74.9,"stat_einkauf_CH"
"35615","2018-02-21",76.6,"stat_einkauf_CH"
"35616","2018-02-22",80.1,"stat_einkauf_CH"
"35617","2018-02-23",107.7,"stat_einkauf_CH"
"35618","2018-02-24",136.7,"stat_einkauf_CH"
"35619","2018-02-25",19.7,"stat_einkauf_CH"
"35620","2018-02-26",110.1,"stat_einkauf_CH"
"35621","2018-02-27",86,"stat_einkauf_CH"
"35622","2018-02-28",90.2,"stat_einkauf_CH"
"35623","2018-03-01",86.1,"stat_einkauf_CH"
"35624","2018-03-02",108,"stat_einkauf_CH"
"35625","2018-03-03",136,"stat_einkauf_CH"
"35626","2018-03-04",19.3,"stat_einkauf_CH"
"35627","2018-03-05",92.9,"stat_einkauf_CH"
"35628","2018-03-06",105.3,"stat_einkauf_CH"
"35629","2018-03-07",86.5,"stat_einkauf_CH"
"35630","2018-03-08",89.5,"stat_einkauf_CH"
"35631","2018-03-09",108.7,"stat_einkauf_CH"
"35632","2018-03-10",136.5,"stat_einkauf_CH"
"35633","2018-03-11",18.5,"stat_einkauf_CH"
"35634","2018-03-12",83.9,"stat_einkauf_CH"
"35635","2018-03-13",102,"stat_einkauf_CH"
"35636","2018-03-14",81.1,"stat_einkauf_CH"
"35637","2018-03-15",85.8,"stat_einkauf_CH"
"35638","2018-03-16",105.8,"stat_einkauf_CH"
"35639","2018-03-17",131.9,"stat_einkauf_CH"
"35640","2018-03-18",17.5,"stat_einkauf_CH"
"35641","2018-03-19",79.5,"stat_einkauf_CH"
"35642","2018-03-20",99.1,"stat_einkauf_CH"
"35643","2018-03-21",81.7,"stat_einkauf_CH"
"35644","2018-03-22",86.2,"stat_einkauf_CH"
"35645","2018-03-23",114.5,"stat_einkauf_CH"
"35646","2018-03-24",143.9,"stat_einkauf_CH"
"35647","2018-03-25",19.9,"stat_einkauf_CH"
"35648","2018-03-26",95.6,"stat_einkauf_CH"
"35649","2018-03-27",121.8,"stat_einkauf_CH"
"35650","2018-03-28",114.4,"stat_einkauf_CH"
"35651","2018-03-29",137.8,"stat_einkauf_CH"
"35652","2018-03-30",59.3,"stat_einkauf_CH"
"35653","2018-03-31",139.1,"stat_einkauf_CH"
"35654","2018-04-01",17,"stat_einkauf_CH"
"35655","2018-04-02",48.4,"stat_einkauf_CH"
"35656","2018-04-03",76.5,"stat_einkauf_CH"
"35657","2018-04-04",128.3,"stat_einkauf_CH"
"35658","2018-04-05",96.8,"stat_einkauf_CH"
"35659","2018-04-06",113.6,"stat_einkauf_CH"
"35660","2018-04-07",136,"stat_einkauf_CH"
"35661","2018-04-08",19,"stat_einkauf_CH"
"35662","2018-04-09",90.1,"stat_einkauf_CH"
"35663","2018-04-10",113.5,"stat_einkauf_CH"
"35664","2018-04-11",88.9,"stat_einkauf_CH"
"35665","2018-04-12",93.5,"stat_einkauf_CH"
"35666","2018-04-13",112.9,"stat_einkauf_CH"
"35667","2018-04-14",135.7,"stat_einkauf_CH"
"35668","2018-04-15",17.4,"stat_einkauf_CH"
"35669","2018-04-16",72,"stat_einkauf_CH"
"35670","2018-04-17",120.3,"stat_einkauf_CH"
"35671","2018-04-18",87.2,"stat_einkauf_CH"
"35672","2018-04-19",91.9,"stat_einkauf_CH"
"35673","2018-04-20",113.2,"stat_einkauf_CH"
"35674","2018-04-21",131.7,"stat_einkauf_CH"
"35675","2018-04-22",17.6,"stat_einkauf_CH"
"35676","2018-04-23",84.2,"stat_einkauf_CH"
"35677","2018-04-24",107.6,"stat_einkauf_CH"
"35678","2018-04-25",97.6,"stat_einkauf_CH"
"35679","2018-04-26",107.4,"stat_einkauf_CH"
"35680","2018-04-27",128.9,"stat_einkauf_CH"
"35681","2018-04-28",153.6,"stat_einkauf_CH"
"35682","2018-04-29",20.3,"stat_einkauf_CH"
"35683","2018-04-30",105,"stat_einkauf_CH"
"35684","2018-05-01",113.2,"stat_einkauf_CH"
"35685","2018-05-02",83.4,"stat_einkauf_CH"
"35686","2018-05-03",111.2,"stat_einkauf_CH"
"35687","2018-05-04",112.8,"stat_einkauf_CH"
"35688","2018-05-05",145.6,"stat_einkauf_CH"
"35689","2018-05-06",19,"stat_einkauf_CH"
"35690","2018-05-07",92.4,"stat_einkauf_CH"
"35691","2018-05-08",120,"stat_einkauf_CH"
"35692","2018-05-09",117,"stat_einkauf_CH"
"35693","2018-05-10",48.5,"stat_einkauf_CH"
"35694","2018-05-11",124.8,"stat_einkauf_CH"
"35695","2018-05-12",134.4,"stat_einkauf_CH"
"35696","2018-05-13",19.6,"stat_einkauf_CH"
"35697","2018-05-14",87,"stat_einkauf_CH"
"35698","2018-05-15",105.8,"stat_einkauf_CH"
"35699","2018-05-16",86.4,"stat_einkauf_CH"
"35700","2018-05-17",90.1,"stat_einkauf_CH"
"35701","2018-05-18",112.3,"stat_einkauf_CH"
"35702","2018-05-19",135.9,"stat_einkauf_CH"
"35703","2018-05-20",17,"stat_einkauf_CH"
"35704","2018-05-21",44.6,"stat_einkauf_CH"
"35705","2018-05-22",72,"stat_einkauf_CH"
"35706","2018-05-23",119.8,"stat_einkauf_CH"
"35707","2018-05-24",92.3,"stat_einkauf_CH"
"35708","2018-05-25",124.6,"stat_einkauf_CH"
"35709","2018-05-26",150.4,"stat_einkauf_CH"
"35710","2018-05-27",19.6,"stat_einkauf_CH"
"35711","2018-05-28",96.4,"stat_einkauf_CH"
"35712","2018-05-29",119.5,"stat_einkauf_CH"
"35713","2018-05-30",101.5,"stat_einkauf_CH"
"35714","2018-05-31",94.9,"stat_einkauf_CH"
"35715","2018-06-01",125.6,"stat_einkauf_CH"
"35716","2018-06-02",142.4,"stat_einkauf_CH"
"35717","2018-06-03",19.2,"stat_einkauf_CH"
"35718","2018-06-04",92,"stat_einkauf_CH"
"35719","2018-06-05",114.4,"stat_einkauf_CH"
"35720","2018-06-06",95.6,"stat_einkauf_CH"
"35721","2018-06-07",98.9,"stat_einkauf_CH"
"35722","2018-06-08",117.6,"stat_einkauf_CH"
"35723","2018-06-09",137.9,"stat_einkauf_CH"
"35724","2018-06-10",19.3,"stat_einkauf_CH"
"35725","2018-06-11",87.7,"stat_einkauf_CH"
"35726","2018-06-12",109.7,"stat_einkauf_CH"
"35727","2018-06-13",91.2,"stat_einkauf_CH"
"35728","2018-06-14",92.7,"stat_einkauf_CH"
"35729","2018-06-15",112.2,"stat_einkauf_CH"
"35730","2018-06-16",127.1,"stat_einkauf_CH"
"35731","2018-06-17",17.9,"stat_einkauf_CH"
"35732","2018-06-18",82.8,"stat_einkauf_CH"
"35733","2018-06-19",104.2,"stat_einkauf_CH"
"35734","2018-06-20",86.2,"stat_einkauf_CH"
"35735","2018-06-21",91,"stat_einkauf_CH"
"35736","2018-06-22",111,"stat_einkauf_CH"
"35737","2018-06-23",128,"stat_einkauf_CH"
"35738","2018-06-24",18,"stat_einkauf_CH"
"35739","2018-06-25",92.9,"stat_einkauf_CH"
"35740","2018-06-26",118.7,"stat_einkauf_CH"
"35741","2018-06-27",102.2,"stat_einkauf_CH"
"35742","2018-06-28",106.7,"stat_einkauf_CH"
"35743","2018-06-29",128,"stat_einkauf_CH"
"35744","2018-06-30",139,"stat_einkauf_CH"
"35745","2018-07-01",20.9,"stat_einkauf_CH"
"35746","2018-07-02",93.8,"stat_einkauf_CH"
"35747","2018-07-03",115.3,"stat_einkauf_CH"
"35748","2018-07-04",98.4,"stat_einkauf_CH"
"35749","2018-07-05",104.3,"stat_einkauf_CH"
"35750","2018-07-06",118.7,"stat_einkauf_CH"
"35751","2018-07-07",135.7,"stat_einkauf_CH"
"35752","2018-07-08",20.6,"stat_einkauf_CH"
"35753","2018-07-09",88.9,"stat_einkauf_CH"
"35754","2018-07-10",114.1,"stat_einkauf_CH"
"35755","2018-07-11",91.6,"stat_einkauf_CH"
"35756","2018-07-12",94,"stat_einkauf_CH"
"35757","2018-07-13",107.9,"stat_einkauf_CH"
"35758","2018-07-14",122.4,"stat_einkauf_CH"
"35759","2018-07-15",18.1,"stat_einkauf_CH"
"35760","2018-07-16",83.6,"stat_einkauf_CH"
"35761","2018-07-17",104,"stat_einkauf_CH"
"35762","2018-07-18",81.9,"stat_einkauf_CH"
"35763","2018-07-19",84.6,"stat_einkauf_CH"
"35764","2018-07-20",98.1,"stat_einkauf_CH"
"35765","2018-07-21",117.6,"stat_einkauf_CH"
"35766","2018-07-22",16.9,"stat_einkauf_CH"
"35767","2018-07-23",78.4,"stat_einkauf_CH"
"35768","2018-07-24",97.4,"stat_einkauf_CH"
"35769","2018-07-25",87.5,"stat_einkauf_CH"
"35770","2018-07-26",95.4,"stat_einkauf_CH"
"35771","2018-07-27",109.3,"stat_einkauf_CH"
"35772","2018-07-28",124.8,"stat_einkauf_CH"
"35773","2018-07-29",19.5,"stat_einkauf_CH"
"35774","2018-07-30",93.8,"stat_einkauf_CH"
"35775","2018-07-31",129.9,"stat_einkauf_CH"
"35776","2018-08-01",43.9,"stat_einkauf_CH"
"35777","2018-08-02",86,"stat_einkauf_CH"
"35778","2018-08-03",107.7,"stat_einkauf_CH"
"35779","2018-08-04",117.4,"stat_einkauf_CH"
"35780","2018-08-05",19.8,"stat_einkauf_CH"
"35781","2018-08-06",89.4,"stat_einkauf_CH"
"35782","2018-08-07",107.7,"stat_einkauf_CH"
"35783","2018-08-08",87.2,"stat_einkauf_CH"
"35784","2018-08-09",95.4,"stat_einkauf_CH"
"35785","2018-08-10",111,"stat_einkauf_CH"
"35786","2018-08-11",118.7,"stat_einkauf_CH"
"35787","2018-08-12",19.5,"stat_einkauf_CH"
"35788","2018-08-13",88.6,"stat_einkauf_CH"
"35789","2018-08-14",108.1,"stat_einkauf_CH"
"35790","2018-08-15",79.9,"stat_einkauf_CH"
"35791","2018-08-16",88.5,"stat_einkauf_CH"
"35792","2018-08-17",107.3,"stat_einkauf_CH"
"35793","2018-08-18",121.5,"stat_einkauf_CH"
"35794","2018-08-19",19.2,"stat_einkauf_CH"
"35795","2018-08-20",83.3,"stat_einkauf_CH"
"35796","2018-08-21",97.4,"stat_einkauf_CH"
"35797","2018-08-22",83.4,"stat_einkauf_CH"
"35798","2018-08-23",87.6,"stat_einkauf_CH"
"35799","2018-08-24",117.3,"stat_einkauf_CH"
"35800","2018-08-25",143.9,"stat_einkauf_CH"
"35801","2018-08-26",22,"stat_einkauf_CH"
"35802","2018-08-27",93.8,"stat_einkauf_CH"
"35803","2018-08-28",109.3,"stat_einkauf_CH"
"35804","2018-08-29",93.5,"stat_einkauf_CH"
"35805","2018-08-30",99.4,"stat_einkauf_CH"
"35806","2018-08-31",116,"stat_einkauf_CH"
"35807","2018-09-01",140.9,"stat_einkauf_CH"
"35808","2018-09-02",20.7,"stat_einkauf_CH"
"35809","2018-09-03",90.9,"stat_einkauf_CH"
"35810","2018-09-04",106,"stat_einkauf_CH"
"35811","2018-09-05",91.1,"stat_einkauf_CH"
"35812","2018-09-06",91.5,"stat_einkauf_CH"
"35813","2018-09-07",112.4,"stat_einkauf_CH"
"35814","2018-09-08",127.5,"stat_einkauf_CH"
"35815","2018-09-09",21.3,"stat_einkauf_CH"
"35816","2018-09-10",87.4,"stat_einkauf_CH"
"35817","2018-09-11",101.7,"stat_einkauf_CH"
"35818","2018-09-12",84.3,"stat_einkauf_CH"
"35819","2018-09-13",89.5,"stat_einkauf_CH"
"35820","2018-09-14",109.3,"stat_einkauf_CH"
"35821","2018-09-15",125.5,"stat_einkauf_CH"
"35822","2018-09-16",21.4,"stat_einkauf_CH"
"35823","2018-09-17",93,"stat_einkauf_CH"
"35824","2018-09-18",82.1,"stat_einkauf_CH"
"35825","2018-09-19",83,"stat_einkauf_CH"
"35826","2018-09-20",84.4,"stat_einkauf_CH"
"35827","2018-09-21",104.5,"stat_einkauf_CH"
"35828","2018-09-22",121.5,"stat_einkauf_CH"
"35829","2018-09-23",20.2,"stat_einkauf_CH"
"35830","2018-09-24",97.8,"stat_einkauf_CH"
"35831","2018-09-25",92.4,"stat_einkauf_CH"
"35832","2018-09-26",100.9,"stat_einkauf_CH"
"35833","2018-09-27",101.7,"stat_einkauf_CH"
"35834","2018-09-28",122.5,"stat_einkauf_CH"
"35835","2018-09-29",146.7,"stat_einkauf_CH"
"35836","2018-09-30",24.1,"stat_einkauf_CH"
"35837","2018-10-01",113,"stat_einkauf_CH"
"35838","2018-10-02",93.8,"stat_einkauf_CH"
"35839","2018-10-03",95,"stat_einkauf_CH"
"35840","2018-10-04",96.9,"stat_einkauf_CH"
"35841","2018-10-05",114.5,"stat_einkauf_CH"
"35842","2018-10-06",136.7,"stat_einkauf_CH"
"35843","2018-10-07",23.4,"stat_einkauf_CH"
"35844","2018-10-08",106.1,"stat_einkauf_CH"
"35845","2018-10-09",88.3,"stat_einkauf_CH"
"35846","2018-10-10",89,"stat_einkauf_CH"
"35847","2018-10-11",92.7,"stat_einkauf_CH"
"35848","2018-10-12",108,"stat_einkauf_CH"
"35849","2018-10-13",126.1,"stat_einkauf_CH"
"35850","2018-10-14",22.8,"stat_einkauf_CH"
"35851","2018-10-15",98.3,"stat_einkauf_CH"
"35852","2018-10-16",82.6,"stat_einkauf_CH"
"35853","2018-10-17",84,"stat_einkauf_CH"
"35854","2018-10-18",88.3,"stat_einkauf_CH"
"35855","2018-10-19",107.4,"stat_einkauf_CH"
"35856","2018-10-20",125.3,"stat_einkauf_CH"
"35857","2018-10-21",21.4,"stat_einkauf_CH"
"35858","2018-10-22",95.6,"stat_einkauf_CH"
"35859","2018-10-23",82.8,"stat_einkauf_CH"
"35860","2018-10-24",88,"stat_einkauf_CH"
"35861","2018-10-25",102.6,"stat_einkauf_CH"
"35862","2018-10-26",131.3,"stat_einkauf_CH"
"35863","2018-10-27",164.8,"stat_einkauf_CH"
"35864","2018-10-28",24.9,"stat_einkauf_CH"
"35865","2018-10-29",114.3,"stat_einkauf_CH"
"35866","2018-10-30",97.9,"stat_einkauf_CH"
"35867","2018-10-31",106,"stat_einkauf_CH"
"35868","2018-11-01",91.9,"stat_einkauf_CH"
"35869","2018-11-02",129.7,"stat_einkauf_CH"
"35870","2018-11-03",154.8,"stat_einkauf_CH"
"35871","2018-11-04",22.7,"stat_einkauf_CH"
"35872","2018-11-05",105.4,"stat_einkauf_CH"
"35873","2018-11-06",90.3,"stat_einkauf_CH"
"35874","2018-11-07",94.4,"stat_einkauf_CH"
"35875","2018-11-08",98,"stat_einkauf_CH"
"35876","2018-11-09",119.2,"stat_einkauf_CH"
"35877","2018-11-10",148.8,"stat_einkauf_CH"
"35878","2018-11-11",22.3,"stat_einkauf_CH"
"35879","2018-11-12",99.9,"stat_einkauf_CH"
"35880","2018-11-13",85.8,"stat_einkauf_CH"
"35881","2018-11-14",90,"stat_einkauf_CH"
"35882","2018-11-15",89,"stat_einkauf_CH"
"35883","2018-11-16",121.1,"stat_einkauf_CH"
"35884","2018-11-17",142.6,"stat_einkauf_CH"
"35885","2018-11-18",21.3,"stat_einkauf_CH"
"35886","2018-11-19",97.7,"stat_einkauf_CH"
"35887","2018-11-20",87.3,"stat_einkauf_CH"
"35888","2018-11-21",92.6,"stat_einkauf_CH"
