"","date","value","id"
"18364","2020-01-01",18.4351428695935,"tages_distanz_2-10km_alter_1529_CH"
"18388","2020-01-02",16.7271573461587,"tages_distanz_2-10km_alter_1529_CH"
"18412","2020-01-03",20.2080698380165,"tages_distanz_2-10km_alter_1529_CH"
"18436","2020-01-04",17.5067965231145,"tages_distanz_2-10km_alter_1529_CH"
"18460","2020-01-05",18.1369627489159,"tages_distanz_2-10km_alter_1529_CH"
"18484","2020-01-06",19.5129122032354,"tages_distanz_2-10km_alter_1529_CH"
"18508","2020-01-07",21.4245736102841,"tages_distanz_2-10km_alter_1529_CH"
"18532","2020-01-08",17.4878935019186,"tages_distanz_2-10km_alter_1529_CH"
"18556","2020-01-09",17.4536333105482,"tages_distanz_2-10km_alter_1529_CH"
"18580","2020-01-10",17.3659217269559,"tages_distanz_2-10km_alter_1529_CH"
"18604","2020-01-11",18.5897658398878,"tages_distanz_2-10km_alter_1529_CH"
"18628","2020-01-12",19.5022020588017,"tages_distanz_2-10km_alter_1529_CH"
"18652","2020-01-13",17.2446131296143,"tages_distanz_2-10km_alter_1529_CH"
"18676","2020-01-14",21.2901318447468,"tages_distanz_2-10km_alter_1529_CH"
"18700","2020-01-15",20.4768570102475,"tages_distanz_2-10km_alter_1529_CH"
"18724","2020-01-16",19.3764185792564,"tages_distanz_2-10km_alter_1529_CH"
"18748","2020-01-17",15.8074230904404,"tages_distanz_2-10km_alter_1529_CH"
"18772","2020-01-18",17.7550884891603,"tages_distanz_2-10km_alter_1529_CH"
"18796","2020-01-19",19.8800644447308,"tages_distanz_2-10km_alter_1529_CH"
"18820","2020-01-20",18.8558883927726,"tages_distanz_2-10km_alter_1529_CH"
"18844","2020-01-21",17.4806731387186,"tages_distanz_2-10km_alter_1529_CH"
"18868","2020-01-22",15.7166569250394,"tages_distanz_2-10km_alter_1529_CH"
"18892","2020-01-23",18.6131271841208,"tages_distanz_2-10km_alter_1529_CH"
"18916","2020-01-24",13.1384454834043,"tages_distanz_2-10km_alter_1529_CH"
"18940","2020-01-25",16.2990907092537,"tages_distanz_2-10km_alter_1529_CH"
"18964","2020-01-26",19.2311554088121,"tages_distanz_2-10km_alter_1529_CH"
"18988","2020-01-27",18.7326911804168,"tages_distanz_2-10km_alter_1529_CH"
"19012","2020-01-28",15.5987717504859,"tages_distanz_2-10km_alter_1529_CH"
"19036","2020-01-29",16.0570209166821,"tages_distanz_2-10km_alter_1529_CH"
"19060","2020-01-30",14.2945394871609,"tages_distanz_2-10km_alter_1529_CH"
"19084","2020-01-31",16.6668497350169,"tages_distanz_2-10km_alter_1529_CH"
"19108","2020-02-01",19.0158363648149,"tages_distanz_2-10km_alter_1529_CH"
"19132","2020-02-02",20.0938163903894,"tages_distanz_2-10km_alter_1529_CH"
