"","date","value","id"
"48081","2020-01-01",4810,"total_ZH5191_ZH"
"48141","2020-01-02",5081,"total_ZH5191_ZH"
"48201","2020-01-03",7326,"total_ZH5191_ZH"
"48261","2020-01-04",6614,"total_ZH5191_ZH"
"48321","2020-01-05",6115,"total_ZH5191_ZH"
"48381","2020-01-06",8724,"total_ZH5191_ZH"
"48441","2020-01-07",8705,"total_ZH5191_ZH"
"48501","2020-01-08",8904,"total_ZH5191_ZH"
"48561","2020-01-09",9330,"total_ZH5191_ZH"
"48621","2020-01-10",9688,"total_ZH5191_ZH"
"48681","2020-01-11",8198,"total_ZH5191_ZH"
"48741","2020-01-12",6581,"total_ZH5191_ZH"
"48801","2020-01-13",9161,"total_ZH5191_ZH"
"48861","2020-01-14",9596,"total_ZH5191_ZH"
"48921","2020-01-15",9816,"total_ZH5191_ZH"
"48981","2020-01-16",9852,"total_ZH5191_ZH"
"49041","2020-01-17",10220,"total_ZH5191_ZH"
"49101","2020-01-18",8559,"total_ZH5191_ZH"
"49161","2020-01-19",6628,"total_ZH5191_ZH"
"49221","2020-01-20",9232,"total_ZH5191_ZH"
"49281","2020-01-21",9373,"total_ZH5191_ZH"
"49341","2020-01-22",9696,"total_ZH5191_ZH"
"49401","2020-01-23",9921,"total_ZH5191_ZH"
"49461","2020-01-24",10189,"total_ZH5191_ZH"
"49521","2020-01-25",9121,"total_ZH5191_ZH"
"49581","2020-01-26",6706,"total_ZH5191_ZH"
"49641","2020-01-27",9303,"total_ZH5191_ZH"
"49701","2020-01-28",9542,"total_ZH5191_ZH"
"49761","2020-01-29",10081,"total_ZH5191_ZH"
"49821","2020-01-30",10261,"total_ZH5191_ZH"
"49881","2020-01-31",10509,"total_ZH5191_ZH"
"49941","2020-02-01",9042,"total_ZH5191_ZH"
"50001","2020-02-02",6780,"total_ZH5191_ZH"
"50061","2020-02-03",9473,"total_ZH5191_ZH"
"50121","2020-02-04",9440,"total_ZH5191_ZH"
"50181","2020-02-05",9747,"total_ZH5191_ZH"
"50241","2020-02-06",9649,"total_ZH5191_ZH"
"50301","2020-02-07",10276,"total_ZH5191_ZH"
"50361","2020-02-08",8269,"total_ZH5191_ZH"
"50421","2020-02-09",6532,"total_ZH5191_ZH"
"50481","2020-02-10",8432,"total_ZH5191_ZH"
"50541","2020-02-11",9074,"total_ZH5191_ZH"
"50601","2020-02-12",9080,"total_ZH5191_ZH"
"50661","2020-02-13",9262,"total_ZH5191_ZH"
"50725","2020-02-14",9880,"total_ZH5191_ZH"
"50789","2020-02-15",7726,"total_ZH5191_ZH"
"50853","2020-02-16",6445,"total_ZH5191_ZH"
"50917","2020-02-17",8744,"total_ZH5191_ZH"
"50981","2020-02-18",9028,"total_ZH5191_ZH"
"51045","2020-02-19",9960,"total_ZH5191_ZH"
"51109","2020-02-20",9755,"total_ZH5191_ZH"
"51173","2020-02-21",11218,"total_ZH5191_ZH"
"51237","2020-02-22",8942,"total_ZH5191_ZH"
"51301","2020-02-23",6482,"total_ZH5191_ZH"
"51365","2020-02-24",9575,"total_ZH5191_ZH"
"51429","2020-02-25",9779,"total_ZH5191_ZH"
"51493","2020-02-26",10013,"total_ZH5191_ZH"
"51557","2020-02-27",10170,"total_ZH5191_ZH"
"51621","2020-02-28",10545,"total_ZH5191_ZH"
"51685","2020-02-29",8599,"total_ZH5191_ZH"
"51749","2020-03-01",6778,"total_ZH5191_ZH"
"51813","2020-03-02",9370,"total_ZH5191_ZH"
"51877","2020-03-03",9602,"total_ZH5191_ZH"
"51941","2020-03-04",9800,"total_ZH5191_ZH"
"52005","2020-03-05",9747,"total_ZH5191_ZH"
"52069","2020-03-06",10300,"total_ZH5191_ZH"
"52133","2020-03-07",8750,"total_ZH5191_ZH"
"52197","2020-03-08",7141,"total_ZH5191_ZH"
"52261","2020-03-09",9329,"total_ZH5191_ZH"
"52325","2020-03-10",9638,"total_ZH5191_ZH"
"52389","2020-03-11",9575,"total_ZH5191_ZH"
"52453","2020-03-12",9559,"total_ZH5191_ZH"
"52517","2020-03-13",10335,"total_ZH5191_ZH"
"52581","2020-03-14",7710,"total_ZH5191_ZH"
"52645","2020-03-15",5949,"total_ZH5191_ZH"
"52709","2020-03-16",9408,"total_ZH5191_ZH"
"52773","2020-03-17",7784,"total_ZH5191_ZH"
"52837","2020-03-18",7482,"total_ZH5191_ZH"
"52901","2020-03-19",7553,"total_ZH5191_ZH"
"52965","2020-03-20",7705,"total_ZH5191_ZH"
"53029","2020-03-21",4981,"total_ZH5191_ZH"
"53093","2020-03-22",3725,"total_ZH5191_ZH"
"53157","2020-03-23",6912,"total_ZH5191_ZH"
"53221","2020-03-24",6853,"total_ZH5191_ZH"
"53285","2020-03-25",6810,"total_ZH5191_ZH"
"53349","2020-03-26",6766,"total_ZH5191_ZH"
"53413","2020-03-27",7313,"total_ZH5191_ZH"
"53477","2020-03-28",5924,"total_ZH5191_ZH"
"53541","2020-03-29",3566,"total_ZH5191_ZH"
"53605","2020-03-30",6534,"total_ZH5191_ZH"
"53669","2020-03-31",6973,"total_ZH5191_ZH"
"53733","2020-04-01",7075,"total_ZH5191_ZH"
"53797","2020-04-02",7067,"total_ZH5191_ZH"
"53861","2020-04-03",7295,"total_ZH5191_ZH"
"53925","2020-04-04",5898,"total_ZH5191_ZH"
"53989","2020-04-05",4559,"total_ZH5191_ZH"
"54053","2020-04-06",6907,"total_ZH5191_ZH"
"54117","2020-04-07",7101,"total_ZH5191_ZH"
