"","date","value","id"
"48007","2020-01-01",13,"velo_ZH2019_ZH"
"48067","2020-01-02",16,"velo_ZH2019_ZH"
"48127","2020-01-03",48,"velo_ZH2019_ZH"
"48187","2020-01-04",40,"velo_ZH2019_ZH"
"48247","2020-01-05",74,"velo_ZH2019_ZH"
"48307","2020-01-06",120,"velo_ZH2019_ZH"
"48367","2020-01-07",141,"velo_ZH2019_ZH"
"48427","2020-01-08",102,"velo_ZH2019_ZH"
"48487","2020-01-09",119,"velo_ZH2019_ZH"
"48547","2020-01-10",152,"velo_ZH2019_ZH"
"48607","2020-01-11",78,"velo_ZH2019_ZH"
"48667","2020-01-12",73,"velo_ZH2019_ZH"
"48727","2020-01-13",103,"velo_ZH2019_ZH"
"48787","2020-01-14",143,"velo_ZH2019_ZH"
"48847","2020-01-15",129,"velo_ZH2019_ZH"
"48907","2020-01-16",137,"velo_ZH2019_ZH"
"48967","2020-01-17",30,"velo_ZH2019_ZH"
"49027","2020-01-18",46,"velo_ZH2019_ZH"
"49087","2020-01-19",38,"velo_ZH2019_ZH"
"49147","2020-01-20",85,"velo_ZH2019_ZH"
"49207","2020-01-21",102,"velo_ZH2019_ZH"
"49267","2020-01-22",76,"velo_ZH2019_ZH"
"49327","2020-01-23",85,"velo_ZH2019_ZH"
"49387","2020-01-24",99,"velo_ZH2019_ZH"
"49447","2020-01-25",35,"velo_ZH2019_ZH"
"49507","2020-01-26",53,"velo_ZH2019_ZH"
"49567","2020-01-27",116,"velo_ZH2019_ZH"
"49627","2020-01-28",34,"velo_ZH2019_ZH"
"49687","2020-01-29",36,"velo_ZH2019_ZH"
"49747","2020-01-30",90,"velo_ZH2019_ZH"
"49807","2020-01-31",119,"velo_ZH2019_ZH"
"49867","2020-02-01",80,"velo_ZH2019_ZH"
"49927","2020-02-02",22,"velo_ZH2019_ZH"
"49987","2020-02-03",89,"velo_ZH2019_ZH"
"50047","2020-02-04",56,"velo_ZH2019_ZH"
"50107","2020-02-05",80,"velo_ZH2019_ZH"
"50167","2020-02-06",102,"velo_ZH2019_ZH"
"50227","2020-02-07",113,"velo_ZH2019_ZH"
"50287","2020-02-08",112,"velo_ZH2019_ZH"
"50347","2020-02-09",58,"velo_ZH2019_ZH"
"50407","2020-02-10",8,"velo_ZH2019_ZH"
"50467","2020-02-11",19,"velo_ZH2019_ZH"
"50527","2020-02-12",14,"velo_ZH2019_ZH"
"50591","2020-02-13",23,"velo_ZH2019_ZH"
"50655","2020-02-14",36,"velo_ZH2019_ZH"
"50719","2020-02-15",57,"velo_ZH2019_ZH"
"50783","2020-02-16",47,"velo_ZH2019_ZH"
"50847","2020-02-17",45,"velo_ZH2019_ZH"
"50911","2020-02-18",45,"velo_ZH2019_ZH"
"50975","2020-02-19",26,"velo_ZH2019_ZH"
"51039","2020-02-20",45,"velo_ZH2019_ZH"
"51103","2020-02-21",51,"velo_ZH2019_ZH"
"51167","2020-02-22",76,"velo_ZH2019_ZH"
"51231","2020-02-23",38,"velo_ZH2019_ZH"
"51295","2020-02-24",155,"velo_ZH2019_ZH"
"51359","2020-02-25",95,"velo_ZH2019_ZH"
"51423","2020-02-26",52,"velo_ZH2019_ZH"
"51487","2020-02-27",79,"velo_ZH2019_ZH"
"51551","2020-02-28",157,"velo_ZH2019_ZH"
"51615","2020-02-29",106,"velo_ZH2019_ZH"
"51679","2020-03-01",150,"velo_ZH2019_ZH"
"51743","2020-03-02",42,"velo_ZH2019_ZH"
"51807","2020-03-03",115,"velo_ZH2019_ZH"
"51871","2020-03-04",116,"velo_ZH2019_ZH"
