"","date","value","id"
"42793","2020-01-25",0,"verstorbene_sars_cov2_Genferseeregion"
"42794","2020-01-26",0,"verstorbene_sars_cov2_Genferseeregion"
"42795","2020-01-27",0,"verstorbene_sars_cov2_Genferseeregion"
"42796","2020-01-28",0,"verstorbene_sars_cov2_Genferseeregion"
"42797","2020-01-29",0,"verstorbene_sars_cov2_Genferseeregion"
"42798","2020-01-30",0,"verstorbene_sars_cov2_Genferseeregion"
"42799","2020-01-31",0,"verstorbene_sars_cov2_Genferseeregion"
"42800","2020-02-01",0,"verstorbene_sars_cov2_Genferseeregion"
"42801","2020-02-02",0,"verstorbene_sars_cov2_Genferseeregion"
"42802","2020-02-03",0,"verstorbene_sars_cov2_Genferseeregion"
"42803","2020-02-04",0,"verstorbene_sars_cov2_Genferseeregion"
"42804","2020-02-05",0,"verstorbene_sars_cov2_Genferseeregion"
"42805","2020-02-06",0,"verstorbene_sars_cov2_Genferseeregion"
"42806","2020-02-07",0,"verstorbene_sars_cov2_Genferseeregion"
"42807","2020-02-08",0,"verstorbene_sars_cov2_Genferseeregion"
"42808","2020-02-09",0,"verstorbene_sars_cov2_Genferseeregion"
"42809","2020-02-10",0,"verstorbene_sars_cov2_Genferseeregion"
"42810","2020-02-11",0,"verstorbene_sars_cov2_Genferseeregion"
"42811","2020-02-12",0,"verstorbene_sars_cov2_Genferseeregion"
"42812","2020-02-13",0,"verstorbene_sars_cov2_Genferseeregion"
"42813","2020-02-14",0,"verstorbene_sars_cov2_Genferseeregion"
"42814","2020-02-15",0,"verstorbene_sars_cov2_Genferseeregion"
"42815","2020-02-16",0,"verstorbene_sars_cov2_Genferseeregion"
"42816","2020-02-17",0,"verstorbene_sars_cov2_Genferseeregion"
"42817","2020-02-18",0,"verstorbene_sars_cov2_Genferseeregion"
"42818","2020-02-19",0,"verstorbene_sars_cov2_Genferseeregion"
"42819","2020-02-20",0,"verstorbene_sars_cov2_Genferseeregion"
"42820","2020-02-21",0,"verstorbene_sars_cov2_Genferseeregion"
"42821","2020-02-22",0,"verstorbene_sars_cov2_Genferseeregion"
"42822","2020-02-23",0,"verstorbene_sars_cov2_Genferseeregion"
"42823","2020-02-24",0,"verstorbene_sars_cov2_Genferseeregion"
"42824","2020-02-25",0,"verstorbene_sars_cov2_Genferseeregion"
"42825","2020-02-26",0,"verstorbene_sars_cov2_Genferseeregion"
"42826","2020-02-27",0,"verstorbene_sars_cov2_Genferseeregion"
"42827","2020-02-28",0,"verstorbene_sars_cov2_Genferseeregion"
"42828","2020-02-29",0,"verstorbene_sars_cov2_Genferseeregion"
"42829","2020-03-01",0,"verstorbene_sars_cov2_Genferseeregion"
"42830","2020-03-02",0,"verstorbene_sars_cov2_Genferseeregion"
"42831","2020-03-03",0,"verstorbene_sars_cov2_Genferseeregion"
"42832","2020-03-04",0,"verstorbene_sars_cov2_Genferseeregion"
"42833","2020-03-05",0,"verstorbene_sars_cov2_Genferseeregion"
"42834","2020-03-06",1,"verstorbene_sars_cov2_Genferseeregion"
"42835","2020-03-07",0,"verstorbene_sars_cov2_Genferseeregion"
"42836","2020-03-08",0,"verstorbene_sars_cov2_Genferseeregion"
"42837","2020-03-09",0,"verstorbene_sars_cov2_Genferseeregion"
"42838","2020-03-10",2,"verstorbene_sars_cov2_Genferseeregion"
"42839","2020-03-11",1,"verstorbene_sars_cov2_Genferseeregion"
"42840","2020-03-12",2,"verstorbene_sars_cov2_Genferseeregion"
"42841","2020-03-13",1,"verstorbene_sars_cov2_Genferseeregion"
"42842","2020-03-14",1,"verstorbene_sars_cov2_Genferseeregion"
"42843","2020-03-15",4,"verstorbene_sars_cov2_Genferseeregion"
"42844","2020-03-16",3,"verstorbene_sars_cov2_Genferseeregion"
"42845","2020-03-17",3,"verstorbene_sars_cov2_Genferseeregion"
"42846","2020-03-18",5,"verstorbene_sars_cov2_Genferseeregion"
"42847","2020-03-19",4,"verstorbene_sars_cov2_Genferseeregion"
"42848","2020-03-20",8,"verstorbene_sars_cov2_Genferseeregion"
"42849","2020-03-21",6,"verstorbene_sars_cov2_Genferseeregion"
"42850","2020-03-22",4,"verstorbene_sars_cov2_Genferseeregion"
"42851","2020-03-23",10,"verstorbene_sars_cov2_Genferseeregion"
"42852","2020-03-24",4,"verstorbene_sars_cov2_Genferseeregion"
"42853","2020-03-25",16,"verstorbene_sars_cov2_Genferseeregion"
"42854","2020-03-26",18,"verstorbene_sars_cov2_Genferseeregion"
"42855","2020-03-27",13,"verstorbene_sars_cov2_Genferseeregion"
"42856","2020-03-28",19,"verstorbene_sars_cov2_Genferseeregion"
"42857","2020-03-29",22,"verstorbene_sars_cov2_Genferseeregion"
"42858","2020-03-30",23,"verstorbene_sars_cov2_Genferseeregion"
"42859","2020-03-31",19,"verstorbene_sars_cov2_Genferseeregion"
"42860","2020-04-01",20,"verstorbene_sars_cov2_Genferseeregion"
"42861","2020-04-02",31,"verstorbene_sars_cov2_Genferseeregion"
"42862","2020-04-03",24,"verstorbene_sars_cov2_Genferseeregion"
"42863","2020-04-04",21,"verstorbene_sars_cov2_Genferseeregion"
"42864","2020-04-05",21,"verstorbene_sars_cov2_Genferseeregion"
"42865","2020-04-06",27,"verstorbene_sars_cov2_Genferseeregion"
"42866","2020-04-07",31,"verstorbene_sars_cov2_Genferseeregion"
"42867","2020-04-08",23,"verstorbene_sars_cov2_Genferseeregion"
"42868","2020-04-09",21,"verstorbene_sars_cov2_Genferseeregion"
"42869","2020-04-10",22,"verstorbene_sars_cov2_Genferseeregion"
"42870","2020-04-11",16,"verstorbene_sars_cov2_Genferseeregion"
"42871","2020-04-12",22,"verstorbene_sars_cov2_Genferseeregion"
"42872","2020-04-13",10,"verstorbene_sars_cov2_Genferseeregion"
"42873","2020-04-14",14,"verstorbene_sars_cov2_Genferseeregion"
"42874","2020-04-15",18,"verstorbene_sars_cov2_Genferseeregion"
"42875","2020-04-16",18,"verstorbene_sars_cov2_Genferseeregion"
"42876","2020-04-17",14,"verstorbene_sars_cov2_Genferseeregion"
"42877","2020-04-18",12,"verstorbene_sars_cov2_Genferseeregion"
"42878","2020-04-19",11,"verstorbene_sars_cov2_Genferseeregion"
"42879","2020-04-20",16,"verstorbene_sars_cov2_Genferseeregion"
"42880","2020-04-21",16,"verstorbene_sars_cov2_Genferseeregion"
"42881","2020-04-22",14,"verstorbene_sars_cov2_Genferseeregion"
"42882","2020-04-23",17,"verstorbene_sars_cov2_Genferseeregion"
"42883","2020-04-24",12,"verstorbene_sars_cov2_Genferseeregion"
"42884","2020-04-25",14,"verstorbene_sars_cov2_Genferseeregion"
"42885","2020-04-26",6,"verstorbene_sars_cov2_Genferseeregion"
"42886","2020-04-27",7,"verstorbene_sars_cov2_Genferseeregion"
"42887","2020-04-28",7,"verstorbene_sars_cov2_Genferseeregion"
"42888","2020-04-29",3,"verstorbene_sars_cov2_Genferseeregion"
"42889","2020-04-30",7,"verstorbene_sars_cov2_Genferseeregion"
"42890","2020-05-01",7,"verstorbene_sars_cov2_Genferseeregion"
"42891","2020-05-02",8,"verstorbene_sars_cov2_Genferseeregion"
"42892","2020-05-03",4,"verstorbene_sars_cov2_Genferseeregion"
"42893","2020-05-04",2,"verstorbene_sars_cov2_Genferseeregion"
"42894","2020-05-05",5,"verstorbene_sars_cov2_Genferseeregion"
"42895","2020-05-06",1,"verstorbene_sars_cov2_Genferseeregion"
"42896","2020-05-07",5,"verstorbene_sars_cov2_Genferseeregion"
"42897","2020-05-08",2,"verstorbene_sars_cov2_Genferseeregion"
"42898","2020-05-09",1,"verstorbene_sars_cov2_Genferseeregion"
"42899","2020-05-10",3,"verstorbene_sars_cov2_Genferseeregion"
"42900","2020-05-11",2,"verstorbene_sars_cov2_Genferseeregion"
"42901","2020-05-12",1,"verstorbene_sars_cov2_Genferseeregion"
"42902","2020-05-13",1,"verstorbene_sars_cov2_Genferseeregion"
"42903","2020-05-14",1,"verstorbene_sars_cov2_Genferseeregion"
"42904","2020-05-15",0,"verstorbene_sars_cov2_Genferseeregion"
"42905","2020-05-16",0,"verstorbene_sars_cov2_Genferseeregion"
"42906","2020-05-17",2,"verstorbene_sars_cov2_Genferseeregion"
"42907","2020-05-18",3,"verstorbene_sars_cov2_Genferseeregion"
"42908","2020-05-19",0,"verstorbene_sars_cov2_Genferseeregion"
