"","date","value","id"
"42988","2020-01-25",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42989","2020-01-26",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42990","2020-01-27",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42991","2020-01-28",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42992","2020-01-29",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42993","2020-01-30",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42994","2020-01-31",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42995","2020-02-01",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42996","2020-02-02",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42997","2020-02-03",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42998","2020-02-04",0,"verstorbene_sars_cov2_Nordwestschweiz"
"42999","2020-02-05",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43000","2020-02-06",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43001","2020-02-07",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43002","2020-02-08",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43003","2020-02-09",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43004","2020-02-10",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43005","2020-02-11",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43006","2020-02-12",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43007","2020-02-13",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43008","2020-02-14",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43009","2020-02-15",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43010","2020-02-16",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43011","2020-02-17",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43012","2020-02-18",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43013","2020-02-19",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43014","2020-02-20",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43015","2020-02-21",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43016","2020-02-22",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43017","2020-02-23",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43018","2020-02-24",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43019","2020-02-25",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43020","2020-02-26",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43021","2020-02-27",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43022","2020-02-28",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43023","2020-02-29",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43024","2020-03-01",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43025","2020-03-02",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43026","2020-03-03",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43027","2020-03-04",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43028","2020-03-05",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43029","2020-03-06",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43030","2020-03-07",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43031","2020-03-08",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43032","2020-03-09",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43033","2020-03-10",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43034","2020-03-11",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43035","2020-03-12",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43036","2020-03-13",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43037","2020-03-14",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43038","2020-03-15",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43039","2020-03-16",3,"verstorbene_sars_cov2_Nordwestschweiz"
"43040","2020-03-17",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43041","2020-03-18",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43042","2020-03-19",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43043","2020-03-20",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43044","2020-03-21",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43045","2020-03-22",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43046","2020-03-23",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43047","2020-03-24",1,"verstorbene_sars_cov2_Nordwestschweiz"
"43048","2020-03-25",4,"verstorbene_sars_cov2_Nordwestschweiz"
"43049","2020-03-26",5,"verstorbene_sars_cov2_Nordwestschweiz"
"43050","2020-03-27",3,"verstorbene_sars_cov2_Nordwestschweiz"
"43051","2020-03-28",3,"verstorbene_sars_cov2_Nordwestschweiz"
"43052","2020-03-29",4,"verstorbene_sars_cov2_Nordwestschweiz"
"43053","2020-03-30",3,"verstorbene_sars_cov2_Nordwestschweiz"
"43054","2020-03-31",4,"verstorbene_sars_cov2_Nordwestschweiz"
"43055","2020-04-01",3,"verstorbene_sars_cov2_Nordwestschweiz"
"43056","2020-04-02",5,"verstorbene_sars_cov2_Nordwestschweiz"
"43057","2020-04-03",5,"verstorbene_sars_cov2_Nordwestschweiz"
"43058","2020-04-04",11,"verstorbene_sars_cov2_Nordwestschweiz"
"43059","2020-04-05",3,"verstorbene_sars_cov2_Nordwestschweiz"
"43060","2020-04-06",0,"verstorbene_sars_cov2_Nordwestschweiz"
"43061","2020-04-07",2,"verstorbene_sars_cov2_Nordwestschweiz"
"43062","2020-04-08",8,"verstorbene_sars_cov2_Nordwestschweiz"
"43063","2020-04-09",2,"verstorbene_sars_cov2_Nordwestschweiz"
"43064","2020-04-10",5,"verstorbene_sars_cov2_Nordwestschweiz"
