"","date","value","id"
"43582","2020-01-25",0,"verstorbene_sars_cov2_TI"
"43583","2020-01-26",0,"verstorbene_sars_cov2_TI"
"43584","2020-01-27",0,"verstorbene_sars_cov2_TI"
"43585","2020-01-28",0,"verstorbene_sars_cov2_TI"
"43586","2020-01-29",0,"verstorbene_sars_cov2_TI"
"43587","2020-01-30",0,"verstorbene_sars_cov2_TI"
"43588","2020-01-31",0,"verstorbene_sars_cov2_TI"
"43589","2020-02-01",0,"verstorbene_sars_cov2_TI"
"43590","2020-02-02",0,"verstorbene_sars_cov2_TI"
"43591","2020-02-03",0,"verstorbene_sars_cov2_TI"
"43592","2020-02-04",0,"verstorbene_sars_cov2_TI"
"43593","2020-02-05",0,"verstorbene_sars_cov2_TI"
"43594","2020-02-06",0,"verstorbene_sars_cov2_TI"
"43595","2020-02-07",0,"verstorbene_sars_cov2_TI"
"43596","2020-02-08",0,"verstorbene_sars_cov2_TI"
"43597","2020-02-09",0,"verstorbene_sars_cov2_TI"
"43598","2020-02-10",0,"verstorbene_sars_cov2_TI"
"43599","2020-02-11",0,"verstorbene_sars_cov2_TI"
"43600","2020-02-12",0,"verstorbene_sars_cov2_TI"
"43601","2020-02-13",0,"verstorbene_sars_cov2_TI"
"43602","2020-02-14",0,"verstorbene_sars_cov2_TI"
"43603","2020-02-15",0,"verstorbene_sars_cov2_TI"
"43604","2020-02-16",0,"verstorbene_sars_cov2_TI"
"43605","2020-02-17",0,"verstorbene_sars_cov2_TI"
"43606","2020-02-18",0,"verstorbene_sars_cov2_TI"
"43607","2020-02-19",0,"verstorbene_sars_cov2_TI"
"43608","2020-02-20",0,"verstorbene_sars_cov2_TI"
"43609","2020-02-21",0,"verstorbene_sars_cov2_TI"
"43610","2020-02-22",0,"verstorbene_sars_cov2_TI"
"43611","2020-02-23",0,"verstorbene_sars_cov2_TI"
"43612","2020-02-24",0,"verstorbene_sars_cov2_TI"
"43613","2020-02-25",0,"verstorbene_sars_cov2_TI"
"43614","2020-02-26",0,"verstorbene_sars_cov2_TI"
"43615","2020-02-27",0,"verstorbene_sars_cov2_TI"
"43616","2020-02-28",0,"verstorbene_sars_cov2_TI"
"43617","2020-02-29",0,"verstorbene_sars_cov2_TI"
"43618","2020-03-01",0,"verstorbene_sars_cov2_TI"
"43619","2020-03-02",0,"verstorbene_sars_cov2_TI"
"43620","2020-03-03",0,"verstorbene_sars_cov2_TI"
"43621","2020-03-04",0,"verstorbene_sars_cov2_TI"
"43622","2020-03-05",0,"verstorbene_sars_cov2_TI"
"43623","2020-03-06",0,"verstorbene_sars_cov2_TI"
"43624","2020-03-07",0,"verstorbene_sars_cov2_TI"
"43625","2020-03-08",0,"verstorbene_sars_cov2_TI"
"43626","2020-03-09",0,"verstorbene_sars_cov2_TI"
"43627","2020-03-10",1,"verstorbene_sars_cov2_TI"
"43628","2020-03-11",0,"verstorbene_sars_cov2_TI"
"43629","2020-03-12",0,"verstorbene_sars_cov2_TI"
