"date","value","id"
"2019-01-31",847,"alter_ue65_ZH"
"2019-02-28",774,"alter_ue65_ZH"
"2019-03-31",839,"alter_ue65_ZH"
"2019-04-30",767,"alter_ue65_ZH"
"2019-05-31",730,"alter_ue65_ZH"
"2019-06-30",793,"alter_ue65_ZH"
"2019-07-31",759,"alter_ue65_ZH"
"2019-08-31",802,"alter_ue65_ZH"
"2019-09-30",701,"alter_ue65_ZH"
"2019-10-31",820,"alter_ue65_ZH"
"2019-11-30",753,"alter_ue65_ZH"
"2019-12-31",812,"alter_ue65_ZH"
"2020-01-31",819,"alter_ue65_ZH"
"2020-02-28",783,"alter_ue65_ZH"
"2020-03-31",888,"alter_ue65_ZH"
"2020-04-30",994,"alter_ue65_ZH"
"2020-05-31",919,"alter_ue65_ZH"
"2020-06-30",825,"alter_ue65_ZH"
"2020-07-31",789,"alter_ue65_ZH"
"2020-08-31",776,"alter_ue65_ZH"
"2020-09-30",735,"alter_ue65_ZH"
"2020-10-31",724,"alter_ue65_ZH"
"2020-11-30",751,"alter_ue65_ZH"
"2020-12-31",860,"alter_ue65_ZH"
"2021-01-31",901,"alter_ue65_ZH"
"2021-02-28",749,"alter_ue65_ZH"
"2021-03-31",814,"alter_ue65_ZH"
"2021-04-30",763,"alter_ue65_ZH"
"2021-05-31",700,"alter_ue65_ZH"
"2021-06-30",635,"alter_ue65_ZH"
"2021-07-31",601,"alter_ue65_ZH"
"2021-08-31",592,"alter_ue65_ZH"
"2021-09-30",575,"alter_ue65_ZH"
