"date","value","id"
"2020-02-13",4428,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-14",4215,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-15",802,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-16",294,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-17",4517,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-18",4605,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-19",4291,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-20",4262,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-21",4145,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-22",816,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-23",299,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-24",4492,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-25",4458,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-26",4360,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-27",4495,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-28",4279,"geschaeftsverkehr_ZH2085_ZH"
"2020-02-29",884,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-01",261,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-02",3842,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-03",3863,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-04",3868,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-05",3856,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-06",3710,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-07",760,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-08",261,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-09",3928,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-10",4092,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-11",4223,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-12",4038,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-13",3934,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-14",819,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-15",245,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-16",3981,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-17",4080,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-18",3983,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-19",3947,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-20",3922,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-21",762,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-22",167,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-23",3644,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-24",3752,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-25",3802,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-26",3643,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-27",3718,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-28",697,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-29",168,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-30",3513,"geschaeftsverkehr_ZH2085_ZH"
"2020-03-31",3702,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-01",3885,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-02",3803,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-03",3704,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-04",704,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-05",167,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-06",3862,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-07",3998,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-08",4015,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-09",3908,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-10",245,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-11",825,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-12",97,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-13",263,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-14",4188,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-15",4056,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-16",4050,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-17",3998,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-18",914,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-19",199,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-20",4003,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-21",4178,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-22",4022,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-23",4119,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-24",3944,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-25",834,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-26",229,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-27",3898,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-28",4108,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-29",4241,"geschaeftsverkehr_ZH2085_ZH"
"2020-04-30",4108,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-01",750,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-02",666,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-03",195,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-04",3922,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-05",3993,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-06",4022,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-07",3954,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-08",3584,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-09",775,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-10",210,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-11",3815,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-12",4092,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-13",3964,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-14",3891,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-15",3899,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-16",788,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-17",214,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-18",3986,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-19",4111,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-20",3984,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-21",330,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-22",2641,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-23",915,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-24",202,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-25",4060,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-26",4031,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-27",4065,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-28",4104,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-29",3931,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-30",906,"geschaeftsverkehr_ZH2085_ZH"
"2020-05-31",176,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-01",328,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-02",4236,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-03",4155,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-04",4166,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-05",4165,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-06",801,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-07",242,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-08",4180,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-09",4109,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-10",4049,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-11",3821,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-12",3830,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-13",801,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-14",225,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-15",4081,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-16",4059,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-17",3755,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-18",4068,"geschaeftsverkehr_ZH2085_ZH"
"2020-06-19",3998,"geschaeftsverkehr_ZH2085_ZH"
