"date","value","id"
"2019-01-31",231,"inhalt_paarbeziehung_ZH"
"2019-02-28",262,"inhalt_paarbeziehung_ZH"
"2019-03-31",250,"inhalt_paarbeziehung_ZH"
"2019-04-30",250,"inhalt_paarbeziehung_ZH"
"2019-05-31",286,"inhalt_paarbeziehung_ZH"
"2019-06-30",258,"inhalt_paarbeziehung_ZH"
"2019-07-31",267,"inhalt_paarbeziehung_ZH"
"2019-08-31",276,"inhalt_paarbeziehung_ZH"
"2019-09-30",267,"inhalt_paarbeziehung_ZH"
"2019-10-31",256,"inhalt_paarbeziehung_ZH"
"2019-11-30",253,"inhalt_paarbeziehung_ZH"
"2019-12-31",274,"inhalt_paarbeziehung_ZH"
"2020-01-31",321,"inhalt_paarbeziehung_ZH"
"2020-02-28",237,"inhalt_paarbeziehung_ZH"
"2020-03-31",233,"inhalt_paarbeziehung_ZH"
"2020-04-30",227,"inhalt_paarbeziehung_ZH"
"2020-05-31",283,"inhalt_paarbeziehung_ZH"
"2020-06-30",301,"inhalt_paarbeziehung_ZH"
"2020-07-31",358,"inhalt_paarbeziehung_ZH"
"2020-08-31",298,"inhalt_paarbeziehung_ZH"
"2020-09-30",269,"inhalt_paarbeziehung_ZH"
"2020-10-31",283,"inhalt_paarbeziehung_ZH"
"2020-11-30",279,"inhalt_paarbeziehung_ZH"
"2020-12-31",317,"inhalt_paarbeziehung_ZH"
"2021-01-31",291,"inhalt_paarbeziehung_ZH"
"2021-02-28",318,"inhalt_paarbeziehung_ZH"
"2021-03-31",359,"inhalt_paarbeziehung_ZH"
"2021-04-30",370,"inhalt_paarbeziehung_ZH"
"2021-05-31",351,"inhalt_paarbeziehung_ZH"
"2021-06-30",317,"inhalt_paarbeziehung_ZH"
"2021-07-31",290,"inhalt_paarbeziehung_ZH"
"2021-08-31",313,"inhalt_paarbeziehung_ZH"
