"date","value","id"
"2020-01-01",251,"motorrad_ZH5186_ZH"
"2020-01-02",323,"motorrad_ZH5186_ZH"
"2020-01-03",461,"motorrad_ZH5186_ZH"
"2020-01-04",384,"motorrad_ZH5186_ZH"
"2020-01-05",378,"motorrad_ZH5186_ZH"
"2020-01-06",505,"motorrad_ZH5186_ZH"
"2020-01-07",549,"motorrad_ZH5186_ZH"
"2020-01-08",548,"motorrad_ZH5186_ZH"
"2020-01-09",691,"motorrad_ZH5186_ZH"
"2020-01-10",644,"motorrad_ZH5186_ZH"
"2020-01-11",531,"motorrad_ZH5186_ZH"
"2020-01-12",432,"motorrad_ZH5186_ZH"
"2020-01-13",634,"motorrad_ZH5186_ZH"
"2020-01-14",652,"motorrad_ZH5186_ZH"
"2020-01-15",655,"motorrad_ZH5186_ZH"
"2020-01-16",725,"motorrad_ZH5186_ZH"
"2020-01-17",601,"motorrad_ZH5186_ZH"
"2020-01-18",528,"motorrad_ZH5186_ZH"
"2020-01-19",329,"motorrad_ZH5186_ZH"
"2020-01-20",602,"motorrad_ZH5186_ZH"
"2020-01-21",602,"motorrad_ZH5186_ZH"
"2020-01-22",619,"motorrad_ZH5186_ZH"
"2020-01-23",556,"motorrad_ZH5186_ZH"
"2020-01-24",653,"motorrad_ZH5186_ZH"
"2020-01-25",484,"motorrad_ZH5186_ZH"
"2020-01-26",385,"motorrad_ZH5186_ZH"
"2020-01-27",609,"motorrad_ZH5186_ZH"
"2020-01-28",572,"motorrad_ZH5186_ZH"
"2020-01-29",594,"motorrad_ZH5186_ZH"
"2020-01-30",598,"motorrad_ZH5186_ZH"
"2020-01-31",712,"motorrad_ZH5186_ZH"
"2020-02-01",585,"motorrad_ZH5186_ZH"
"2020-02-02",317,"motorrad_ZH5186_ZH"
"2020-02-03",508,"motorrad_ZH5186_ZH"
"2020-02-04",560,"motorrad_ZH5186_ZH"
"2020-02-05",556,"motorrad_ZH5186_ZH"
"2020-02-06",551,"motorrad_ZH5186_ZH"
"2020-02-07",678,"motorrad_ZH5186_ZH"
"2020-02-08",545,"motorrad_ZH5186_ZH"
"2020-02-09",434,"motorrad_ZH5186_ZH"
"2020-02-10",505,"motorrad_ZH5186_ZH"
"2020-02-11",580,"motorrad_ZH5186_ZH"
"2020-02-12",582,"motorrad_ZH5186_ZH"
"2020-02-13",581,"motorrad_ZH5186_ZH"
"2020-02-14",623,"motorrad_ZH5186_ZH"
"2020-02-15",545,"motorrad_ZH5186_ZH"
"2020-02-16",434,"motorrad_ZH5186_ZH"
"2020-02-17",505,"motorrad_ZH5186_ZH"
"2020-02-18",615,"motorrad_ZH5186_ZH"
"2020-02-19",566,"motorrad_ZH5186_ZH"
"2020-02-20",740,"motorrad_ZH5186_ZH"
"2020-02-21",713,"motorrad_ZH5186_ZH"
"2020-02-22",733,"motorrad_ZH5186_ZH"
"2020-02-23",496,"motorrad_ZH5186_ZH"
"2020-02-24",687,"motorrad_ZH5186_ZH"
"2020-02-25",589,"motorrad_ZH5186_ZH"
"2020-02-26",550,"motorrad_ZH5186_ZH"
"2020-02-27",575,"motorrad_ZH5186_ZH"
"2020-02-28",672,"motorrad_ZH5186_ZH"
"2020-02-29",531,"motorrad_ZH5186_ZH"
"2020-03-01",443,"motorrad_ZH5186_ZH"
"2020-03-02",517,"motorrad_ZH5186_ZH"
"2020-03-03",482,"motorrad_ZH5186_ZH"
"2020-03-04",504,"motorrad_ZH5186_ZH"
"2020-03-05",478,"motorrad_ZH5186_ZH"
"2020-03-06",518,"motorrad_ZH5186_ZH"
"2020-03-07",454,"motorrad_ZH5186_ZH"
"2020-03-08",403,"motorrad_ZH5186_ZH"
"2020-03-09",458,"motorrad_ZH5186_ZH"
"2020-03-10",517,"motorrad_ZH5186_ZH"
"2020-03-11",641,"motorrad_ZH5186_ZH"
"2020-03-12",704,"motorrad_ZH5186_ZH"
"2020-03-13",617,"motorrad_ZH5186_ZH"
"2020-03-14",544,"motorrad_ZH5186_ZH"
"2020-03-15",689,"motorrad_ZH5186_ZH"
"2020-03-16",763,"motorrad_ZH5186_ZH"
"2020-03-17",694,"motorrad_ZH5186_ZH"
"2020-03-18",827,"motorrad_ZH5186_ZH"
"2020-03-19",761,"motorrad_ZH5186_ZH"
"2020-03-20",639,"motorrad_ZH5186_ZH"
"2020-03-21",236,"motorrad_ZH5186_ZH"
"2020-03-22",160,"motorrad_ZH5186_ZH"
"2020-03-23",402,"motorrad_ZH5186_ZH"
"2020-03-24",404,"motorrad_ZH5186_ZH"
"2020-03-25",412,"motorrad_ZH5186_ZH"
"2020-03-26",380,"motorrad_ZH5186_ZH"
"2020-03-27",454,"motorrad_ZH5186_ZH"
"2020-03-28",642,"motorrad_ZH5186_ZH"
"2020-03-29",129,"motorrad_ZH5186_ZH"
"2020-03-30",357,"motorrad_ZH5186_ZH"
"2020-03-31",426,"motorrad_ZH5186_ZH"
"2020-04-01",473,"motorrad_ZH5186_ZH"
"2020-04-02",527,"motorrad_ZH5186_ZH"
"2020-04-03",603,"motorrad_ZH5186_ZH"
"2020-04-04",612,"motorrad_ZH5186_ZH"
"2020-04-05",561,"motorrad_ZH5186_ZH"
"2020-04-06",646,"motorrad_ZH5186_ZH"
"2020-04-07",844,"motorrad_ZH5186_ZH"
"2020-04-08",718,"motorrad_ZH5186_ZH"
"2020-04-15",656,"motorrad_ZH5186_ZH"
"2020-04-16",797,"motorrad_ZH5186_ZH"
"2020-04-17",902,"motorrad_ZH5186_ZH"
"2020-04-18",842,"motorrad_ZH5186_ZH"
"2020-04-19",652,"motorrad_ZH5186_ZH"
"2020-04-20",679,"motorrad_ZH5186_ZH"
"2020-04-21",726,"motorrad_ZH5186_ZH"
"2020-04-22",845,"motorrad_ZH5186_ZH"
"2020-04-23",1023,"motorrad_ZH5186_ZH"
"2020-04-24",982,"motorrad_ZH5186_ZH"
"2020-04-25",830,"motorrad_ZH5186_ZH"
"2020-04-26",622,"motorrad_ZH5186_ZH"
"2020-04-27",858,"motorrad_ZH5186_ZH"
"2020-04-28",479,"motorrad_ZH5186_ZH"
"2020-04-29",585,"motorrad_ZH5186_ZH"
"2020-04-30",501,"motorrad_ZH5186_ZH"
"2020-05-01",277,"motorrad_ZH5186_ZH"
"2020-05-02",314,"motorrad_ZH5186_ZH"
"2020-05-03",571,"motorrad_ZH5186_ZH"
"2020-05-04",752,"motorrad_ZH5186_ZH"
"2020-05-05",532,"motorrad_ZH5186_ZH"
"2020-05-06",687,"motorrad_ZH5186_ZH"
"2020-05-07",1046,"motorrad_ZH5186_ZH"
"2020-05-08",1148,"motorrad_ZH5186_ZH"
"2020-05-09",1018,"motorrad_ZH5186_ZH"
"2020-05-10",773,"motorrad_ZH5186_ZH"
"2020-05-11",576,"motorrad_ZH5186_ZH"
"2020-05-12",692,"motorrad_ZH5186_ZH"
"2020-05-13",612,"motorrad_ZH5186_ZH"
"2020-05-14",586,"motorrad_ZH5186_ZH"
"2020-05-15",590,"motorrad_ZH5186_ZH"
"2020-05-16",797,"motorrad_ZH5186_ZH"
"2020-05-17",1095,"motorrad_ZH5186_ZH"
"2020-05-18",1023,"motorrad_ZH5186_ZH"
"2020-05-19",1213,"motorrad_ZH5186_ZH"
"2020-05-20",1254,"motorrad_ZH5186_ZH"
"2020-05-21",1286,"motorrad_ZH5186_ZH"
"2020-05-22",1203,"motorrad_ZH5186_ZH"
"2020-05-23",495,"motorrad_ZH5186_ZH"
"2020-05-24",747,"motorrad_ZH5186_ZH"
"2020-05-25",1050,"motorrad_ZH5186_ZH"
"2020-05-26",1241,"motorrad_ZH5186_ZH"
"2020-05-27",1304,"motorrad_ZH5186_ZH"
"2020-05-28",1130,"motorrad_ZH5186_ZH"
"2020-05-29",1185,"motorrad_ZH5186_ZH"
"2020-05-30",1002,"motorrad_ZH5186_ZH"
"2020-05-31",1028,"motorrad_ZH5186_ZH"
"2020-06-01",1111,"motorrad_ZH5186_ZH"
"2020-06-02",1248,"motorrad_ZH5186_ZH"
"2020-06-03",1110,"motorrad_ZH5186_ZH"
"2020-06-04",587,"motorrad_ZH5186_ZH"
"2020-06-05",665,"motorrad_ZH5186_ZH"
"2020-06-06",614,"motorrad_ZH5186_ZH"
"2020-06-07",298,"motorrad_ZH5186_ZH"
"2020-06-08",837,"motorrad_ZH5186_ZH"
"2020-06-09",657,"motorrad_ZH5186_ZH"
"2020-06-10",491,"motorrad_ZH5186_ZH"
"2020-06-11",593,"motorrad_ZH5186_ZH"
"2020-06-12",665,"motorrad_ZH5186_ZH"
"2020-06-13",778,"motorrad_ZH5186_ZH"
"2020-06-14",300,"motorrad_ZH5186_ZH"
"2020-06-15",759,"motorrad_ZH5186_ZH"
"2020-06-16",756,"motorrad_ZH5186_ZH"
"2020-06-17",637,"motorrad_ZH5186_ZH"
"2020-06-18",860,"motorrad_ZH5186_ZH"
"2020-06-19",692,"motorrad_ZH5186_ZH"
"2020-06-20",937,"motorrad_ZH5186_ZH"
"2020-06-21",1017,"motorrad_ZH5186_ZH"
"2020-06-22",1048,"motorrad_ZH5186_ZH"
"2020-06-23",1190,"motorrad_ZH5186_ZH"
"2020-06-24",1302,"motorrad_ZH5186_ZH"
"2020-06-25",1188,"motorrad_ZH5186_ZH"
"2020-06-26",989,"motorrad_ZH5186_ZH"
"2020-06-27",846,"motorrad_ZH5186_ZH"
"2020-06-28",614,"motorrad_ZH5186_ZH"
"2020-06-29",638,"motorrad_ZH5186_ZH"
"2020-07-01",1047,"motorrad_ZH5186_ZH"
"2020-07-02",797,"motorrad_ZH5186_ZH"
"2020-07-03",811,"motorrad_ZH5186_ZH"
"2020-07-04",991,"motorrad_ZH5186_ZH"
"2020-07-05",1005,"motorrad_ZH5186_ZH"
"2020-07-06",883,"motorrad_ZH5186_ZH"
"2020-07-07",1203,"motorrad_ZH5186_ZH"
"2020-07-08",1206,"motorrad_ZH5186_ZH"
"2020-07-09",1167,"motorrad_ZH5186_ZH"
"2020-07-10",968,"motorrad_ZH5186_ZH"
"2020-07-11",561,"motorrad_ZH5186_ZH"
"2020-07-12",965,"motorrad_ZH5186_ZH"
"2020-07-13",1056,"motorrad_ZH5186_ZH"
"2020-07-14",1140,"motorrad_ZH5186_ZH"
"2020-07-15",685,"motorrad_ZH5186_ZH"
"2020-07-16",565,"motorrad_ZH5186_ZH"
"2020-07-17",673,"motorrad_ZH5186_ZH"
"2020-07-18",933,"motorrad_ZH5186_ZH"
"2020-07-19",860,"motorrad_ZH5186_ZH"
"2020-07-20",1073,"motorrad_ZH5186_ZH"
"2020-07-21",951,"motorrad_ZH5186_ZH"
"2020-07-22",879,"motorrad_ZH5186_ZH"
"2020-07-23",1029,"motorrad_ZH5186_ZH"
"2020-07-24",745,"motorrad_ZH5186_ZH"
"2020-07-25",898,"motorrad_ZH5186_ZH"
"2020-07-26",625,"motorrad_ZH5186_ZH"
"2020-07-27",956,"motorrad_ZH5186_ZH"
"2020-07-28",845,"motorrad_ZH5186_ZH"
"2020-07-29",916,"motorrad_ZH5186_ZH"
"2020-07-30",1051,"motorrad_ZH5186_ZH"
"2020-07-31",1019,"motorrad_ZH5186_ZH"
"2020-08-01",624,"motorrad_ZH5186_ZH"
"2020-08-02",389,"motorrad_ZH5186_ZH"
"2020-08-03",422,"motorrad_ZH5186_ZH"
"2020-08-04",431,"motorrad_ZH5186_ZH"
"2020-08-05",923,"motorrad_ZH5186_ZH"
"2020-08-06",1061,"motorrad_ZH5186_ZH"
"2020-08-07",1061,"motorrad_ZH5186_ZH"
"2020-08-08",938,"motorrad_ZH5186_ZH"
"2020-08-09",806,"motorrad_ZH5186_ZH"
"2020-08-10",1029,"motorrad_ZH5186_ZH"
"2020-08-11",1064,"motorrad_ZH5186_ZH"
"2020-08-12",1088,"motorrad_ZH5186_ZH"
"2020-08-13",729,"motorrad_ZH5186_ZH"
"2020-08-14",730,"motorrad_ZH5186_ZH"
"2020-08-15",948,"motorrad_ZH5186_ZH"
"2020-08-16",949,"motorrad_ZH5186_ZH"
"2020-08-17",641,"motorrad_ZH5186_ZH"
"2020-08-18",782,"motorrad_ZH5186_ZH"
"2020-08-19",1000,"motorrad_ZH5186_ZH"
"2020-08-20",1082,"motorrad_ZH5186_ZH"
"2020-08-21",1142,"motorrad_ZH5186_ZH"
