"date","value","id"
"2020-01-01",10042,"privatverkehr_ZH3687_ZH"
"2020-01-02",12757,"privatverkehr_ZH3687_ZH"
"2020-01-03",13570,"privatverkehr_ZH3687_ZH"
"2020-01-04",12428,"privatverkehr_ZH3687_ZH"
"2020-01-05",12210,"privatverkehr_ZH3687_ZH"
"2020-01-06",17720,"privatverkehr_ZH3687_ZH"
"2020-01-07",17256,"privatverkehr_ZH3687_ZH"
"2020-01-08",15338,"privatverkehr_ZH3687_ZH"
"2020-01-09",19087,"privatverkehr_ZH3687_ZH"
"2020-01-10",18415,"privatverkehr_ZH3687_ZH"
"2020-01-11",15910,"privatverkehr_ZH3687_ZH"
"2020-01-12",13927,"privatverkehr_ZH3687_ZH"
"2020-01-13",17781,"privatverkehr_ZH3687_ZH"
"2020-01-14",18591,"privatverkehr_ZH3687_ZH"
"2020-01-15",21695,"privatverkehr_ZH3687_ZH"
"2020-01-16",21756,"privatverkehr_ZH3687_ZH"
"2020-01-17",21050,"privatverkehr_ZH3687_ZH"
"2020-01-18",15574,"privatverkehr_ZH3687_ZH"
"2020-01-19",13102,"privatverkehr_ZH3687_ZH"
"2020-01-20",19105,"privatverkehr_ZH3687_ZH"
"2020-01-21",21175,"privatverkehr_ZH3687_ZH"
"2020-01-22",17552,"privatverkehr_ZH3687_ZH"
"2020-01-23",19346,"privatverkehr_ZH3687_ZH"
"2020-01-24",20110,"privatverkehr_ZH3687_ZH"
"2020-01-25",16290,"privatverkehr_ZH3687_ZH"
"2020-01-26",13012,"privatverkehr_ZH3687_ZH"
"2020-01-27",18244,"privatverkehr_ZH3687_ZH"
"2020-01-28",17729,"privatverkehr_ZH3687_ZH"
"2020-01-29",19011,"privatverkehr_ZH3687_ZH"
"2020-01-30",17597,"privatverkehr_ZH3687_ZH"
"2020-01-31",17377,"privatverkehr_ZH3687_ZH"
"2020-02-01",15872,"privatverkehr_ZH3687_ZH"
"2020-02-02",11966,"privatverkehr_ZH3687_ZH"
"2020-02-03",14783,"privatverkehr_ZH3687_ZH"
"2020-02-04",17337,"privatverkehr_ZH3687_ZH"
"2020-02-05",17145,"privatverkehr_ZH3687_ZH"
"2020-02-06",19562,"privatverkehr_ZH3687_ZH"
