"date","value","id"
"2020-01-01",10180,"total_ZH3687_ZH"
"2020-01-02",13018,"total_ZH3687_ZH"
"2020-01-03",14281,"total_ZH3687_ZH"
"2020-01-04",12794,"total_ZH3687_ZH"
"2020-01-05",12417,"total_ZH3687_ZH"
"2020-01-06",18732,"total_ZH3687_ZH"
"2020-01-07",18418,"total_ZH3687_ZH"
"2020-01-08",16430,"total_ZH3687_ZH"
"2020-01-09",20281,"total_ZH3687_ZH"
"2020-01-10",19533,"total_ZH3687_ZH"
"2020-01-11",16398,"total_ZH3687_ZH"
"2020-01-12",14168,"total_ZH3687_ZH"
"2020-01-13",19005,"total_ZH3687_ZH"
"2020-01-14",19947,"total_ZH3687_ZH"
"2020-01-15",23148,"total_ZH3687_ZH"
"2020-01-16",23130,"total_ZH3687_ZH"
"2020-01-17",22374,"total_ZH3687_ZH"
"2020-01-18",16072,"total_ZH3687_ZH"
"2020-01-19",13331,"total_ZH3687_ZH"
"2020-01-20",20310,"total_ZH3687_ZH"
"2020-01-21",22561,"total_ZH3687_ZH"
"2020-01-22",18943,"total_ZH3687_ZH"
"2020-01-23",20666,"total_ZH3687_ZH"
"2020-01-24",21268,"total_ZH3687_ZH"
"2020-01-25",16770,"total_ZH3687_ZH"
"2020-01-26",13207,"total_ZH3687_ZH"
"2020-01-27",19391,"total_ZH3687_ZH"
"2020-01-28",18908,"total_ZH3687_ZH"
"2020-01-29",20400,"total_ZH3687_ZH"
"2020-01-30",18934,"total_ZH3687_ZH"
"2020-01-31",18677,"total_ZH3687_ZH"
"2020-02-01",16395,"total_ZH3687_ZH"
"2020-02-02",12126,"total_ZH3687_ZH"
"2020-02-03",15998,"total_ZH3687_ZH"
"2020-02-04",18583,"total_ZH3687_ZH"
"2020-02-05",18488,"total_ZH3687_ZH"
"2020-02-06",20921,"total_ZH3687_ZH"
"2020-02-07",22068,"total_ZH3687_ZH"
"2020-02-08",17722,"total_ZH3687_ZH"
"2020-02-09",14738,"total_ZH3687_ZH"
"2020-02-10",17021,"total_ZH3687_ZH"
"2020-02-11",18694,"total_ZH3687_ZH"
"2020-02-12",19432,"total_ZH3687_ZH"
"2020-02-13",18369,"total_ZH3687_ZH"
"2020-02-14",19761,"total_ZH3687_ZH"
"2020-02-15",16592,"total_ZH3687_ZH"
"2020-02-16",14722,"total_ZH3687_ZH"
"2020-02-17",19024,"total_ZH3687_ZH"
"2020-02-18",19195,"total_ZH3687_ZH"
"2020-02-19",18168,"total_ZH3687_ZH"
"2020-02-20",20854,"total_ZH3687_ZH"
"2020-02-21",22013,"total_ZH3687_ZH"
"2020-02-22",18012,"total_ZH3687_ZH"
"2020-02-23",13790,"total_ZH3687_ZH"
"2020-02-24",21047,"total_ZH3687_ZH"
"2020-02-25",20578,"total_ZH3687_ZH"
"2020-02-26",19319,"total_ZH3687_ZH"
"2020-02-27",19148,"total_ZH3687_ZH"
"2020-02-28",20786,"total_ZH3687_ZH"
"2020-02-29",16843,"total_ZH3687_ZH"
"2020-03-01",13292,"total_ZH3687_ZH"
"2020-03-02",16698,"total_ZH3687_ZH"
"2020-03-03",17929,"total_ZH3687_ZH"
"2020-03-04",18948,"total_ZH3687_ZH"
"2020-03-05",17271,"total_ZH3687_ZH"
"2020-03-06",18091,"total_ZH3687_ZH"
"2020-03-07",13999,"total_ZH3687_ZH"
"2020-03-08",13407,"total_ZH3687_ZH"
"2020-03-09",17875,"total_ZH3687_ZH"
"2020-03-10",17207,"total_ZH3687_ZH"
"2020-03-11",20064,"total_ZH3687_ZH"
"2020-03-12",19517,"total_ZH3687_ZH"
"2020-03-13",18662,"total_ZH3687_ZH"
"2020-03-14",12931,"total_ZH3687_ZH"
"2020-03-15",11209,"total_ZH3687_ZH"
"2020-03-16",16933,"total_ZH3687_ZH"
"2020-03-17",14521,"total_ZH3687_ZH"
"2020-03-18",14537,"total_ZH3687_ZH"
"2020-03-19",14815,"total_ZH3687_ZH"
"2020-03-20",14506,"total_ZH3687_ZH"
"2020-03-21",7401,"total_ZH3687_ZH"
"2020-03-22",5354,"total_ZH3687_ZH"
"2020-03-23",12417,"total_ZH3687_ZH"
"2020-03-24",12739,"total_ZH3687_ZH"
"2020-03-25",12769,"total_ZH3687_ZH"
"2020-03-26",12116,"total_ZH3687_ZH"
"2020-03-27",13998,"total_ZH3687_ZH"
"2020-03-28",9570,"total_ZH3687_ZH"
"2020-03-29",5171,"total_ZH3687_ZH"
"2020-03-30",11303,"total_ZH3687_ZH"
"2020-03-31",13147,"total_ZH3687_ZH"
"2020-04-01",13915,"total_ZH3687_ZH"
"2020-04-02",13712,"total_ZH3687_ZH"
"2020-04-03",14448,"total_ZH3687_ZH"
"2020-04-04",9448,"total_ZH3687_ZH"
"2020-04-05",7412,"total_ZH3687_ZH"
"2020-04-06",13933,"total_ZH3687_ZH"
"2020-04-07",13992,"total_ZH3687_ZH"
"2020-04-08",14894,"total_ZH3687_ZH"
"2020-04-09",15384,"total_ZH3687_ZH"
"2020-04-10",8271,"total_ZH3687_ZH"
"2020-04-11",10441,"total_ZH3687_ZH"
"2020-04-12",8431,"total_ZH3687_ZH"
