"date","value","id"
"2020-01-01",22,"velo_ZH1018_ZH"
"2020-01-02",42,"velo_ZH1018_ZH"
"2020-01-03",55,"velo_ZH1018_ZH"
"2020-01-04",40,"velo_ZH1018_ZH"
"2020-01-05",43,"velo_ZH1018_ZH"
"2020-01-06",86,"velo_ZH1018_ZH"
"2020-01-07",99,"velo_ZH1018_ZH"
"2020-01-08",105,"velo_ZH1018_ZH"
"2020-01-09",131,"velo_ZH1018_ZH"
"2020-01-10",92,"velo_ZH1018_ZH"
"2020-01-11",73,"velo_ZH1018_ZH"
"2020-01-12",40,"velo_ZH1018_ZH"
"2020-01-13",108,"velo_ZH1018_ZH"
"2020-01-14",120,"velo_ZH1018_ZH"
"2020-01-15",129,"velo_ZH1018_ZH"
"2020-01-16",135,"velo_ZH1018_ZH"
"2020-01-17",115,"velo_ZH1018_ZH"
"2020-01-18",71,"velo_ZH1018_ZH"
"2020-01-19",55,"velo_ZH1018_ZH"
"2020-01-20",99,"velo_ZH1018_ZH"
"2020-01-21",102,"velo_ZH1018_ZH"
"2020-01-22",86,"velo_ZH1018_ZH"
"2020-01-23",89,"velo_ZH1018_ZH"
"2020-01-24",99,"velo_ZH1018_ZH"
"2020-01-25",50,"velo_ZH1018_ZH"
"2020-01-26",77,"velo_ZH1018_ZH"
"2020-01-27",119,"velo_ZH1018_ZH"
"2020-01-28",63,"velo_ZH1018_ZH"
"2020-01-29",50,"velo_ZH1018_ZH"
"2020-01-30",96,"velo_ZH1018_ZH"
"2020-01-31",107,"velo_ZH1018_ZH"
"2020-02-01",54,"velo_ZH1018_ZH"
"2020-02-02",15,"velo_ZH1018_ZH"
"2020-02-03",65,"velo_ZH1018_ZH"
"2020-02-04",65,"velo_ZH1018_ZH"
"2020-02-05",117,"velo_ZH1018_ZH"
"2020-02-06",113,"velo_ZH1018_ZH"
"2020-02-07",109,"velo_ZH1018_ZH"
"2020-02-08",73,"velo_ZH1018_ZH"
"2020-02-09",82,"velo_ZH1018_ZH"
"2020-02-10",55,"velo_ZH1018_ZH"
"2020-02-11",59,"velo_ZH1018_ZH"
"2020-02-12",91,"velo_ZH1018_ZH"
"2020-02-13",78,"velo_ZH1018_ZH"
"2020-02-14",90,"velo_ZH1018_ZH"
"2020-02-15",109,"velo_ZH1018_ZH"
"2020-02-16",101,"velo_ZH1018_ZH"
"2020-02-17",87,"velo_ZH1018_ZH"
"2020-02-18",151,"velo_ZH1018_ZH"
"2020-02-19",84,"velo_ZH1018_ZH"
"2020-02-20",139,"velo_ZH1018_ZH"
"2020-02-21",119,"velo_ZH1018_ZH"
"2020-02-22",129,"velo_ZH1018_ZH"
"2020-02-23",62,"velo_ZH1018_ZH"
"2020-02-24",189,"velo_ZH1018_ZH"
"2020-02-25",101,"velo_ZH1018_ZH"
"2020-02-26",88,"velo_ZH1018_ZH"
"2020-02-27",70,"velo_ZH1018_ZH"
"2020-02-28",101,"velo_ZH1018_ZH"
"2020-02-29",72,"velo_ZH1018_ZH"
"2020-03-01",138,"velo_ZH1018_ZH"
"2020-03-02",100,"velo_ZH1018_ZH"
"2020-03-03",119,"velo_ZH1018_ZH"
"2020-03-04",136,"velo_ZH1018_ZH"
"2020-03-05",74,"velo_ZH1018_ZH"
"2020-03-06",64,"velo_ZH1018_ZH"
"2020-03-07",69,"velo_ZH1018_ZH"
"2020-03-08",131,"velo_ZH1018_ZH"
"2020-03-09",95,"velo_ZH1018_ZH"
"2020-03-10",75,"velo_ZH1018_ZH"
"2020-03-11",193,"velo_ZH1018_ZH"
"2020-03-12",170,"velo_ZH1018_ZH"
"2020-03-13",131,"velo_ZH1018_ZH"
"2020-03-14",100,"velo_ZH1018_ZH"
"2020-03-15",244,"velo_ZH1018_ZH"
"2020-03-16",233,"velo_ZH1018_ZH"
"2020-03-17",229,"velo_ZH1018_ZH"
"2020-03-18",240,"velo_ZH1018_ZH"
"2020-03-19",257,"velo_ZH1018_ZH"
"2020-03-20",231,"velo_ZH1018_ZH"
"2020-03-21",104,"velo_ZH1018_ZH"
"2020-03-22",82,"velo_ZH1018_ZH"
"2020-03-23",131,"velo_ZH1018_ZH"
"2020-03-24",105,"velo_ZH1018_ZH"
"2020-03-25",114,"velo_ZH1018_ZH"
"2020-03-26",117,"velo_ZH1018_ZH"
"2020-03-27",169,"velo_ZH1018_ZH"
"2020-03-28",333,"velo_ZH1018_ZH"
"2020-03-29",47,"velo_ZH1018_ZH"
"2020-03-30",76,"velo_ZH1018_ZH"
"2020-03-31",159,"velo_ZH1018_ZH"
"2020-04-01",197,"velo_ZH1018_ZH"
"2020-04-02",229,"velo_ZH1018_ZH"
"2020-04-03",212,"velo_ZH1018_ZH"
"2020-04-04",325,"velo_ZH1018_ZH"
"2020-04-05",419,"velo_ZH1018_ZH"
"2020-04-06",286,"velo_ZH1018_ZH"
"2020-04-07",333,"velo_ZH1018_ZH"
"2020-04-08",339,"velo_ZH1018_ZH"
"2020-04-09",329,"velo_ZH1018_ZH"
"2020-04-10",545,"velo_ZH1018_ZH"
"2020-04-11",399,"velo_ZH1018_ZH"
"2020-04-12",468,"velo_ZH1018_ZH"
"2020-04-13",445,"velo_ZH1018_ZH"
"2020-04-14",233,"velo_ZH1018_ZH"
"2020-04-15",346,"velo_ZH1018_ZH"
"2020-04-16",382,"velo_ZH1018_ZH"
"2020-04-17",425,"velo_ZH1018_ZH"
"2020-04-18",423,"velo_ZH1018_ZH"
"2020-04-19",489,"velo_ZH1018_ZH"
"2020-04-20",318,"velo_ZH1018_ZH"
"2020-04-21",290,"velo_ZH1018_ZH"
"2020-04-22",457,"velo_ZH1018_ZH"
"2020-04-23",431,"velo_ZH1018_ZH"
"2020-04-24",396,"velo_ZH1018_ZH"
"2020-04-25",470,"velo_ZH1018_ZH"
"2020-04-26",478,"velo_ZH1018_ZH"
"2020-04-27",408,"velo_ZH1018_ZH"
"2020-04-28",68,"velo_ZH1018_ZH"
"2020-04-29",190,"velo_ZH1018_ZH"
"2020-04-30",76,"velo_ZH1018_ZH"
"2020-05-01",88,"velo_ZH1018_ZH"
"2020-05-02",84,"velo_ZH1018_ZH"
"2020-05-03",441,"velo_ZH1018_ZH"
"2020-05-04",330,"velo_ZH1018_ZH"
"2020-05-05",116,"velo_ZH1018_ZH"
"2020-05-06",320,"velo_ZH1018_ZH"
"2020-05-07",443,"velo_ZH1018_ZH"
"2020-05-08",427,"velo_ZH1018_ZH"
"2020-05-09",471,"velo_ZH1018_ZH"
"2020-05-10",461,"velo_ZH1018_ZH"
"2020-05-11",128,"velo_ZH1018_ZH"
"2020-05-12",223,"velo_ZH1018_ZH"
"2020-05-13",123,"velo_ZH1018_ZH"
"2020-05-14",145,"velo_ZH1018_ZH"
"2020-05-15",186,"velo_ZH1018_ZH"
"2020-05-16",341,"velo_ZH1018_ZH"
"2020-05-17",583,"velo_ZH1018_ZH"
"2020-05-18",401,"velo_ZH1018_ZH"
"2020-05-19",434,"velo_ZH1018_ZH"
"2020-05-20",441,"velo_ZH1018_ZH"
"2020-05-21",535,"velo_ZH1018_ZH"
"2020-05-22",401,"velo_ZH1018_ZH"
"2020-05-23",114,"velo_ZH1018_ZH"
"2020-05-24",400,"velo_ZH1018_ZH"
"2020-05-25",378,"velo_ZH1018_ZH"
"2020-05-26",358,"velo_ZH1018_ZH"
"2020-05-27",448,"velo_ZH1018_ZH"
"2020-05-28",409,"velo_ZH1018_ZH"
"2020-05-29",375,"velo_ZH1018_ZH"
"2020-05-30",346,"velo_ZH1018_ZH"
"2020-05-31",431,"velo_ZH1018_ZH"
"2020-06-01",495,"velo_ZH1018_ZH"
"2020-06-02",466,"velo_ZH1018_ZH"
"2020-06-03",464,"velo_ZH1018_ZH"
"2020-06-04",96,"velo_ZH1018_ZH"
"2020-06-05",192,"velo_ZH1018_ZH"
"2020-06-06",218,"velo_ZH1018_ZH"
"2020-06-07",108,"velo_ZH1018_ZH"
"2020-06-08",312,"velo_ZH1018_ZH"
"2020-06-09",158,"velo_ZH1018_ZH"
"2020-06-10",189,"velo_ZH1018_ZH"
"2020-06-11",315,"velo_ZH1018_ZH"
"2020-06-12",479,"velo_ZH1018_ZH"
"2020-06-13",250,"velo_ZH1018_ZH"
"2020-06-14",125,"velo_ZH1018_ZH"
"2020-06-15",347,"velo_ZH1018_ZH"
"2020-06-16",400,"velo_ZH1018_ZH"
"2020-06-17",186,"velo_ZH1018_ZH"
"2020-06-18",354,"velo_ZH1018_ZH"
"2020-06-19",227,"velo_ZH1018_ZH"
"2020-06-20",275,"velo_ZH1018_ZH"
"2020-06-21",431,"velo_ZH1018_ZH"
"2020-06-22",448,"velo_ZH1018_ZH"
"2020-06-26",317,"velo_ZH1018_ZH"
"2020-06-27",274,"velo_ZH1018_ZH"
"2020-06-28",267,"velo_ZH1018_ZH"
"2020-07-01",450,"velo_ZH1018_ZH"
"2020-07-02",348,"velo_ZH1018_ZH"
"2020-07-03",317,"velo_ZH1018_ZH"
"2020-07-04",368,"velo_ZH1018_ZH"
"2020-07-05",420,"velo_ZH1018_ZH"
"2020-07-06",418,"velo_ZH1018_ZH"
"2020-07-07",520,"velo_ZH1018_ZH"
"2020-07-08",493,"velo_ZH1018_ZH"
"2020-07-09",504,"velo_ZH1018_ZH"
"2020-07-10",380,"velo_ZH1018_ZH"
"2020-07-11",174,"velo_ZH1018_ZH"
